t,NDVI
2017-01-07,
2017-01-10,
2017-01-27,0.22491005
2017-01-30,
2017-02-06,
2017-02-09,
2017-02-16,0.22553284
2017-02-19,
2017-02-26,
2017-03-01,
2017-03-08,
2017-03-11,
2017-03-18,
2017-03-20,
2017-03-21,
2017-03-23,
2017-03-26,0.2533218
2017-03-28,0.25180507
2017-03-31,0.24941166
2017-04-02,
2017-04-05,
2017-04-07,
2017-04-10,
2017-04-12,
2017-04-15,
2017-04-17,
2017-04-20,0.25827327
2017-04-22,
2017-04-25,
2017-04-27,
2017-04-30,0.27141646
2017-05-02,
2017-05-05,
2017-05-07,0.22152135
2017-05-10,
2017-05-12,
2017-05-15,0.30746657
2017-05-17,0.2515526
2017-05-20,
2017-05-22,
2017-05-25,
2017-05-27,0.48397028
2017-05-30,0.5373611
2017-06-01,0.61136776
2017-06-04,
2017-06-06,
2017-06-09,
2017-06-11,
2017-06-14,0.87462485
2017-06-16,0.84957975
2017-06-19,0.8945879
2017-06-21,0.88939255
2017-06-24,
2017-06-26,
2017-06-29,
2017-07-01,
2017-07-04,
2017-07-06,0.81253207
2017-07-09,
2017-07-11,
2017-07-14,
2017-07-16,
2017-07-19,0.86533475
2017-07-21,
2017-07-24,
2017-07-26,
2017-07-29,0.90501755
2017-07-31,
2017-08-03,
2017-08-05,
2017-08-08,0.884811
2017-08-10,
2017-08-13,
2017-08-15,0.902866
2017-08-18,
2017-08-20,0.696134
2017-08-23,0.8788554
2017-08-25,
2017-08-28,0.67441946
2017-08-30,
2017-09-02,
2017-09-04,0.79147476
2017-09-07,
2017-09-09,
2017-09-12,
2017-09-14,
2017-09-17,0.59862465
2017-09-19,
2017-09-22,
2017-09-24,
2017-09-27,
2017-09-29,0.55914617
2017-10-02,
2017-10-04,
2017-10-07,
2017-10-09,
2017-10-12,
2017-10-14,0.45315513
2017-10-17,0.40615708
2017-10-19,0.47806448
2017-10-22,
2017-10-24,
2017-10-27,
2017-10-29,
2017-11-01,
2017-11-03,0.52262837
2017-11-06,0.76618874
2017-11-08,
2017-11-11,
2017-11-13,
2017-11-16,
2017-11-18,
2017-11-21,
2017-11-23,
2017-11-26,
2017-11-28,
2017-12-01,
2017-12-03,
2017-12-06,
2017-12-08,0.61538464
2017-12-11,
2017-12-13,0.5029877
2017-12-16,
2017-12-18,0.556901
2017-12-21,
2017-12-23,
2017-12-26,0.25233015
2017-12-28,
2017-12-31,
2018-01-02,0.45840922
2018-01-05,
2018-01-07,
2018-01-10,
2018-01-12,
2018-01-15,0.636869
2018-01-17,
2018-01-20,
2018-01-22,
2018-01-25,
2018-01-27,0.5512221
2018-01-30,0.52245516
2018-02-01,
2018-02-04,
2018-02-06,
2018-02-09,
2018-02-11,
2018-02-14,0.6108054
2018-02-16,0.54744947
2018-02-19,
2018-02-21,
2018-02-24,
2018-02-26,
2018-03-01,0.45654047
2018-03-03,
2018-03-06,
2018-03-08,0.42225474
2018-03-11,
2018-03-13,
2018-03-16,
2018-03-18,
2018-03-21,0.3973575
2018-03-23,
2018-03-26,
2018-03-28,
2018-03-31,
2018-04-02,
2018-04-05,0.6480868
2018-04-07,0.5886266
2018-04-10,0.69220114
2018-04-12,0.7306111
2018-04-15,
2018-04-17,0.8390496
2018-04-20,0.8484465
2018-04-22,0.8287917
2018-04-25,
2018-04-27,
2018-04-30,
2018-05-02,
2018-05-05,
2018-05-07,0.89313525
2018-05-10,0.8907551
2018-05-12,0.87948656
2018-05-15,
2018-05-17,
2018-05-20,0.68002146
2018-05-22,0.79651433
2018-05-25,
2018-05-30,
2018-06-01,
2018-06-04,0.87847024
2018-06-06,0.8509056
2018-06-09,0.83584994
2018-06-11,
2018-06-14,
2018-06-16,
2018-06-19,
2018-06-21,
2018-06-24,
2018-06-26,
2018-06-29,0.5440508
2018-07-01,0.5264147
2018-07-04,
2018-07-06,0.52073056
2018-07-09,0.54012793
2018-07-11,
2018-07-14,0.52584827
2018-07-16,0.49769944
2018-07-19,0.52160305
2018-07-21,
2018-07-24,0.4759324
2018-07-26,
2018-07-29,0.17156345
2018-07-31,0.34204924
2018-08-03,0.21780306
2018-08-05,
2018-08-08,
2018-08-10,
2018-08-13,
2018-08-15,
2018-08-18,0.3152671
2018-08-20,
2018-08-23,0.39041013
2018-08-25,
2018-08-28,
2018-08-30,
2018-09-02,
2018-09-04,0.42978016
2018-09-07,0.4392456
2018-09-09,
2018-09-12,0.3595691
2018-09-14,
2018-09-17,
2018-09-19,0.29313156
2018-09-22,
2018-09-24,
2018-09-27,0.3925145
2018-09-29,0.4161089
2018-10-02,
2018-10-04,
2018-10-07,
2018-10-09,
2018-10-12,0.42831245
2018-10-17,0.4125446
2018-10-19,
2018-10-22,
2018-10-24,
2018-10-27,
2018-10-29,
2018-11-01,
2018-11-03,
2018-11-06,
2018-11-08,
2018-11-11,0.48494905
2018-11-16,
2018-11-18,
2018-11-21,
2018-11-23,
2018-11-26,
2018-11-28,
2018-12-01,
2018-12-03,
2018-12-06,
2018-12-08,
2018-12-11,
2018-12-13,
2018-12-16,
2018-12-18,
2018-12-21,
2018-12-23,
2018-12-26,
2018-12-28,
2018-12-31,
2019-01-02,
2019-01-05,
2019-01-07,
2019-01-10,
2019-01-12,
2019-01-15,
2019-01-17,
2019-01-20,0.2566738
2019-01-22,0.24945843
2019-01-25,
2019-01-27,
2019-01-30,
2019-02-01,
2019-02-04,0.44295976
2019-02-06,
2019-02-09,
2019-02-11,
2019-02-14,0.39923418
2019-02-16,0.4266315
2019-02-19,
2019-02-21,
2019-02-24,0.3983653
2019-02-26,0.3919024
2019-03-01,
2019-03-03,
2019-03-06,
2019-03-08,
2019-03-11,
2019-03-13,
2019-03-16,
2019-03-18,0.4575518
2019-03-21,0.5067466
2019-03-23,
2019-03-26,
2019-03-28,
2019-03-31,
2019-04-02,
2019-04-05,
2019-04-07,0.5684891
2019-04-10,
2019-04-12,
2019-04-15,0.7817159
2019-04-17,0.7814924
2019-04-20,0.79518497
2019-04-22,0.8236564
2019-04-25,0.8488112
2019-04-27,0.8527669
2019-04-30,0.87369215
2019-05-02,0.8492183
2019-05-05,
2019-05-07,
2019-05-10,0.7920314
2019-05-12,0.88736755
2019-05-15,
2019-05-17,
2019-05-20,
2019-05-25,0.7691799
2019-05-27,
2019-05-30,0.81327736
2019-06-01,0.6437543
2019-06-04,0.70417905
2019-06-06,
2019-06-09,
2019-06-11,
2019-06-14,
2019-06-16,
2019-06-19,0.6692863
2019-06-21,
2019-06-24,
2019-06-26,0.5042716
2019-06-29,0.52107805
2019-07-01,
2019-07-04,0.3206875
2019-07-06,
2019-07-09,
2019-07-11,
2019-07-14,
2019-07-16,
2019-07-19,
2019-07-21,0.29804808
2019-07-24,0.28549495
2019-07-26,0.26555818
2019-07-29,
2019-07-31,
2019-08-03,0.2928841
2019-08-05,
2019-08-08,
2019-08-10,
2019-08-13,
2019-08-15,
2019-08-18,
2019-08-20,
2019-08-23,0.27383456
2019-08-25,0.25642252
2019-08-28,
2019-08-30,0.2719019
2019-09-02,
2019-09-04,
2019-09-07,
2019-09-09,
2019-09-12,0.23114218
2019-09-14,0.25063628
2019-09-17,
2019-09-19,
2019-09-22,0.27788386
2019-09-24,
2019-09-27,
2019-09-29,
2019-10-02,
2019-10-04,
2019-10-07,0.502706
2019-10-09,
2019-10-12,0.58802295
2019-10-14,0.6352003
2019-10-17,
2019-10-19,
2019-10-22,
2019-10-24,
2019-10-27,
2019-10-29,
2019-11-01,
2019-11-03,
2019-11-06,
2019-11-08,
2019-11-11,0.8478013
2019-11-13,
2019-11-16,0.8218561
2019-11-18,
2019-11-21,
2019-11-23,
2019-11-26,
2019-11-28,
2019-12-01,
2019-12-03,0.8225198
2019-12-06,
2019-12-08,
2019-12-11,
2019-12-13,
2019-12-16,
2019-12-18,
2019-12-21,0.7847115
2019-12-23,
2019-12-26,
2019-12-28,
2019-12-31,
2020-01-02,0.70634985
2020-01-05,
2020-01-07,
2020-01-10,
2020-01-12,
2020-01-15,0.74262124
2020-01-17,0.74323404
2020-01-20,0.75874597
2020-01-22,
2020-01-25,
2020-01-27,
2020-01-30,
2020-02-01,
2020-02-04,
2020-02-06,
2020-02-09,
2020-02-11,0.34280935
2020-02-14,
2020-02-16,
2020-02-19,
2020-02-21,
2020-02-24,
2020-02-26,
2020-02-29,
2020-03-02,
2020-03-05,0.35287917
2020-03-07,
2020-03-10,
2020-03-12,
2020-03-15,
2020-03-17,
2020-03-20,
2020-03-22,0.38874382
2020-03-25,0.35433877
2020-03-27,0.30908275
2020-03-30,0.34362915
2020-04-01,0.28806
2020-04-04,
2020-04-06,0.28371203
2020-04-09,0.30120385
2020-04-11,0.28801623
2020-04-14,
2020-04-16,
2020-04-19,0.30629015
2020-04-21,
2020-04-24,
2020-04-26,
2020-04-29,
2020-05-01,
2020-05-04,
2020-05-06,
2020-05-09,0.24542378
2020-05-11,
2020-05-14,
2020-05-16,0.24615753
2020-05-19,0.27296662
2020-05-21,0.27804664
2020-05-24,
2020-05-26,
2020-05-29,
2020-05-31,
2020-06-03,
2020-06-05,
2020-06-08,
2020-06-10,
2020-06-13,
2020-06-15,
2020-06-18,
2020-06-20,
2020-06-23,
2020-06-25,
2020-06-28,
2020-06-30,0.7393434
2020-07-03,
2020-07-05,
2020-07-08,
2020-07-10,
2020-07-13,0.7634894
2020-07-15,
2020-07-18,0.7530173
2020-07-20,
2020-07-23,0.5168515
2020-07-25,
2020-07-28,
2020-07-30,0.43458557
2020-08-02,
2020-08-04,
2020-08-07,0.3517334
2020-08-09,0.3122727
2020-08-12,0.30394423
2020-08-14,
2020-08-17,
2020-08-19,
2020-08-22,
2020-08-24,
2020-08-27,
2020-08-29,
2020-09-01,
2020-09-03,
2020-09-06,
2020-09-08,0.33607042
2020-09-11,0.30229363
2020-09-13,
2020-09-16,
2020-09-18,0.2950311
2020-09-21,0.27978548
2020-09-23,0.24330886
2020-09-26,
2020-09-28,0.26057222
2020-10-01,0.24244078
2020-10-03,
2020-10-06,
2020-10-08,
2020-10-11,
2020-10-13,
2020-10-16,
2020-10-18,
2020-10-21,
2020-10-23,
2020-10-26,
2020-10-28,
2020-10-31,
2020-11-02,
2020-11-05,0.45707527
2020-11-07,
2020-11-10,
2020-11-12,
2020-11-15,
2020-11-17,
2020-11-20,
2020-11-22,
2020-11-25,0.614527
2020-11-27,
2020-11-30,0.60646707
2020-12-02,
2020-12-05,
2020-12-07,
2020-12-10,
2020-12-12,
2020-12-15,
2020-12-17,
2020-12-20,
2020-12-22,
2020-12-25,
2020-12-27,
2020-12-30,
2021-01-01,
2021-01-04,
2021-01-06,
2021-01-09,
2021-01-11,
2021-01-14,
2021-01-16,
2021-01-19,
2021-01-21,
2021-01-24,
2021-01-26,
2021-01-29,
2021-01-31,0.67548615
2021-02-03,
2021-02-05,
2021-02-08,
2021-02-10,
2021-02-13,
2021-02-15,
2021-02-18,
2021-02-20,
2021-02-23,0.42114753
2021-02-25,0.5302057
2021-02-28,0.68103725
2021-03-02,
2021-03-05,
2021-03-07,0.66683835
2021-03-10,
2021-03-12,
2021-03-15,0.55435216
2021-03-17,
2021-03-20,
2021-03-22,0.58879244
2021-03-25,
2021-03-27,
2021-03-30,0.6727245
2021-04-01,
2021-04-04,
2021-04-06,
2021-04-09,
2021-04-11,
2021-04-14,
2021-04-16,
2021-04-19,
2021-04-21,0.8867275
2021-04-24,
2021-04-26,0.82948637
2021-04-29,
2021-05-01,
2021-05-04,
2021-05-06,
2021-05-09,0.90294343
2021-05-11,
2021-05-14,
2021-05-16,
2021-05-19,
2021-05-21,
2021-05-24,0.93645364
2021-05-26,
2021-05-29,
2021-05-31,0.9215423
2021-06-03,
2021-06-05,
2021-06-08,
2021-06-10,
2021-06-13,
2021-06-15,
2021-06-18,0.85237193
2021-06-20,0.8539416
2021-06-23,
2021-06-25,
2021-06-28,
2021-06-30,
2021-07-03,
2021-07-05,
2021-07-08,
2021-07-10,
2021-07-13,
2021-07-15,
2021-07-18,0.33472314
2021-07-20,
2021-07-23,
2021-07-25,
2021-07-28,
2021-07-30,
2021-08-02,
2021-08-04,
2021-08-07,
2021-08-09,
2021-08-12,0.2078967
2021-08-14,0.20449527
2021-08-17,
2021-08-19,
2021-08-22,
2021-08-24,
2021-08-27,
2021-08-29,
2021-09-01,
2021-09-03,0.24954657
2021-09-06,0.14603937
