t,NDVI
2017-01-04,
2017-01-07,
2017-01-14,
2017-01-24,
2017-01-27,
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,0.45829073
2017-02-23,
2017-02-26,
2017-03-05,
2017-03-08,
2017-03-15,
2017-03-17,0.46832168
2017-03-18,
2017-03-20,
2017-03-23,0.4921619
2017-03-25,
2017-03-28,0.47697723
2017-03-30,
2017-04-02,0.4758544
2017-04-04,
2017-04-07,
2017-04-09,0.47452328
2017-04-12,
2017-04-14,
2017-04-17,
2017-04-22,
2017-04-24,0.4770787
2017-04-27,
2017-04-29,
2017-05-02,
2017-05-04,
2017-05-07,
2017-05-09,
2017-05-12,0.50587994
2017-05-14,
2017-05-17,0.5163834
2017-05-19,
2017-05-22,0.5446319
2017-05-24,
2017-05-27,0.56472784
2017-05-29,0.54940635
2017-06-01,
2017-06-03,0.56697184
2017-06-06,
2017-06-08,
2017-06-11,
2017-06-13,0.60644156
2017-06-16,
2017-06-18,0.6169883
2017-06-21,
2017-06-23,
2017-06-26,0.64608127
2017-06-28,
2017-07-01,0.7735849
2017-07-03,
2017-07-06,0.6619797
2017-07-08,
2017-07-11,
2017-07-13,
2017-07-16,0.6896775
2017-07-18,0.66745114
2017-07-21,0.6983397
2017-07-23,
2017-07-26,
2017-07-28,
2017-07-31,
2017-08-02,0.68998533
2017-08-05,0.70783585
2017-08-07,0.7213228
2017-08-10,
2017-08-12,
2017-08-15,
2017-08-17,0.69101536
2017-08-20,
2017-08-22,
2017-08-25,0.7228237
2017-08-27,
2017-08-30,
2017-09-01,
2017-09-04,
2017-09-06,
2017-09-09,
2017-09-11,
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,0.7123588
2017-09-24,
2017-09-26,0.69412357
2017-09-29,
2017-10-01,
2017-10-04,
2017-10-06,
2017-10-09,
2017-10-11,0.68068606
2017-10-14,0.69917756
2017-10-16,0.6683473
2017-10-19,0.67800003
2017-10-21,
2017-10-24,0.54213965
2017-10-26,0.6726338
2017-10-29,
2017-10-31,
2017-11-03,
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,
2017-11-15,0.6417011
2017-11-18,
2017-11-20,
2017-11-23,0.5945605
2017-11-28,
2017-11-30,
2017-12-03,
2017-12-05,
2017-12-08,
2017-12-10,
2017-12-13,
2017-12-15,0.2052713
2017-12-18,
2017-12-20,
2017-12-23,
2017-12-25,0.49815452
2017-12-28,
2017-12-30,
2018-01-02,
2018-01-04,
2018-01-07,
2018-01-09,
2018-01-12,
2018-01-14,
2018-01-17,
2018-01-19,
2018-01-22,
2018-01-24,
2018-01-27,
2018-01-29,0.58999836
