t,NDVI
2017-01-04,
2017-01-14,
2017-01-24,
2017-02-03,
2017-02-13,
2017-02-23,
2017-03-05,
2017-03-15,
2017-03-17,
2017-03-20,
2017-03-25,
2017-03-30,
2017-04-04,
2017-04-09,
2017-04-14,
2017-04-24,0.7403486
2017-04-29,
2017-05-04,
2017-05-09,
2017-05-14,
2017-05-19,0.7681061
2017-05-24,
2017-05-29,0.455492
2017-06-03,
2017-06-08,
2017-06-13,
2017-06-18,
2017-06-23,
2017-06-28,
2017-07-03,
2017-07-08,
2017-07-13,
2017-07-18,
2017-07-23,
2017-07-28,0.7741917
2017-08-02,
2017-08-07,0.82253015
2017-08-12,
2017-08-17,
2017-08-22,
2017-08-27,
2017-09-01,
2017-09-06,
2017-09-11,
2017-09-16,
2017-09-21,
2017-09-26,
2017-10-01,
2017-10-06,
2017-10-11,
2017-10-16,0.86134666
2017-10-21,
2017-10-26,
2017-10-31,
2017-11-05,
2017-11-10,
2017-11-15,
2017-11-20,
2017-11-30,
2017-12-05,
2017-12-10,
2017-12-15,
2017-12-20,
2017-12-25,
2017-12-30,
2018-01-04,
2018-01-09,
2018-01-14,
2018-01-19,
2018-01-24,
2018-01-29,
2018-02-03,
2018-02-08,
2018-02-13,
2018-02-18,
2018-02-23,
2018-02-28,
2018-03-05,
2018-03-10,
2018-03-15,
2018-03-20,
2018-03-25,
2018-03-30,0.43048018
2018-04-04,
2018-04-09,0.7598091
2018-04-14,
2018-04-19,0.75995886
2018-04-24,
2018-04-29,
2018-05-04,0.7433724
2018-05-09,
2018-05-14,0.7346266
2018-05-19,
2018-05-24,
2018-05-29,0.80259603
2018-06-03,
2018-06-08,
2018-06-13,
2018-06-18,0.75007844
2018-06-23,
2018-06-28,
2018-07-03,0.81760085
2018-07-08,
2018-07-13,0.8005863
2018-07-18,
2018-07-23,
2018-07-28,0.74043345
2018-08-02,0.687745
2018-08-07,0.8045481
2018-08-12,
2018-08-17,
2018-08-22,0.7935331
2018-08-27,
2018-09-01,
2018-09-06,
2018-09-11,
2018-09-16,0.86251605
2018-09-21,0.836151
2018-09-26,0.87803465
2018-10-01,
2018-10-06,
2018-10-11,0.8933346
2018-10-16,0.7893033
2018-10-21,
2018-10-26,
2018-10-31,0.92434454
2018-11-05,
2018-11-10,0.6895269
2018-11-15,
2018-11-20,
2018-11-25,
2018-11-30,
2018-12-05,0.9246415
2018-12-10,
2018-12-15,
2018-12-20,
2018-12-25,
2018-12-30,
2019-01-04,
2019-01-09,
2019-01-14,
2019-01-19,
2019-01-24,
2019-01-29,
2019-02-03,
2019-02-08,
2019-02-13,
2019-02-18,
2019-02-23,
2019-02-28,
2019-03-05,
2019-03-10,
2019-03-15,
2019-03-20,
2019-03-25,
2019-03-30,0.6806761
2019-04-04,0.7187264
2019-04-09,0.5754183
2019-04-14,
2019-04-19,0.7426641
2019-04-24,0.7573905
2019-04-29,
2019-05-04,
2019-05-09,
2019-05-14,
2019-05-19,0.72656846
2019-05-24,
2019-05-29,
2019-06-03,0.7824799
2019-06-08,
2019-06-13,
2019-06-18,0.7986976
2019-06-23,
2019-06-28,
2019-07-03,
2019-07-08,
2019-07-13,
2019-07-18,0.73600054
2019-07-23,0.7806368
2019-07-28,
2019-08-02,
2019-08-07,
2019-08-12,
2019-08-17,
2019-08-22,0.79204094
2019-08-27,0.80848163
2019-09-01,
2019-09-06,
2019-09-11,
2019-09-16,
2019-09-21,0.8209205
2019-09-26,
2019-10-01,0.84960115
2019-10-06,
2019-10-11,
2019-10-16,
2019-10-21,
2019-10-26,
2019-10-31,0.861768
2019-11-05,
2019-11-10,0.809003
2019-11-15,
2019-11-20,
2019-11-30,
2019-12-05,0.6487141
2019-12-10,
2019-12-15,
2019-12-20,
2019-12-25,
2019-12-30,
2020-01-04,
2020-01-09,
2020-01-14,
2020-01-19,
2020-01-24,0.7833561
2020-01-29,
2020-02-03,
2020-02-08,
2020-02-13,
2020-02-18,
2020-02-23,
2020-02-28,
2020-03-04,
2020-03-09,
2020-03-14,0.7881149
2020-03-19,
2020-03-24,
2020-03-29,
2020-04-03,
2020-04-08,0.74551547
2020-04-13,
2020-04-18,
2020-04-23,0.72923684
2020-04-28,
2020-05-03,
2020-05-08,0.6744466
2020-05-13,
2020-05-18,0.7041888
2020-05-23,
2020-05-28,
2020-06-02,0.7453059
2020-06-07,
2020-06-12,
2020-06-17,
2020-06-22,0.69173783
2020-06-27,
2020-07-02,0.8024254
2020-07-07,
2020-07-12,
2020-07-17,
2020-07-22,
2020-07-27,0.7749177
2020-08-01,0.79116845
2020-08-06,0.7876093
2020-08-11,
2020-08-16,0.76941246
2020-08-21,0.8141592
2020-08-26,
2020-08-31,
2020-09-05,
2020-09-10,
2020-09-15,0.7445987
2020-09-20,
2020-09-25,
2020-09-30,
2020-10-10,
2020-10-15,
2020-10-20,
2020-10-25,0.7908552
2020-10-30,
2020-11-04,
2020-11-09,
2020-11-14,
2020-11-19,
2020-11-24,0.8727394
2020-11-29,
2020-12-04,
2020-12-09,
2020-12-19,0.737346
2020-12-24,
2020-12-29,
2021-01-03,
2021-01-08,
2021-01-13,
2021-01-18,
2021-01-23,
2021-01-28,
2021-02-02,
2021-02-07,
2021-02-12,
2021-02-17,
2021-02-22,
2021-02-27,
2021-03-04,
2021-03-09,
2021-03-14,
2021-03-19,
2021-03-24,
2021-03-29,
2021-04-03,
2021-04-08,
2021-04-13,
2021-04-18,
2021-04-23,
2021-04-28,0.7069266
2021-05-03,
2021-05-08,
2021-05-13,
2021-05-18,
2021-05-23,0.7136219
2021-05-28,
2021-06-02,0.71981496
2021-06-07,0.73470163
2021-06-12,
2021-06-17,0.8116868
2021-06-22,
2021-06-27,
2021-07-02,
2021-07-07,
2021-07-12,
2021-07-17,
2021-07-22,
2021-07-27,
2021-08-01,
2021-08-06,
2021-08-11,
2021-08-16,
2021-08-21,
2021-08-26,
2021-08-31,
2021-09-05,0.7764525
2021-09-10,0.8064112
2021-09-15,
2021-09-20,
2021-09-25,0.7010567
2021-09-30,0.82035726
2021-10-05,
2021-10-10,0.8927112
2021-10-15,
2021-10-20,
2021-10-25,0.78605324
2021-10-30,0.92216057
2021-11-04,
2021-11-14,
2021-11-19,
2021-11-24,
2021-11-29,
2021-12-04,
2021-12-09,
2021-12-14,
2021-12-19,
2021-12-24,
2021-12-29,
2022-01-03,0.815631
2022-01-08,
2022-01-13,
2022-01-18,
2022-01-23,
2022-01-28,
2022-02-02,
2022-02-07,
2022-02-12,
2022-02-17,
2022-02-22,
2022-02-27,
2022-03-04,
2022-03-09,
2022-03-14,
2022-03-19,
2022-03-24,0.7368823
2022-03-29,
2022-04-03,
2022-04-08,
2022-04-13,
2022-04-18,
2022-04-23,0.7528928
2022-04-28,
2022-05-03,
2022-05-08,
2022-05-13,
2022-05-18,0.72507143
2022-05-23,
2022-05-28,
2022-06-02,0.78638935
2022-06-07,
2022-06-12,
2022-06-17,
2022-06-22,0.7425585
2022-06-27,
2022-07-02,
2022-07-07,
2022-07-12,0.79879725
2022-07-17,
2022-07-22,0.8011425
2022-07-27,
2022-08-01,
2022-08-06,
2022-08-11,
2022-08-16,
2022-08-21,
2022-08-26,
2022-08-31,
2022-09-05,0.8018837
2022-09-10,0.7804985
2022-09-15,
2022-09-20,
2022-09-25,
2022-09-30,
2022-10-05,
2022-10-10,0.6301493
2022-10-15,
2022-10-20,0.83131564
2022-10-25,
2022-10-30,0.6597401
2022-11-04,
2022-11-09,
2022-11-14,
2022-11-19,0.6956476
2022-11-24,
2022-11-29,
2022-12-04,
2022-12-09,
