t,NDVI
2017-01-04,
2017-01-07,
2017-01-14,
2017-01-24,
2017-01-27,
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,0.6441491
2017-02-23,
2017-02-26,
2017-03-05,
2017-03-08,
2017-03-15,
2017-03-17,0.6027813
2017-03-18,
2017-03-20,
2017-03-23,0.63146365
2017-03-25,
2017-03-28,0.6277269
2017-03-30,0.5987519
2017-04-02,0.6359491
2017-04-04,
2017-04-07,
2017-04-09,0.6347107
2017-04-12,
2017-04-14,
2017-04-17,
2017-04-22,
2017-04-24,0.628576
2017-04-27,
2017-04-29,
2017-05-02,
2017-05-04,
2017-05-07,
2017-05-09,
2017-05-12,
2017-05-14,
2017-05-17,0.6618462
2017-05-19,
2017-05-22,0.66495657
2017-05-24,
2017-05-27,0.6802487
2017-05-29,0.6433589
2017-06-01,
2017-06-03,0.64965636
2017-06-06,
2017-06-08,
2017-06-11,
2017-06-13,0.67666125
2017-06-16,
2017-06-18,
2017-06-21,
2017-06-23,
2017-06-26,0.7205284
2017-06-28,
2017-07-01,0.6547721
2017-07-03,
2017-07-06,0.7039912
2017-07-08,0.6782594
2017-07-11,
2017-07-13,0.6881816
2017-07-16,
2017-07-18,0.715376
2017-07-21,0.74466956
2017-07-23,
2017-07-26,
2017-07-28,
2017-07-31,0.75459254
2017-08-02,
2017-08-05,0.728015
2017-08-07,0.72537434
2017-08-10,
2017-08-12,
2017-08-15,
2017-08-17,0.6722827
2017-08-20,
2017-08-22,0.68259895
2017-08-25,0.7138499
2017-08-27,0.6175436
2017-08-30,
2017-09-01,
2017-09-04,
2017-09-06,
2017-09-09,
2017-09-11,
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,0.71611047
2017-09-24,
2017-09-26,0.7001163
2017-09-29,
2017-10-01,
2017-10-04,
2017-10-06,
2017-10-09,
2017-10-11,0.7011423
2017-10-14,0.73910314
2017-10-16,0.718298
2017-10-19,0.7026495
2017-10-21,
2017-10-24,
2017-10-26,0.65807146
2017-10-29,
2017-10-31,
2017-11-03,
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,
2017-11-15,
2017-11-18,
2017-11-20,
2017-11-23,
2017-11-28,
2017-11-30,
2017-12-03,
2017-12-05,
2017-12-08,
2017-12-10,
2017-12-13,0.6823486
2017-12-15,0.62962246
2017-12-18,
2017-12-20,
2017-12-23,
2017-12-25,0.73745096
2017-12-28,
2017-12-30,
2018-01-02,
2018-01-04,
2018-01-07,
2018-01-09,
2018-01-12,
2018-01-14,
2018-01-17,
2018-01-19,-0.10919034
2018-01-22,
2018-01-24,
2018-01-27,
