t,NDVI
2017-02-10,
2017-02-13,
2017-02-16,
2017-02-20,
2017-02-23,
2017-02-26,
2017-03-02,
2017-03-05,
2017-03-08,
2017-03-12,
2017-03-15,
2017-03-17,
2017-03-18,
2017-03-20,
2017-03-22,
2017-03-23,
2017-03-25,
2017-03-27,
2017-03-28,
2017-03-30,
2017-04-01,
2017-04-02,
2017-04-04,
2017-04-06,
2017-04-07,
2017-04-09,
2017-04-11,
2017-04-12,
2017-04-14,
2017-04-16,
2017-04-17,
2017-04-21,
2017-04-22,
2017-04-24,
2017-04-26,
2017-04-27,
2017-04-29,
2017-05-01,
2017-05-02,
2017-05-04,
2017-05-06,
2017-05-07,
2017-05-09,
2017-05-11,
2017-05-12,
2017-05-14,
2017-05-16,
2017-05-17,
2017-05-19,
2017-05-21,
2017-05-22,
2017-05-24,
2017-05-26,
2017-05-27,
2017-05-29,
2017-05-31,
2017-06-01,
2017-06-03,0.55663127
2017-06-05,
2017-06-06,
2017-06-08,0.6420807
2017-06-10,0.5981913
2017-06-11,
2017-06-13,
2017-06-15,0.63051784
2017-06-16,0.6417006
2017-06-18,
2017-06-20,0.60909104
2017-06-21,
2017-06-23,
2017-06-25,
2017-06-26,
2017-06-28,
2017-06-30,
2017-07-01,
2017-07-03,
2017-07-05,
2017-07-06,
2017-07-08,
2017-07-10,
2017-07-11,
2017-07-13,
2017-07-15,
2017-07-16,
2017-07-18,
2017-07-20,
2017-07-21,
2017-07-23,
2017-07-25,0.7070699
2017-07-26,0.70348454
2017-07-28,0.81114864
2017-07-30,
2017-07-31,
2017-08-02,
2017-08-04,
2017-08-05,
2017-08-07,
2017-08-09,
2017-08-10,
2017-08-12,
2017-08-14,
2017-08-15,
2017-08-17,
2017-08-19,
2017-08-20,
2017-08-22,
2017-08-24,
2017-08-25,
2017-08-27,
2017-08-29,
2017-08-30,0.7099954
2017-09-01,
2017-09-03,0.7110733
2017-09-04,0.6916402
2017-09-06,0.707711
2017-09-08,
2017-09-09,
2017-09-11,
2017-09-13,
2017-09-14,
2017-09-16,
2017-09-18,
2017-09-19,
2017-09-21,
2017-09-23,
2017-09-24,
2017-09-26,
2017-09-28,
2017-09-29,
2017-10-01,
2017-10-03,
2017-10-04,
2017-10-06,
2017-10-08,
2017-10-09,
2017-10-11,
2017-10-13,
2017-10-14,
2017-10-16,
2017-10-18,
2017-10-19,
2017-10-21,
2017-10-23,
2017-10-24,
2017-10-26,
2017-10-28,
2017-10-29,
2018-02-10,
2018-02-13,
2018-02-15,
2018-02-16,
2018-02-18,
2018-02-20,
2018-02-21,
2018-02-23,
2018-02-25,
2018-02-26,
2018-02-28,
2018-03-02,
2018-03-03,
2018-03-05,
2018-03-07,
2018-03-08,
2018-03-10,
2018-03-12,
2018-03-13,
2018-03-15,
2018-03-17,
2018-03-18,
2018-03-20,
2018-03-22,
2018-03-23,
2018-03-25,
2018-03-27,
2018-03-28,
2018-03-30,
2018-04-01,
2018-04-02,
2018-04-04,
2018-04-06,
2018-04-07,
2018-04-09,
2018-04-11,
2018-04-12,
2018-04-14,
2018-04-16,
2018-04-17,
2018-04-19,
2018-04-21,
2018-04-22,
2018-04-24,
2018-04-26,
2018-04-27,
2018-04-29,
2018-05-01,
2018-05-02,
2018-05-04,
2018-05-06,
2018-05-07,
2018-05-09,
2018-05-11,0.4391015
2018-05-12,
2018-05-14,
2018-05-16,
2018-05-17,
2018-05-19,0.6188455
2018-05-21,
2018-05-22,
2018-05-24,
2018-05-26,0.6174723
2018-05-29,
2018-05-31,
2018-06-01,
2018-06-03,
2018-06-05,
2018-06-06,
2018-06-08,
2018-06-10,
2018-06-11,
2018-06-13,
2018-06-15,
2018-06-16,
2018-06-18,
2018-06-20,
2018-06-21,
2018-06-23,
2018-06-25,
2018-06-26,
2018-06-28,
2018-06-30,
2018-07-01,0.6451842
2018-07-03,0.6478602
2018-07-05,
2018-07-06,0.58979917
2018-07-08,0.64758736
2018-07-10,0.6293161
2018-07-11,
2018-07-13,0.6313249
2018-07-15,0.6202558
2018-07-16,0.66749555
2018-07-18,0.62528545
2018-07-20,0.6452805
2018-07-21,
2018-07-23,
2018-07-25,0.6262027
2018-07-26,
2018-07-28,0.66772294
2018-07-30,
2018-07-31,0.60494083
2018-08-02,
2018-08-04,
2018-08-05,
2018-08-07,
2018-08-09,
2018-08-10,
2018-08-12,
2018-08-14,
2018-08-15,
2018-08-17,
2018-08-19,
2018-08-20,
2018-08-22,0.69317466
2018-08-24,
2018-08-25,
2018-08-27,
2018-08-29,0.67701584
2018-08-30,
2018-09-01,0.63382995
2018-09-03,0.6655969
2018-09-04,
2018-09-06,
2018-09-08,0.6948046
2018-09-09,0.6805223
2018-09-11,
2018-09-13,
2018-09-14,
2018-09-16,
2018-09-18,0.7459803
2018-09-19,
2018-09-21,0.75279254
2018-09-23,
2018-09-24,
2018-09-26,
2018-09-28,0.6900989
2018-09-29,0.52529794
2018-10-01,
2018-10-03,
2018-10-04,0.7788559
2018-10-06,
2018-10-08,
2018-10-09,
2018-10-11,
2018-10-13,
2018-10-14,
2018-10-16,0.7242254
2018-10-18,
2018-10-19,
2018-10-21,
2018-10-23,
2018-10-24,0.6338188
2018-10-26,
2018-10-28,0.4264207
2018-10-29,
2018-10-31,
2019-02-10,
2019-02-13,
2019-02-15,
2019-02-16,
2019-02-18,
2019-02-20,
2019-02-21,
2019-02-23,
2019-02-25,
2019-02-26,
2019-02-28,
2019-03-02,
2019-03-03,
2019-03-05,
2019-03-07,
2019-03-08,
2019-03-10,
2019-03-12,
2019-03-13,
2019-03-15,
2019-03-17,
2019-03-18,
2019-03-20,
2019-03-22,
2019-03-23,
2019-03-25,
2019-03-27,
2019-03-28,
2019-03-30,
2019-04-01,
2019-04-02,
2019-04-04,
2019-04-06,
2019-04-07,
2019-04-09,
2019-04-11,
2019-04-12,
2019-04-14,
2019-04-16,
2019-04-17,
2019-04-19,
2019-04-21,
2019-04-22,
2019-04-24,
2019-04-26,
2019-04-27,
2019-04-29,
2019-05-01,
2019-05-02,
2019-05-04,
2019-05-06,
2019-05-07,
2019-05-09,
2019-05-11,
2019-05-12,
2019-05-14,
2019-05-16,
2019-05-17,
2019-05-19,0.6030398
2019-05-21,
2019-05-24,
2019-05-26,
2019-05-27,
2019-05-29,
2019-05-31,
2019-06-01,
2019-06-03,
2019-06-05,
2019-06-06,0.54229
2019-06-08,0.55982
2019-06-10,
2019-06-11,
2019-06-13,
2019-06-15,0.61711866
2019-06-16,0.6180972
2019-06-18,
2019-06-20,
2019-06-21,
2019-06-23,
2019-06-25,
2019-06-26,
2019-06-28,
2019-06-30,
2019-07-01,
2019-07-03,
2019-07-05,
2019-07-06,
2019-07-08,0.66166043
2019-07-10,
2019-07-11,0.64657104
2019-07-13,
2019-07-15,
2019-07-16,
2019-07-18,
2019-07-20,
2019-07-21,0.6568426
2019-07-23,
2019-07-25,
2019-07-26,0.6299173
2019-07-28,
2019-07-30,
2019-07-31,
2019-08-02,
2019-08-04,
2019-08-05,
2019-08-07,
2019-08-09,0.52909505
2019-08-10,
2019-08-12,
2019-08-14,
2019-08-15,
2019-08-17,
2019-08-19,
2019-08-20,
2019-08-22,
2019-08-24,0.6714006
2019-08-25,
2019-08-27,
2019-08-29,0.65856427
2019-08-30,
2019-09-01,
2019-09-03,
2019-09-04,0.56032515
2019-09-06,
2019-09-08,
2019-09-09,0.6953747
2019-09-11,
2019-09-13,
2019-09-14,0.5820976
2019-09-16,
2019-09-18,
2019-09-19,
2019-09-21,
2019-09-23,
2019-09-24,
2019-09-26,
2019-09-28,
2019-09-29,
2019-10-01,
2019-10-03,
2019-10-04,
2019-10-06,
2019-10-08,
2019-10-09,
2019-10-11,
2019-10-13,
2019-10-14,
2019-10-16,
2019-10-18,
2019-10-19,
2019-10-21,
2019-10-23,
2019-10-24,
2019-10-26,
2019-10-28,
2019-10-29,
2019-10-31,
2019-11-02,
2019-11-05,
2019-11-08,
2020-01-31,
2020-02-03,
2020-02-06,
2020-02-10,
2020-02-13,
2020-02-15,
2020-02-16,
2020-02-18,
2020-02-20,
2020-02-21,
2020-02-23,
2020-02-25,
2020-02-26,
2020-02-28,
