t,NDVI
2017-02-03,
2017-02-06,
2017-02-09,
2017-02-13,
2017-02-16,
2017-02-19,
2017-02-23,
2017-02-26,
2017-03-01,
2017-03-05,
2017-03-08,
2017-03-11,
2017-03-15,
2017-03-17,
2017-03-18,
2017-03-20,
2017-03-21,
2017-03-23,
2017-03-25,
2017-03-26,
2017-03-28,
2017-03-30,
2017-03-31,
2017-04-02,
2017-04-04,
2017-04-05,
2017-04-07,
2017-04-09,
2017-04-10,
2017-04-12,
2017-04-14,
2017-04-15,
2017-04-17,
2017-04-20,
2017-04-22,
2017-04-24,
2017-04-25,
2017-04-27,
2017-04-29,
2017-04-30,
2017-05-02,
2017-05-04,
2017-05-05,
2017-05-07,
2017-05-09,
2017-05-10,
2017-05-12,
2017-05-14,
2017-05-15,0.5370781
2017-05-17,
2017-05-19,
2017-05-20,0.47971117
2017-05-22,0.5127666
2017-05-24,0.50783616
2017-05-25,0.47119465
2017-05-27,
2017-05-29,
2017-05-30,0.5138381
2017-06-01,0.5258403
2017-06-03,0.53250456
2017-06-04,
2017-06-06,
2017-06-08,
2017-06-09,
2017-06-11,
2017-06-13,
2017-06-14,0.5561196
2017-06-16,
2017-06-18,
2017-06-19,
2017-06-21,
2017-06-23,0.56182194
2017-06-24,
2017-06-26,
2017-06-28,
2017-06-29,
2017-07-01,0.61464286
2017-07-03,
2017-07-04,
2017-07-06,
2017-07-08,0.6137542
2017-07-09,
2017-07-11,
2017-07-13,
2017-07-14,
2017-07-16,
2017-07-18,
2017-07-19,
2017-07-21,
2017-07-23,
2017-07-24,
2017-07-26,0.51900655
2017-07-28,
2017-07-29,0.64354354
2017-07-31,
2017-08-02,0.53222233
2017-08-03,
2017-08-05,0.50448126
2017-08-07,0.64222574
2017-08-08,
2017-08-10,
2017-08-12,0.6426722
2017-08-13,0.62712115
2017-08-15,0.64629334
2017-08-17,0.63954806
2017-08-18,
2017-08-20,
2017-08-22,
2017-08-23,
2017-08-25,
2017-08-27,
2017-08-28,0.6392686
2017-08-30,0.6376315
2017-09-01,0.61966795
2017-09-02,0.6403348
2017-09-04,0.61541486
2017-09-06,
2017-09-07,
2017-09-09,
2017-09-11,
2017-09-12,
2017-09-14,
2017-09-16,
2017-09-17,
2017-09-19,
2017-09-21,
2017-09-22,
2017-09-24,
2017-09-26,
2017-09-27,
2017-09-29,
2017-10-01,
2017-10-02,
2017-10-04,
2017-10-06,
2017-10-07,
2017-10-09,
2017-10-11,
2017-10-12,
2017-10-14,
2017-10-16,
2017-10-17,
2017-10-19,0.5482131
2017-10-21,
2017-10-22,
2017-10-24,
2017-10-26,
2017-10-27,
2017-10-29,
2017-10-31,
2017-11-01,
2017-11-03,
2017-11-05,
2017-11-06,0.32840893
2017-11-08,
2017-11-10,0.34406433
2018-02-01,
2018-02-03,
2018-02-04,
2018-02-06,
2018-02-08,
2018-02-09,
2018-02-11,
2018-02-13,
2018-02-14,
2018-02-16,
2018-02-18,
2018-02-19,
2018-02-21,
2018-02-23,
2018-02-24,
2018-02-26,
2018-02-28,
2018-03-01,
2018-03-03,
2018-03-05,
2018-03-06,
2018-03-08,
2018-03-10,
2018-03-11,
2018-03-13,
2018-03-15,
2018-03-16,
2018-03-18,
2018-03-20,
2018-03-21,
2018-03-23,
2018-03-25,
2018-03-26,
2018-03-28,
2018-03-30,
2018-03-31,
2018-04-02,
2018-04-04,
2018-04-05,
2018-04-07,
2018-04-09,
2018-04-10,
2018-04-12,
2018-04-14,
2018-04-15,
2018-04-17,
2018-04-19,
2018-04-20,
2018-04-22,
2018-04-24,
2018-04-25,
2018-04-27,
2018-04-29,
2018-04-30,
2018-05-02,
2018-05-04,
2018-05-05,
2018-05-07,
2018-05-09,0.54137343
2018-05-10,0.5285723
2018-05-12,
2018-05-14,0.48181295
2018-05-15,
2018-05-17,
2018-05-19,0.50489956
2018-05-20,
2018-05-22,
2018-05-24,0.5211921
2018-05-25,0.5420534
2018-05-29,0.54181206
2018-05-30,0.5332549
2018-06-01,
2018-06-03,
2018-06-04,
2018-06-06,
2018-06-08,
2018-06-09,0.5524278
2018-06-11,
2018-06-13,
2018-06-14,
2018-06-16,
2018-06-18,
2018-06-19,
2018-06-21,0.55099726
2018-06-23,
2018-06-24,0.6085677
2018-06-26,
2018-06-28,
2018-06-29,
2018-07-01,0.5864351
2018-07-03,0.5603659
2018-07-04,
2018-07-06,
2018-07-08,0.5445075
2018-07-09,0.5090923
2018-07-11,0.55664843
2018-07-13,0.521542
2018-07-14,0.5363692
2018-07-16,0.5274101
2018-07-18,0.46436715
2018-07-19,0.5213008
2018-07-21,
2018-07-23,0.45951617
2018-07-24,0.58047795
2018-07-26,
2018-07-28,
2018-07-29,
2018-07-31,
2018-08-02,0.561531
2018-08-03,
2018-08-05,
2018-08-07,0.6173806
2018-08-08,
2018-08-10,
2018-08-12,
2018-08-13,0.4984071
2018-08-15,
2018-08-17,
2018-08-18,0.5835004
2018-08-20,
2018-08-22,
2018-08-23,0.56872606
2018-08-25,0.18033867
2018-08-27,
2018-08-28,
2018-08-30,
2018-09-01,0.6064064
2018-09-02,
2018-09-04,
2018-09-06,
2018-09-07,0.57408446
2018-09-09,
2018-09-11,
2018-09-12,
2018-09-14,
2018-09-16,
2018-09-17,
2018-09-19,
2018-09-21,
2018-09-22,
2018-09-24,
2018-09-26,0.54410636
2018-09-27,0.5785689
2018-09-29,
2018-10-01,0.57348394
2018-10-02,0.5770544
2018-10-04,0.58859575
2018-10-06,0.54655325
2018-10-07,0.5674266
2018-10-09,
2018-10-11,0.53801507
2018-10-12,
2018-10-14,0.5037555
2018-10-16,
2018-10-17,
2018-10-19,0.52342564
2018-10-21,
2018-10-22,0.45941025
2018-10-24,0.4850468
2018-10-26,0.25880638
2018-10-27,
2018-10-29,
2018-10-31,
2018-11-01,0.487151
2018-11-03,0.48908147
2018-11-05,0.46227127
2018-11-06,
2018-11-08,
2018-11-10,
2019-02-01,
2019-02-03,
2019-02-04,
2019-02-06,
2019-02-08,
2019-02-09,
2019-02-11,
2019-02-13,
2019-02-14,
2019-02-16,
2019-02-18,
2019-02-19,
2019-02-21,
2019-02-23,
2019-02-24,
2019-02-26,
2019-02-28,
2019-03-01,
2019-03-03,
2019-03-05,
2019-03-06,
2019-03-08,
2019-03-10,
2019-03-11,
2019-03-13,
2019-03-15,
2019-03-16,
2019-03-18,
2019-03-20,
2019-03-21,
2019-03-23,
2019-03-25,
2019-03-26,
2019-03-28,
2019-03-30,
2019-03-31,
2019-04-02,
2019-04-04,
2019-04-05,
2019-04-07,
2019-04-09,
2019-04-10,
2019-04-12,
2019-04-14,
2019-04-15,
2019-04-17,
2019-04-19,
2019-04-20,
2019-04-22,
2019-04-24,
2019-04-25,
2019-04-27,
2019-04-29,0.55119663
2019-04-30,0.5167184
2019-05-02,
2019-05-04,0.43915796
2019-05-05,
2019-05-07,
2019-05-09,
2019-05-10,
2019-05-12,
2019-05-14,
2019-05-15,
2019-05-17,0.5332176
2019-05-19,
2019-05-20,
2019-05-24,
2019-05-25,
2019-05-27,0.56501085
2019-05-29,
2019-05-30,
2019-06-01,0.5530219
2019-06-03,
2019-06-04,
2019-06-06,0.5915498
2019-06-08,0.51725495
2019-06-09,0.6191928
2019-06-11,
2019-06-13,
2019-06-14,
2019-06-16,
2019-06-18,
2019-06-19,
2019-06-21,
2019-06-23,
2019-06-24,
2019-06-26,
2019-06-28,0.6453553
2019-06-29,
2019-07-01,
2019-07-03,
2019-07-04,0.6587562
2019-07-06,
2019-07-08,
2019-07-09,
2019-07-11,0.6488583
2019-07-13,0.6361383
2019-07-14,
2019-07-16,
2019-07-18,
2019-07-19,0.46034616
2019-07-21,0.6289076
2019-07-23,
2019-07-24,0.60700744
2019-07-26,0.57998496
2019-07-28,0.56524616
2019-07-29,0.552848
2019-07-31,0.56337017
2019-08-02,
2019-08-03,
2019-08-05,
2019-08-07,0.5772871
2019-08-08,
2019-08-10,
2019-08-12,
2019-08-13,
2019-08-15,
2019-08-17,
2019-08-18,
2019-08-20,
2019-08-22,0.6327593
2019-08-23,
2019-08-25,
2019-08-27,
2019-08-28,0.61253136
2019-08-30,
2019-09-01,
2019-09-02,
2019-09-04,0.65207803
2019-09-06,0.60738844
2019-09-07,
2019-09-09,0.5888313
2019-09-11,
2019-09-12,
2019-09-14,
2019-09-16,
2019-09-17,
2019-09-19,0.638892
2019-09-21,
2019-09-22,0.6281459
2019-09-24,
2019-09-26,0.60107654
2019-09-27,0.6060504
2019-09-29,
2019-10-01,
2019-10-02,
2019-10-04,
2019-10-06,
2019-10-07,
2019-10-09,0.5850854
2019-10-11,
2019-10-12,
2019-10-14,
2019-10-16,
2019-10-17,
2019-10-19,
2019-10-21,
2019-10-22,0.29842556
2019-10-24,
2019-10-26,
2019-10-27,
2019-10-29,
2019-10-31,
2019-11-01,
2019-11-03,
2019-11-05,
2019-11-06,
2019-11-08,
2019-11-10,
2019-11-11,
2019-11-15,
2019-11-18,
2019-11-21,
2020-01-24,
2020-01-27,
2020-01-30,
2020-02-01,
2020-02-03,
2020-02-04,
2020-02-06,
2020-02-08,
2020-02-09,
2020-02-11,
2020-02-13,
2020-02-14,
2020-02-16,
2020-02-18,
2020-02-19,
2020-02-21,
2020-02-23,
2020-02-24,
2020-02-26,
2020-02-28,
2020-02-29,
2020-03-02,
2020-03-04,
2020-03-05,
2020-03-07,
2020-03-09,
2020-03-10,
2020-03-12,
2020-03-14,
2020-03-15,
2020-03-17,
2020-03-19,
2020-03-20,
2020-03-22,
2020-03-24,
2020-03-25,
2020-03-27,
2020-03-29,
2020-03-30,
2020-04-01,
2020-04-03,
2020-04-04,
2020-04-06,
2020-04-08,
2020-04-09,
2020-04-11,
2020-04-13,
2020-04-14,
2020-04-16,
2020-04-18,
2020-04-19,
2020-04-21,
2020-04-23,
2020-04-24,
2020-04-26,
2020-04-28,
2020-04-29,
2020-05-01,
2020-05-03,
2020-05-04,
2020-05-06,
2020-05-08,
2020-05-09,
2020-05-11,
2020-05-13,
2020-05-14,
2020-05-16,
2020-05-18,
2020-05-19,
2020-05-21,0.58196026
2020-05-23,0.4889469
2020-05-24,
2020-05-26,0.4425153
2020-05-28,
2020-05-29,
2020-05-31,0.52847266
2020-06-02,0.50189525
2020-06-03,
2020-06-05,
2020-06-07,
2020-06-08,0.5671447
2020-06-10,0.58668196
2020-06-12,0.587873
2020-06-13,0.5957127
2020-06-15,
2020-06-17,0.6046133
2020-06-18,
2020-06-20,0.6292778
2020-06-22,0.61187303
2020-06-23,
2020-06-25,0.6068457
2020-06-27,0.59645826
2020-06-28,0.6029243
2020-06-30,
2020-07-02,0.6283108
2020-07-03,
2020-07-05,
2020-07-07,
2020-07-08,
2020-07-10,
2020-07-12,
2020-07-13,
2020-07-15,
2020-07-17,0.6606285
2020-07-18,
2020-07-20,
2020-07-22,
2020-07-23,
2020-07-25,
2020-07-27,
2020-07-28,
2020-07-30,
2020-08-01,0.7419783
2020-08-02,
2020-08-04,
2020-08-06,
2020-08-07,
2020-08-09,0.6975339
2020-08-11,
2020-08-12,
2020-08-14,
2020-08-16,0.6795965
2020-08-17,0.68885493
2020-08-19,
2020-08-21,0.5922472
2020-08-22,0.66661716
2020-08-24,0.6756118
2020-08-26,
2020-08-27,
2020-08-29,
2020-08-31,
2020-09-01,0.65185785
2020-09-03,
2020-09-05,
2020-09-06,0.62019056
2020-09-08,
2020-09-10,0.6298779
2020-09-11,0.6307036
2020-09-13,
2020-09-15,
2020-09-16,
2020-09-18,0.50664175
2020-09-20,
2020-09-21,
2020-09-23,0.48615006
2020-09-25,0.58036673
2020-09-26,
2020-09-28,
2020-09-30,
2020-10-01,
2020-10-03,0.47441164
2020-10-06,
2020-10-08,
2020-10-10,0.4426006
2020-10-11,
2020-10-13,
2020-10-15,
2020-10-16,0.5584922
2020-10-18,
2020-10-20,
2020-10-21,
2020-10-23,
2020-10-25,
2020-10-26,
2020-10-28,
2020-10-30,
2020-10-31,
2020-11-02,
2020-11-04,0.4904804
2020-11-05,0.4735733
2020-11-07,
2020-11-09,0.39939693
2021-01-18,
2021-01-21,
2021-01-24,
2021-01-28,
2021-01-31,
2021-02-02,
2021-02-03,
2021-02-05,
2021-02-07,
2021-02-08,
2021-02-10,
2021-02-12,
2021-02-13,
2021-02-15,
2021-02-17,
2021-02-18,
2021-02-20,
2021-02-22,
2021-02-23,
2021-02-25,
2021-02-27,
2021-02-28,
2021-03-02,
2021-03-04,
2021-03-05,
2021-03-07,
2021-03-09,
2021-03-10,
2021-03-12,
2021-03-14,
2021-03-15,
2021-03-17,
2021-03-19,
2021-03-20,
2021-03-22,
2021-03-24,
2021-03-25,
2021-03-27,
2021-03-29,
2021-03-30,
2021-04-01,
2021-04-03,
2021-04-04,
2021-04-06,
2021-04-08,
2021-04-09,
2021-04-11,
2021-04-13,
2021-04-14,
2021-04-16,
2021-04-18,
2021-04-19,
2021-04-21,
2021-04-23,
2021-04-24,
2021-04-26,
2021-04-28,
2021-04-29,
2021-05-01,
2021-05-03,
2021-05-04,
2021-05-06,
2021-05-08,
2021-05-09,
2021-05-11,
2021-05-13,
2021-05-14,
2021-05-16,
2021-05-18,
2021-05-19,
2021-05-21,
2021-05-23,
2021-05-24,
2021-05-26,0.57064927
2021-05-28,0.5744617
2021-05-29,
2021-05-31,
2021-06-02,0.57629097
2021-06-03,0.56256926
2021-06-05,
2021-06-07,
2021-06-08,
2021-06-10,0.6726896
2021-06-12,
2021-06-13,
2021-06-15,
2021-06-17,0.6518853
2021-06-18,
2021-06-20,
2021-06-22,
2021-06-23,
2021-06-25,
2021-06-27,
2021-06-28,0.71990997
2021-06-30,
2021-07-02,0.71226966
2021-07-03,
2021-07-05,0.6906295
2021-07-07,
2021-07-08,0.7089126
2021-07-10,
2021-07-12,0.7096429
2021-07-13,0.7103675
2021-07-15,0.6946248
2021-07-17,
2021-07-18,
2021-07-20,0.69724476
2021-07-22,
2021-07-23,
2021-07-25,0.66764927
2021-07-27,0.6576984
2021-07-28,0.7469492
2021-07-30,
2021-08-01,
2021-08-02,0.7195384
2021-08-04,0.6318606
2021-08-06,0.67328143
2021-08-07,0.6552268
2021-08-09,
2021-08-11,
2021-08-12,0.7103653
2021-08-14,
2021-08-16,
2021-08-17,
2021-08-19,
2021-08-21,
2021-08-22,0.71041715
2021-08-24,0.6814019
2021-08-26,
2021-08-27,
2021-08-29,0.71817416
2021-08-31,0.6937194
2021-09-01,
2021-09-03,
2021-09-05,
2021-09-06,
2021-09-08,
2021-09-10,
2021-09-11,
2021-09-13,0.6899676
2021-09-15,0.6305122
2021-09-16,
2021-09-18,
2021-09-20,
2021-09-21,
2021-09-23,
2021-09-25,
2021-09-26,0.610154
2021-09-28,
2021-09-30,
2021-10-01,
2021-10-03,
2021-10-05,
2021-10-06,
2021-10-08,
2021-10-10,
2021-10-11,
2021-10-13,0.61867046
2021-10-15,
2021-10-16,
2021-10-18,
2021-10-20,
2021-10-21,
2021-10-23,
2021-10-25,
2021-10-26,
2021-10-28,
2021-10-30,
2021-10-31,
2021-11-02,
2021-11-04,
2021-11-05,
2021-11-07,
2021-11-10,
2021-11-14,
2021-11-17,
2021-11-20,
2021-11-24,
2022-01-23,
2022-01-26,
2022-01-29,
2022-01-31,
2022-02-02,
2022-02-03,
2022-02-05,
2022-02-07,
2022-02-08,
2022-02-10,
2022-02-12,
2022-02-13,
2022-02-15,
2022-02-17,
2022-02-18,
2022-02-20,
2022-02-22,
2022-02-23,
2022-02-25,
2022-02-27,
2022-02-28,
2022-03-02,
2022-03-04,
2022-03-05,
2022-03-07,
2022-03-09,
2022-03-10,
2022-03-12,
2022-03-14,
2022-03-15,
2022-03-17,
2022-03-19,
2022-03-20,
2022-03-22,
2022-03-24,
2022-03-25,
2022-03-27,
2022-03-29,
2022-03-30,
2022-04-01,
2022-04-03,
2022-04-04,
2022-04-06,
2022-04-08,
2022-04-09,
2022-04-11,
2022-04-13,
2022-04-14,
2022-04-16,
2022-04-18,
2022-04-19,
2022-04-21,
2022-04-23,
2022-04-24,
2022-04-26,
2022-04-28,
2022-04-29,
2022-05-01,
2022-05-03,
2022-05-04,
2022-05-06,
2022-05-08,0.54770994
