t,NDVI
2017-01-14,
2017-01-24,0.5670064
2017-01-27,0.68564945
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,
2017-02-23,0.40349737
2017-02-26,
2017-03-05,0.67540014
2017-03-08,
2017-03-15,
2017-03-17,0.81812215
2017-03-18,
2017-03-20,
2017-03-23,
2017-03-25,
2017-03-28,
2017-03-30,
2017-04-02,0.6660481
2017-04-04,
2017-04-07,
2017-04-09,
2017-04-12,
2017-04-14,
2017-04-17,
2017-04-22,
2017-04-24,
2017-04-27,
2017-04-29,
2017-05-02,0.7638028
2017-05-04,0.7530503
2017-05-07,
2017-05-09,
2017-05-12,
2017-05-14,
2017-05-17,
2017-05-19,0.6054577
2017-05-22,0.7549229
2017-05-24,0.75120485
2017-05-27,0.76980174
2017-05-29,
2017-06-01,
2017-06-03,
2017-06-06,
2017-06-08,
2017-06-11,
2017-06-13,
2017-06-16,
2017-06-18,
2017-06-21,
2017-06-23,
2017-06-26,0.7734204
2017-06-28,0.80769694
2017-07-01,0.8353413
2017-07-03,
2017-07-06,0.83408177
2017-07-08,
2017-07-11,
2017-07-13,
2017-07-16,
2017-07-18,
2017-07-21,
2017-07-23,
2017-07-26,
2017-07-28,
2017-07-31,
2017-08-02,
2017-08-05,
2017-08-07,
2017-08-10,
2017-08-12,
2017-08-15,
2017-08-17,
2017-08-20,0.77025425
2017-08-22,
2017-08-25,
2017-08-27,
2017-08-30,0.79942155
2017-09-01,0.7869973
2017-09-04,
2017-09-06,
2017-09-09,
2017-09-11,0.73892164
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,
2017-09-24,
2017-09-26,
2017-09-29,
2017-10-01,
2017-10-04,0.7970933
2017-10-06,
2017-10-09,
2017-10-11,
2017-10-14,0.89246464
2017-10-16,0.8606667
2017-10-19,0.89027435
2017-10-21,0.8649908
2017-10-24,
2017-10-26,
2017-10-29,
2017-10-31,0.830211
2017-11-03,0.8391555
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,0.7584087
2017-11-15,
2017-11-18,
2017-11-20,
2017-11-23,
2017-11-28,
2017-11-30,
2018-01-14,
2018-01-17,
2018-01-19,
2018-01-22,
2018-01-27,0.7214795
2018-01-29,
2018-02-01,
2018-02-03,
2018-02-06,
2018-02-08,
2018-02-11,
2018-02-13,
2018-02-16,
2018-02-18,
2018-02-21,
2018-02-23,
2018-02-26,
2018-02-28,0.42857286
2018-03-03,
2018-03-05,
2018-03-08,
2018-03-10,
2018-03-13,
2018-03-15,
2018-03-18,0.62966913
2018-03-20,0.59045875
2018-03-23,
2018-03-25,0.73085785
2018-03-28,0.7380829
2018-03-30,0.6718202
2018-04-02,0.795158
2018-04-04,
2018-04-07,
2018-04-09,
2018-04-12,0.6961975
2018-04-14,0.72395283
2018-04-17,0.7614797
2018-04-19,0.74537855
2018-04-22,
2018-04-24,0.5467467
2018-04-27,
2018-04-29,
2018-05-02,
2018-05-04,
2018-05-07,0.7582408
2018-05-09,0.71352047
2018-05-12,0.69478387
2018-05-14,0.72763604
2018-05-17,0.7503777
2018-05-19,
2018-05-22,0.7547244
2018-05-24,0.7459945
2018-05-29,0.7542751
2018-06-01,0.7582113
2018-06-03,0.76019096
2018-06-06,
2018-06-08,
2018-06-11,
2018-06-13,
2018-06-16,
2018-06-18,
2018-06-21,
2018-06-23,
2018-06-26,0.6922011
2018-06-28,
2018-07-01,
2018-07-03,
2018-07-06,0.8063487
2018-07-08,0.78912216
2018-07-11,
2018-07-13,
2018-07-16,0.7875275
2018-07-18,0.73801243
2018-07-21,
2018-07-23,
2018-07-26,0.75399256
2018-07-28,
2018-07-31,0.7582105
2018-08-02,0.62344307
2018-08-05,
2018-08-07,0.80526686
2018-08-10,
2018-08-12,
2018-08-15,0.51591367
2018-08-17,0.5980133
2018-08-20,
2018-08-22,0.80071545
2018-08-25,
2018-08-27,
2018-08-30,
2018-09-01,
2018-09-04,
2018-09-06,
2018-09-09,0.7742077
2018-09-11,
2018-09-14,0.78423667
2018-09-16,
2018-09-19,0.8229769
2018-09-21,
2018-09-24,
2018-09-26,
2018-09-29,
2018-10-01,
2018-10-04,
2018-10-06,
2018-10-09,
2018-10-11,0.7597288
2018-10-14,0.81271905
2018-10-16,
2018-10-19,0.8936103
2018-10-21,
2018-10-24,0.9157864
2018-10-26,0.84019965
2018-10-29,
2018-10-31,
2018-11-03,
2018-11-05,
2018-11-08,
2018-11-10,
2018-11-15,
2018-11-18,
2018-11-20,
2018-11-23,
2018-11-25,0.50799555
2018-11-28,0.49837655
2018-11-30,
2019-01-14,0.43278417
2019-01-17,
2019-01-19,
2019-01-22,
2019-01-24,
2019-01-27,
2019-01-29,
2019-02-01,
2019-02-03,
2019-02-06,
2019-02-08,
2019-02-11,
2019-02-13,
2019-02-16,
2019-02-18,
2019-02-21,
2019-02-23,
2019-02-26,0.8590723
2019-02-28,
2019-03-03,
2019-03-05,
2019-03-08,
2019-03-10,0.46407747
2019-03-13,
2019-03-15,
2019-03-18,
2019-03-20,
2019-03-23,
2019-03-25,0.801282
2019-03-28,
2019-03-30,0.7037878
2019-04-02,0.7429684
2019-04-04,
2019-04-07,
2019-04-09,
2019-04-12,
2019-04-14,
2019-04-17,0.7811643
2019-04-19,
2019-04-22,0.7304323
2019-04-24,0.5868386
2019-04-27,0.7445319
2019-04-29,
2019-05-02,
2019-05-04,
2019-05-07,
2019-05-09,
2019-05-12,
2019-05-14,0.68396986
2019-05-17,0.7048425
2019-05-19,
2019-05-24,
2019-05-27,
2019-05-29,
2019-06-01,
2019-06-03,
2019-06-06,0.69727397
2019-06-08,0.75520605
2019-06-11,
2019-06-13,
2019-06-16,0.77620053
2019-06-18,0.75835663
2019-06-21,
2019-06-23,
2019-06-26,
2019-06-28,0.7155396
2019-07-01,
2019-07-03,
2019-07-06,
2019-07-08,
2019-07-11,0.8125456
2019-07-13,
2019-07-16,
2019-07-18,0.5632359
2019-07-21,0.751238
2019-07-23,
2019-07-26,
2019-07-28,0.7885822
2019-07-31,
2019-08-02,0.7991671
2019-08-05,
2019-08-07,0.6695332
2019-08-10,
2019-08-12,
2019-08-15,
2019-08-17,
2019-08-20,
2019-08-22,
2019-08-25,
2019-08-27,0.7889566
2019-08-30,
2019-09-01,0.7792031
2019-09-04,0.8108842
2019-09-06,
2019-09-09,
2019-09-11,0.760478
2019-09-14,
2019-09-16,
2019-09-19,
2019-09-21,0.7832971
2019-09-24,
2019-09-26,
2019-09-29,
2019-10-01,0.787049
2019-10-04,0.62198114
2019-10-06,
2019-10-09,
2019-10-11,
2019-10-14,
2019-10-16,
2019-10-19,
2019-10-21,
2019-10-24,
2019-10-26,
2019-10-29,0.83093655
2019-10-31,0.78799754
2019-11-03,
2019-11-05,0.7740114
2019-11-08,
2019-11-10,
2019-11-13,
2019-11-15,
2019-11-18,
2019-11-20,
2019-11-23,
2019-11-28,
2019-11-30,0.26980063
2019-12-05,0.39091888
2019-12-08,
2019-12-15,
2019-12-18,
2019-12-25,
2019-12-28,
2020-01-04,0.5128102
2020-01-07,
2020-01-14,
2020-01-17,
2020-01-19,0.6846034
2020-01-22,0.6994659
2020-01-24,0.7047896
2020-01-27,
2020-01-29,
2020-02-01,
2020-02-03,0.76140785
2020-02-06,
2020-02-08,
2020-02-11,
2020-02-13,0.80176365
