t,NDVI,EVI2
2017-01-28,,
2017-01-31,,
2017-02-07,0.5043192,0.26275072
2017-02-10,,
2017-02-17,,
2017-02-20,,
2017-02-27,,
2017-03-02,,
2017-03-09,,
2017-03-12,,
2017-03-19,0.754958,0.31624106
2017-03-21,,
2017-03-22,,
2017-03-24,,
2017-03-27,,
2017-03-29,0.7012094,0.32548982
2017-04-01,,
2017-04-03,,
2017-04-06,,
2017-04-08,0.7704006,0.28843048
2017-04-11,,
2017-04-13,,
2017-04-16,,
2017-04-18,,
2017-04-21,,
2017-04-23,,
2017-04-26,,
2017-04-28,,
2017-05-01,0.72838056,0.28931168
2017-05-06,0.77314764,0.2835118
2017-05-08,,
2017-05-11,,
2017-05-13,,
2017-05-16,0.7561466,0.28413746
2017-05-18,,
2017-05-21,0.75819707,0.28591758
2017-05-26,,
2017-05-28,0.7248474,0.30647373
2017-05-31,,
2017-06-02,,
2017-06-05,,
2017-06-07,,
2017-06-10,,
2017-06-12,,
2017-06-15,0.788112,0.34854716
2017-06-17,,
2017-06-20,,
2017-06-22,0.80636114,0.4486294
2017-06-25,,
2017-06-27,0.5532792,0.33215195
2017-06-30,0.8451793,0.37931353
2017-07-02,,
2017-07-05,,
2017-07-07,,
2017-07-10,,
2017-07-12,,
2017-07-15,0.8639109,0.3936759
2017-07-17,,
2017-07-20,,
2017-07-22,,
2017-07-25,,
2017-07-27,,
2017-07-30,0.833291,0.37894705
2017-08-01,,
2017-08-04,,
2017-08-06,,
2017-08-09,,
2017-08-11,,
2017-08-14,0.86418295,0.2163877
2017-08-16,,
2017-08-19,,
2017-08-21,,
2017-08-24,,
2017-08-26,,
2017-08-29,,
2017-08-31,,
2017-09-03,0.7917565,0.34558225
2017-09-05,0.8615928,0.3648781
2017-09-08,,
2017-09-10,,
2017-09-13,,
2017-09-15,,
2017-09-18,,
2017-09-20,,
2017-09-23,,
2017-09-28,,
2017-09-30,,
2017-10-03,,
2017-10-05,,
2017-10-08,,
2017-10-10,,
2017-10-13,,
2017-10-15,,
2017-10-18,,
2017-10-20,0.5960625,0.24791226
2017-10-23,,
2017-10-25,,
2017-10-28,,
2017-10-30,,
2017-11-02,0.49004015,0.23884209
2017-11-04,,
2017-11-07,0.739196,0.22310553
2017-11-09,,
2017-11-12,,
2017-11-14,,
2017-11-17,,
2017-11-19,,
2018-01-23,,
2018-01-26,,
2018-01-28,,
2018-01-31,,
2018-02-02,,
2018-02-05,,
2018-02-07,,
2018-02-10,,
2018-02-12,,
2018-02-15,,
2018-02-17,,
2018-02-20,0.42028564,0.22874585
2018-02-22,0.4359425,0.2394811
2018-02-25,,
2018-02-27,0.5500342,0.2732964
2018-03-02,,
2018-03-04,0.47982877,0.23530395
2018-03-07,,
2018-03-09,,
2018-03-12,,
2018-03-14,,
2018-03-17,,
2018-03-19,,
2018-03-22,,
2018-03-24,,
2018-03-27,,
2018-03-29,,
2018-04-01,,
2018-04-03,,
2018-04-06,,
2018-04-08,0.4577695,0.26370814
2018-04-11,,
2018-04-13,,
2018-04-16,,
2018-04-18,0.58871406,0.24780874
2018-04-21,,
2018-04-23,0.66262215,0.27089092
2018-04-26,,
2018-04-28,0.6895277,0.3007963
2018-05-01,,
2018-05-03,,
2018-05-06,0.7415605,0.2596461
2018-05-08,0.701368,0.30197635
2018-05-11,,
2018-05-13,0.7540795,0.29545146
2018-05-16,,
2018-05-18,0.79621917,0.34453645
2018-05-21,0.78462225,0.32857415
2018-05-23,0.74689835,0.4032376
2018-05-26,,
2018-05-31,0.83226275,0.3611118
2018-06-02,0.7883893,0.42462587
2018-06-05,,
2018-06-07,,
2018-06-10,0.82428634,0.36052805
2018-06-12,,
2018-06-15,,
2018-06-17,,
2018-06-20,0.8339302,0.39369085
2018-06-22,,
2018-06-25,,
2018-06-27,,
2018-06-30,,
2018-07-02,,
2018-07-05,,
2018-07-07,0.8145172,0.38910064
2018-07-10,0.8241248,0.34128687
2018-07-12,0.80303407,0.38549826
2018-07-15,0.8123655,0.38806975
2018-07-17,0.82125294,0.4035743
2018-07-20,,
2018-07-22,0.8063382,0.39729252
2018-07-25,,
2018-07-27,,
2018-07-30,0.7723699,0.38690007
2018-08-01,,
2018-08-04,,
2018-08-06,,
2018-08-09,,
2018-08-11,0.83002853,0.4183518
2018-08-14,0.77611846,0.41282156
2018-08-16,0.78374594,0.425705
2018-08-19,0.82303244,0.4038285
2018-08-21,0.8043659,0.40413627
2018-08-24,,
2018-08-26,,
2018-08-29,0.80761456,0.3488115
2018-08-31,,
2018-09-03,,
2018-09-05,,
2018-09-08,0.75554466,0.32337782
2018-09-10,,
2018-09-13,0.5964222,0.23092023
2018-09-15,,
2018-09-18,,
2018-09-20,,
2018-09-23,0.7223105,0.2378507
2018-09-25,0.8301803,0.33389577
2018-09-28,0.7987548,0.36809596
2018-09-30,,
2018-10-03,,
2018-10-05,,
2018-10-08,,
2018-10-10,0.8158624,0.30707732
2018-10-13,,
2018-10-15,0.76851416,0.27668524
2018-10-18,,
2018-10-20,,
2018-10-23,,
