t,NDVI,EVI2
2017-01-16,,
2017-01-19,0.63417774,0.4379436
2017-01-26,0.6601472,0.4432965
2017-01-29,,
2017-02-05,0.6769846,0.4796658
2017-02-08,0.69456667,0.4704055
2017-02-15,0.6851776,0.4689333
2017-02-18,0.7204568,0.47650608
2017-02-25,,
2017-02-28,,
2017-03-07,,
2017-03-10,0.8265159,0.6072825
2017-03-17,,
2017-03-20,,
2017-03-25,,
2017-03-27,0.8442923,0.6728344
2017-03-30,,
2017-04-01,,
2017-04-06,,
2017-04-09,0.89642036,0.7340906
2017-04-11,0.8686213,0.7506129
2017-04-14,,
2017-04-16,,
2017-04-19,0.88831073,0.7673226
2017-04-21,,
2017-04-24,0.6250001,0.46840996
2017-04-26,0.60141474,0.45320553
2017-04-29,0.6413012,0.48636183
2017-05-01,,
2017-05-04,,
2017-05-06,,
2017-05-09,,
2017-05-11,,
2017-05-14,,
2017-05-16,0.7798591,0.698407
2017-05-19,,
2017-05-21,,
2017-05-24,0.843126,0.66553545
2017-05-26,0.8311807,0.68388325
2017-05-29,,
2017-06-03,,
2017-06-05,,
2017-06-08,,
2017-06-10,0.5978969,0.46116418
2017-06-13,,
2017-06-15,0.48354673,0.38340452
2017-06-18,0.49824366,0.3690966
2017-06-20,0.44895718,0.35376647
2017-06-23,,
2017-06-25,,
2017-06-28,,
2017-06-30,,
2017-07-03,,
2017-07-05,,
2017-07-10,,
2017-07-13,,
2017-07-15,0.689046,0.5019031
2017-07-18,0.6561934,0.4618293
2017-07-20,,
2017-07-23,,
2017-07-25,,
2017-07-28,,
2017-07-30,,
2017-08-02,0.7043822,0.4938511
2017-08-04,,
2017-08-07,0.6740246,0.48565528
2017-08-09,0.6317855,0.50344497
2017-08-12,,
2017-08-14,0.7004277,0.48564148
2017-08-17,,
2017-08-19,,
2017-08-22,0.7147548,0.50393754
2017-08-24,,
2017-08-27,0.6138271,0.40021792
2017-08-29,,
2017-09-01,,
2017-09-03,,
2017-09-06,,
2017-09-08,,
2017-09-11,0.65321046,0.48027736
2017-09-13,,
2017-09-16,,
2017-09-18,,
2017-09-21,,
2017-09-23,,
2017-09-26,,
2017-09-28,0.7003437,0.4688818
2017-10-01,,
2017-10-03,0.512503,0.35476884
2017-10-06,,
2017-10-08,,
2017-10-11,0.79127973,0.51790947
2017-10-13,0.6427763,0.43531746
2017-10-16,0.6289459,0.43024352
2017-10-18,0.49111977,0.39865124
2017-10-21,,
2017-10-23,,
2017-10-26,0.7657677,0.52374375
2017-10-28,0.7644305,0.54885745
2017-10-31,0.7629457,0.52734935
2017-11-02,0.7175528,0.508959
2017-11-05,,
2017-11-07,0.7503581,0.52935505
2017-11-10,,
2017-11-12,,
2017-11-15,0.7504575,0.49722952
2017-11-17,0.735128,0.49246952
2017-11-20,,
2017-11-22,0.6797921,0.47015902
2017-11-25,,
2017-11-27,,
2017-11-30,,
2017-12-02,,
2017-12-05,,
2017-12-07,,
2017-12-10,,
2017-12-12,0.5024901,0.3308601
2017-12-15,,
2017-12-17,,
2017-12-20,0.4787908,0.3061166
2017-12-22,,
2017-12-25,,
2017-12-27,,
2017-12-30,,
2018-01-01,,
2018-01-04,,
2018-01-06,,
2018-01-09,,
2018-01-11,0.67051834,0.42040023
2018-01-14,0.67896473,0.36450943
2018-01-16,,
2018-01-19,,
2018-01-21,,
2018-01-24,,
2018-01-26,0.7529937,0.50985444
2018-01-29,,
2018-01-31,,
2018-02-05,0.7571566,0.54393274
2018-02-08,0.808714,0.5630626
2018-02-10,0.8007745,0.5562647
2018-02-13,,
2018-02-15,,
2018-02-18,,
2018-02-20,,
2018-02-23,0.7652488,0.5464072
2018-02-25,0.75039023,0.5530748
2018-02-28,,
2018-03-02,,
2018-03-05,,
2018-03-07,,
2018-03-10,,
2018-03-12,,
2018-03-15,,
2018-03-17,,
2018-03-20,0.8118154,0.61827546
2018-03-22,,
2018-03-25,,
2018-03-27,,
2018-03-30,,
2018-04-01,,
2018-04-04,,
2018-04-06,,
2018-04-09,,
2018-04-11,,
2018-04-14,,
2018-04-16,,
2018-04-19,0.8811515,0.71972436
2018-04-21,0.86952496,0.72696924
2018-04-24,0.89382005,0.75052416
2018-04-26,,
2018-04-29,,
2018-05-01,,
2018-05-04,0.6776517,0.49833852
2018-05-06,0.5807161,0.42316866
2018-05-09,0.5842419,0.43621287
2018-05-11,,
2018-05-14,,
2018-05-16,0.6825293,0.50216085
2018-05-19,0.7267233,0.5227849
2018-05-21,0.7445652,0.5517675
2018-05-24,0.8132597,0.6523932
2018-05-26,0.81065506,0.6294686
2018-05-29,,
2018-05-31,,
2018-06-03,,
2018-06-05,,
2018-06-08,,
2018-06-10,,
2018-06-13,,
2018-06-15,,
2018-06-18,,
2018-06-20,0.52778447,0.39039925
2018-06-23,,
2018-06-25,0.51047397,0.39405337
2018-06-28,0.5844865,0.42274272
2018-06-30,0.5676063,0.42203385
2018-07-03,,
2018-07-05,,
2018-07-08,0.64270186,0.44842777
2018-07-10,0.6414121,0.46975008
2018-07-13,,
2018-07-15,0.6313527,0.48111883
2018-07-18,0.7307958,0.5193458
2018-07-20,,
2018-07-23,0.56974006,0.38896647
2018-07-25,0.5868028,0.40639275
2018-07-28,0.5921516,0.4089392
2018-07-30,,
2018-08-02,0.539791,0.35578537
2018-08-04,0.4886202,0.33939338
2018-08-07,,
2018-08-09,,
2018-08-12,0.4583691,0.29999253
2018-08-14,,
2018-08-17,,
2018-08-19,0.43225655,0.28196824
2018-08-22,0.4034523,0.25431073
2018-08-24,,
2018-08-27,,
2018-08-29,,
2018-09-01,0.43575266,0.25537297
2018-09-03,,
2018-09-06,,
2018-09-08,0.43493402,0.26309016
2018-09-11,0.42316306,0.24302132
2018-09-13,,
2018-09-16,0.38738242,0.24832833
2018-09-18,,
2018-09-21,,
2018-09-23,,
2018-09-26,0.44710112,0.25022012
2018-09-28,0.407568,0.23729135
2018-10-01,,
2018-10-03,,
2018-10-06,,
2018-10-08,,
2018-10-11,,
2018-10-13,,
2018-10-16,,
2018-10-18,0.62588125,0.3611749
2018-10-21,0.6983769,0.42106503
2018-10-23,,
2018-10-26,,
2018-10-28,,
2018-10-31,,
2018-11-02,0.7569622,0.49609348
2018-11-05,,
2018-11-07,,
2018-11-10,,
2018-11-12,,
2018-11-15,0.78767514,0.52857876
2018-11-17,,
2018-11-20,0.49131495,0.12525111
2018-11-22,,
2018-11-25,,
2018-11-27,,
2018-11-30,0.67670935,0.4405853
2018-12-02,,
2018-12-05,,
2018-12-07,,
2018-12-10,,
2018-12-12,,
2018-12-15,,
2018-12-17,0.73151,0.468805
2018-12-20,,
2018-12-22,,
2018-12-25,0.82321274,0.54966277
2018-12-27,,
2018-12-30,,
2019-01-01,,
2019-01-04,,
2019-01-06,,
2019-01-09,,
2019-01-11,,
2019-01-14,,
2019-01-16,0.79136306,0.55280924
2019-01-19,,
2019-01-21,,
2019-01-24,,
