t,PPI_mean
2017-01-04,
2017-01-07,
2017-01-14,
2017-01-24,
2017-01-27,0.0
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,
2017-02-23,
2017-02-26,
2017-03-05,
2017-03-08,
2017-03-15,
2017-03-17,
2017-03-18,
2017-03-20,
2017-03-23,
2017-03-25,0.2670346
2017-03-28,0.3126366
2017-03-30,
2017-04-02,
2017-04-04,
2017-04-07,
2017-04-09,
2017-04-12,
2017-04-14,1.0234377
2017-04-17,
2017-04-22,
2017-04-24,1.2954937
2017-04-27,
2017-04-29,
2017-05-02,
2017-05-04,
2017-05-07,
2017-05-09,
2017-05-12,
2017-05-14,
2017-05-17,1.9043374
2017-05-19,
2017-05-22,
2017-05-24,
2017-05-27,2.23738
2017-05-29,
2017-06-01,
2017-06-03,
2017-06-06,2.4237764
2017-06-08,
2017-06-11,
2017-06-13,1.8093858
2017-06-16,
2017-06-18,
2017-06-21,
2017-06-23,
2017-06-26,1.4506897
2017-06-28,
2017-07-01,
2017-07-03,2.3211634
2017-07-06,1.8683671
2017-07-08,
2017-07-11,
2017-07-13,
2017-07-16,2.9668841
2017-07-18,2.714579
2017-07-21,2.5204687
2017-07-23,2.9836
2017-07-26,
2017-07-28,
2017-07-31,
2017-08-02,
2017-08-05,2.5013056
2017-08-07,2.5604792
2017-08-10,
2017-08-12,
2017-08-15,2.4757571
2017-08-17,1.9071758
2017-08-20,
2017-08-22,1.5771754
2017-08-25,1.159199
2017-08-27,
2017-08-30,
2017-09-01,
2017-09-04,1.4526136
2017-09-06,
2017-09-09,
2017-09-11,
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,1.8742102
2017-09-24,
2017-09-26,0.12635045
2017-09-29,
2017-10-01,
2017-10-04,
2017-10-06,
2017-10-09,
2017-10-11,1.2432503
2017-10-14,0.7811917
2017-10-16,0.82486933
2017-10-19,0.67424005
2017-10-21,1.0684693
2017-10-24,0.77928615
2017-10-26,
2017-10-29,
2017-10-31,0.54212976
2017-11-03,0.41136155
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,
2017-11-15,0.24395515
2017-11-18,0.17382441
2017-11-20,
2017-11-23,0.051191308
2017-11-28,
2017-11-30,
2017-12-03,0.0
2017-12-05,
2017-12-08,
2017-12-10,
2017-12-13,0.0
2017-12-15,
2017-12-18,
2017-12-20,
2017-12-23,0.0
2017-12-25,0.0
2017-12-28,
2017-12-30,
2018-01-02,0.0
2018-01-04,
2018-01-07,
2018-01-09,
2018-01-12,0.0
2018-01-14,0.0
2018-01-17,
2018-01-19,
2018-01-22,
2018-01-24,0.0
2018-01-27,0.0
