t,PPI_mean
2017-01-10,
2017-01-30,
2017-02-09,
2017-02-19,
2017-03-01,
2017-03-11,
2017-03-21,
2017-03-26,
2017-03-31,
2017-04-05,
2017-04-10,
2017-04-15,
2017-04-20,
2017-04-25,
2017-04-30,
2017-05-05,
2017-05-10,
2017-05-15,
2017-05-20,
2017-05-25,
2017-05-30,0.5469735
2017-06-04,
2017-06-09,
2017-06-14,
2017-06-19,
2017-06-24,
2017-06-29,
2017-07-04,2.1597178
2017-07-09,
2017-07-14,1.8102586
2017-07-19,
2017-07-24,
2017-07-29,0.17557617
2017-08-03,0.22210999
2017-08-08,
2017-08-13,
2017-08-18,0.6967487
2017-08-23,0.5866534
2017-08-28,
2017-09-02,
2017-09-07,0.44054195
2017-09-12,0.5173728
2017-09-17,
2017-09-22,0.1939908
2017-09-27,
2017-10-02,
2017-10-07,0.15309803
2017-10-12,0.14247198
2017-10-17,0.13313171
2017-10-22,
2017-10-27,
2017-11-01,0.053104207
2017-11-06,
2017-11-11,
2017-11-16,
2017-11-21,
2017-11-26,
2017-12-01,
2017-12-06,
2017-12-11,
2017-12-16,
2017-12-21,
2017-12-26,
2017-12-31,
2018-01-05,
2018-01-10,
2018-01-15,
2018-01-20,
2018-01-25,
2018-01-30,
2018-02-04,
2018-02-09,
2018-02-14,
2018-02-19,
2018-02-24,
2018-03-01,
2018-03-06,
2018-03-11,
2018-03-16,
2018-03-21,
2018-03-26,
2018-03-31,
2018-04-05,
2018-04-10,
2018-04-15,
2018-04-20,
2018-04-25,
2018-04-30,
2018-05-05,
2018-05-10,
2018-05-15,
2018-05-20,
2018-05-25,
2018-05-30,
2018-06-04,
2018-06-09,
2018-06-14,1.2669908
2018-06-19,1.724814
2018-06-24,
2018-06-29,2.693246
2018-07-04,2.5804303
2018-07-09,
2018-07-14,1.9382308
2018-07-19,1.4860184
2018-07-24,1.5641413
2018-07-29,1.1728964
2018-08-03,
2018-08-08,
2018-08-13,
2018-08-18,
2018-08-23,
2018-08-28,0.6787002
2018-09-02,0.42060855
2018-09-07,
2018-09-12,0.42727375
2018-09-17,0.2305489
2018-09-22,0.20442715
2018-09-27,0.28905016
2018-10-02,0.22523256
2018-10-07,
2018-10-12,0.1868828
2018-10-17,
2018-10-22,0.15538463
2018-10-27,
2018-11-01,
2018-11-06,
2018-11-11,
2018-11-16,0.077514164
2018-11-21,
2018-11-26,
2018-12-01,
2018-12-06,
2018-12-11,
2018-12-16,
2018-12-21,
2018-12-26,
2018-12-31,
2019-01-05,
2019-01-10,
2019-01-15,
2019-01-20,
2019-01-25,
2019-01-30,
2019-02-04,
2019-02-09,
2019-02-14,
2019-02-19,
2019-02-24,
2019-03-01,
2019-03-06,
2019-03-11,
2019-03-16,
2019-03-21,
2019-03-26,
2019-03-31,
2019-04-05,
2019-04-10,
2019-04-15,
2019-04-20,
2019-04-25,
2019-04-30,
2019-05-05,
2019-05-10,
2019-05-15,
2019-05-20,
2019-05-25,
2019-05-30,0.2620411
2019-06-04,0.4595724
2019-06-09,
2019-06-14,0.86704236
2019-06-19,
2019-06-24,
2019-06-29,2.1633713
2019-07-04,2.7961082
2019-07-09,
2019-07-14,2.1834066
2019-07-19,1.8240491
2019-07-24,1.3832964
2019-07-29,1.2583969
2019-08-03,1.026261
2019-08-08,0.9258173
2019-08-13,
2019-08-18,0.6927884
2019-08-23,0.63144153
2019-08-28,
2019-09-02,0.5855665
2019-09-07,0.111384615
2019-09-12,0.4156595
2019-09-17,0.31740513
2019-09-22,
2019-09-27,0.26323432
2019-10-02,
2019-10-07,0.18270007
2019-10-12,
2019-10-17,0.045248747
2019-10-22,
2019-10-27,
2019-11-01,
2019-11-06,
2019-11-11,
2019-11-16,
2019-11-21,
2019-11-26,
2019-12-01,
2019-12-06,
2019-12-11,
2019-12-16,
2019-12-21,
2019-12-26,
2019-12-31,
2020-01-05,
2020-01-10,
2020-01-15,
2020-01-20,
2020-01-25,
2020-01-30,
2020-02-04,
2020-02-09,
2020-02-14,
2020-02-19,
2020-02-24,
2020-02-29,
2020-03-05,
2020-03-10,
2020-03-15,
2020-03-20,
2020-03-25,
2020-03-30,
2020-04-04,
2020-04-09,
2020-04-14,
2020-04-19,
2020-04-24,
2020-04-29,
2020-05-04,
2020-05-09,
2020-05-14,
2020-05-19,
2020-05-24,0.7364235
2020-05-29,1.1258682
2020-06-03,1.7828959
2020-06-08,
2020-06-13,
2020-06-18,2.1987898
2020-06-23,2.398994
2020-06-28,
2020-07-03,0.48349997
2020-07-08,2.1073613
2020-07-13,
2020-07-18,1.6641539
2020-07-23,1.3556442
2020-07-28,1.140786
2020-08-02,0.66356516
2020-08-07,0.7362239
2020-08-12,0.5627079
2020-08-17,0.8178455
2020-08-22,
2020-08-27,0.51108706
2020-09-01,0.4955972
2020-09-06,0.4421941
2020-09-11,
2020-09-16,0.35674912
2020-09-21,
2020-09-26,
2020-10-01,
2020-10-06,
2020-10-11,
2020-10-16,
2020-10-21,0.15213452
2020-10-26,
2020-10-31,0.122850664
2020-11-05,0.103353895
2020-11-10,0.10010162
2020-11-15,0.048306372
2020-11-20,0.056542102
2020-11-25,0.070795506
2020-11-30,0.08509817
2020-12-05,
2020-12-10,
2020-12-15,
2020-12-20,
2020-12-25,
2020-12-30,
2021-01-04,
2021-01-09,
2021-01-14,
2021-01-19,
2021-01-24,
2021-01-29,
2021-02-03,
2021-02-08,
2021-02-13,
2021-02-18,
2021-02-23,
2021-02-28,
2021-03-05,
2021-03-10,
2021-03-15,
2021-03-20,
2021-03-25,
2021-03-30,
2021-04-04,
2021-04-09,
2021-04-14,
2021-04-19,
2021-04-24,
2021-04-29,
2021-05-04,
2021-05-09,
2021-05-14,
2021-05-19,
2021-05-24,
2021-05-29,
2021-06-03,
2021-06-08,
2021-06-13,1.1111435
2021-06-18,1.9519699
2021-06-23,
2021-06-28,
2021-07-03,
2021-07-08,
2021-07-13,
2021-07-18,2.025287
2021-07-23,1.6851735
2021-07-28,
2021-08-02,1.5746728
2021-08-07,
2021-08-12,0.94079584
2021-08-17,0.89764357
2021-08-22,0.2489277
2021-08-27,0.7504918
2021-09-01,0.6669056
2021-09-06,
2021-09-11,0.45016125
2021-09-16,
2021-09-21,0.35663816
2021-09-26,
2021-10-01,0.2552661
2021-10-06,
2021-10-11,0.20352274
2021-10-16,0.18029901
2021-10-21,0.01666842
2021-10-26,0.1464668
2021-10-31,
2021-11-05,
2021-11-10,
2021-11-15,
2021-11-20,0.07637553
2021-11-25,
2021-11-30,
2021-12-05,
2021-12-10,
2021-12-15,
2021-12-20,
2021-12-25,
2021-12-30,
2022-01-04,
2022-01-09,
2022-01-14,
