t,PPI_mean
2017-01-10,
2017-01-30,
2017-02-09,
2017-02-19,0.1283869
2017-03-01,
2017-03-11,0.13877344
2017-03-21,
2017-03-26,
2017-03-31,
2017-04-05,
2017-04-10,0.23493478
2017-04-15,
2017-04-20,0.3197863
2017-04-25,
2017-04-30,
2017-05-05,
2017-05-10,
2017-05-15,
2017-05-20,
2017-05-25,
2017-05-30,0.7930701
2017-06-04,
2017-06-09,0.51314324
2017-06-14,
2017-06-19,0.6539005
2017-06-24,
2017-06-29,0.7615688
2017-07-04,0.80653846
2017-07-09,
2017-07-14,0.8147281
2017-07-19,0.7636073
2017-07-24,0.6942714
2017-07-29,0.5905647
2017-08-03,
2017-08-08,0.51196665
2017-08-13,0.6060175
2017-08-18,0.5316239
2017-08-23,
2017-08-28,
2017-09-02,0.56318027
2017-09-07,0.60357904
2017-09-12,0.56861496
2017-09-17,0.43196318
2017-09-22,
2017-09-27,0.31936282
2017-10-02,
2017-10-07,0.32386163
2017-10-12,0.31337926
2017-10-17,0.27088955
2017-10-22,0.25668287
2017-10-27,0.21052322
2017-11-01,0.25186786
2017-11-06,
2017-11-11,
2017-11-16,0.1962245
2017-11-21,0.20967993
2017-11-26,0.21012697
2017-12-01,
2017-12-06,
2017-12-11,
2017-12-16,0.17739385
2017-12-21,0.16426097
2017-12-26,
2017-12-31,
2018-01-05,0.13704404
2018-01-10,
2018-01-15,
2018-01-20,0.16800544
2018-01-25,
2018-01-30,
2018-02-04,0.18926981
2018-02-09,0.19366197
2018-02-14,0.19942857
2018-02-19,
2018-02-24,
2018-03-01,
2018-03-06,
2018-03-11,
2018-03-16,
2018-03-21,
2018-03-26,0.34691182
2018-03-31,
2018-04-05,
2018-04-10,
2018-04-15,0.37758315
2018-04-20,0.4140029
2018-04-25,0.53865314
2018-04-30,0.5049015
2018-05-05,
2018-05-10,
2018-05-15,
2018-05-20,0.6452498
2018-05-25,0.49332583
2018-05-30,
2018-06-04,
2018-06-09,0.46982524
2018-06-14,
2018-06-19,0.4823411
2018-06-24,
2018-06-29,0.6704811
2018-07-04,0.5668657
2018-07-09,0.5119185
2018-07-14,0.46998337
2018-07-19,0.5093351
2018-07-24,0.52166
2018-07-29,0.50751925
2018-08-03,
2018-08-08,
2018-08-13,0.61406267
2018-08-18,
2018-08-23,0.45823297
2018-08-28,0.43023783
2018-09-02,0.43319753
2018-09-07,0.39857835
2018-09-12,
2018-09-17,
2018-09-22,
2018-09-27,0.3719094
2018-10-02,0.36852542
2018-10-07,
2018-10-12,
2018-10-17,
2018-10-22,
2018-10-27,
2018-11-01,
2018-11-06,
2018-11-11,
2018-11-16,
2018-11-21,
2018-11-26,
2018-12-01,
2018-12-06,0.13721725
2018-12-11,0.14730841
2018-12-16,
2018-12-21,
2018-12-26,
2018-12-31,0.14876479
2019-01-05,0.1610006
2019-01-10,0.19043334
2019-01-15,0.1750942
2019-01-20,
2019-01-25,0.19212218
2019-01-30,0.20747992
2019-02-04,0.18446861
2019-02-09,
2019-02-14,0.21283205
2019-02-19,
2019-02-24,0.21560176
2019-03-01,0.24390645
2019-03-06,
2019-03-11,0.30757415
2019-03-16,0.35742503
2019-03-21,0.36691844
2019-03-26,
2019-03-31,0.3928329
2019-04-05,0.3715393
2019-04-10,
2019-04-15,0.36010483
2019-04-20,
2019-04-25,
2019-04-30,0.4680674
2019-05-05,0.51776725
2019-05-10,
2019-05-15,
2019-05-20,
2019-05-25,
2019-05-30,
2019-06-04,0.55576277
2019-06-09,
2019-06-14,0.34189436
2019-06-19,0.5580061
2019-06-24,0.44686282
2019-06-29,0.44994012
2019-07-04,0.49206087
2019-07-09,
2019-07-14,0.456368
2019-07-19,0.47421753
2019-07-24,0.3266356
2019-07-29,0.46264258
2019-08-03,0.4933256
2019-08-08,0.43802762
2019-08-13,
2019-08-18,0.36224836
2019-08-23,0.3420612
2019-08-28,
2019-09-02,0.3175533
2019-09-07,0.31800526
2019-09-12,0.2852051
2019-09-17,0.30709428
2019-09-22,
2019-09-27,0.23911488
2019-10-02,0.27010542
2019-10-07,0.21734455
2019-10-12,
2019-10-17,
2019-10-22,
2019-10-27,0.15583003
2019-11-01,
2019-11-06,0.14240016
2019-11-11,
2019-11-16,0.18803073
2019-11-21,
2019-11-26,0.13762541
2019-12-01,
2019-12-06,0.10844873
2019-12-11,
2019-12-16,
2019-12-21,0.15958114
2019-12-26,0.117132746
2019-12-31,0.10397031
2020-01-05,0.11536021
2020-01-10,
2020-01-15,
2020-01-20,
2020-01-25,
2020-01-30,
2020-02-04,0.1292647
2020-02-09,0.14083943
2020-02-14,0.13533895
2020-02-19,0.13222098
2020-02-24,0.16593103
2020-02-29,
2020-03-05,
2020-03-10,
2020-03-15,0.1972023
2020-03-20,0.19715016
2020-03-25,
2020-03-30,
2020-04-04,0.27516627
2020-04-09,0.30229804
2020-04-14,0.297013
2020-04-19,
2020-04-24,0.27445704
2020-04-29,0.3265603
2020-05-04,0.34924924
2020-05-09,
2020-05-14,
2020-05-19,0.5960413
2020-05-24,0.54860187
2020-05-29,
2020-06-03,
2020-06-08,0.76045966
2020-06-13,
2020-06-18,
2020-06-23,0.7235095
2020-06-28,0.69611406
2020-07-03,0.852179
2020-07-08,0.7008231
2020-07-13,0.26742065
2020-07-18,1.0352827
2020-07-23,
2020-07-28,
2020-08-02,0.5659535
2020-08-07,0.6583579
2020-08-12,
2020-08-17,
2020-08-22,0.51015633
2020-08-27,0.5598921
2020-09-01,0.48729867
2020-09-06,0.54367477
2020-09-11,
2020-09-16,0.41795006
2020-09-21,
2020-09-26,0.36592174
2020-10-01,
2020-10-06,
2020-10-11,0.29214293
2020-10-16,
2020-10-21,
2020-10-26,
2020-10-31,0.28528425
2020-11-05,0.18951452
2020-11-10,0.18801384
2020-11-15,
2020-11-20,0.18583876
2020-11-25,
2020-11-30,0.41488126
2020-12-05,
2020-12-10,
2020-12-15,
2020-12-20,
2020-12-25,
2020-12-30,0.1550497
2021-01-04,
2021-01-09,
2021-01-14,0.1631136
2021-01-19,0.16267177
2021-01-24,0.17426464
2021-01-29,0.07317984
2021-02-03,
2021-02-08,
2021-02-13,
2021-02-18,
2021-02-23,0.16608018
2021-02-28,0.24336809
2021-03-05,0.24591649
2021-03-10,0.27438146
2021-03-15,0.24478376
2021-03-20,0.41437092
2021-03-25,0.25368714
2021-03-30,0.32015952
2021-04-04,
2021-04-09,
2021-04-14,
2021-04-19,0.4320991
2021-04-24,0.44637355
2021-04-29,
2021-05-04,0.3936612
2021-05-09,0.5015211
2021-05-14,0.07670695
2021-05-19,
2021-05-24,
2021-05-29,
2021-06-03,
2021-06-08,1.3594859
