t,PPI_mean
2017-01-03,
2017-01-10,
2017-01-13,
2017-01-30,
2017-02-02,
2017-02-09,
2017-02-12,
2017-02-19,0.07344806
2017-02-22,
2017-03-01,
2017-03-04,
2017-03-11,0.0907238
2017-03-14,
2017-03-21,
2017-03-24,
2017-03-26,
2017-03-29,
2017-03-31,
2017-04-03,0.18565977
2017-04-05,
2017-04-08,
2017-04-10,0.18043573
2017-04-13,
2017-04-15,
2017-04-18,
2017-04-20,
2017-04-23,0.3323674
2017-04-25,
2017-04-28,
2017-04-30,0.40969324
2017-05-03,
2017-05-05,
2017-05-08,
2017-05-10,0.97313976
2017-05-13,
2017-05-15,
2017-05-18,
2017-05-20,
2017-05-23,
2017-05-25,
2017-05-28,
2017-05-30,
2017-06-02,
2017-06-04,
2017-06-07,
2017-06-09,
2017-06-12,1.8850608
2017-06-14,
2017-06-17,
2017-06-19,2.2800393
2017-06-22,
2017-06-24,
2017-06-27,
2017-06-29,2.5941615
2017-07-02,
2017-07-04,
2017-07-07,
2017-07-09,
2017-07-12,
2017-07-14,
2017-07-17,1.7244501
2017-07-19,1.4958489
2017-07-22,
2017-07-24,
2017-07-27,
2017-07-29,1.5723655
2017-08-01,
2017-08-03,
2017-08-06,
2017-08-08,
2017-08-11,
2017-08-13,
2017-08-16,
2017-08-18,
2017-08-21,0.85542506
2017-08-23,1.1254973
2017-08-26,
2017-08-28,
2017-08-31,
2017-09-02,1.2167933
2017-09-05,
2017-09-07,
2017-09-10,1.0651476
2017-09-12,0.8853062
2017-09-15,1.0368267
2017-09-17,1.3419228
2017-09-20,
2017-09-22,0.7572288
2017-09-25,0.7249532
2017-09-27,0.7531804
2017-09-30,
2017-10-02,
2017-10-05,0.8041311
2017-10-07,
2017-10-10,
2017-10-12,
2017-10-15,0.43782413
2017-10-17,
2017-10-20,
2017-10-22,
2017-10-25,0.26499754
2017-10-27,
2017-10-30,0.19796453
2017-11-01,0.25810826
2017-11-04,
2017-11-06,
2017-11-09,
2017-11-11,
2017-11-14,0.0
2017-11-16,
2017-11-19,0.07810502
2017-11-21,
2017-11-24,
2017-11-26,
2017-11-29,
2017-12-01,
2017-12-06,
2017-12-09,
2017-12-11,
2017-12-14,
2017-12-16,
2017-12-19,
2017-12-21,
2017-12-24,
2017-12-26,
2017-12-29,
2017-12-31,
2018-01-03,
2018-01-05,
2018-01-08,
2018-01-10,
2018-01-13,
2018-01-15,
2018-01-18,
2018-01-20,
2018-01-23,
2018-01-25,
2018-01-28,
2018-01-30,
2018-02-02,
2018-02-04,
2018-02-07,
2018-02-09,
2018-02-12,
2018-02-14,0.08668494
2018-02-17,
2018-02-19,
2018-02-22,
2018-02-24,0.09510696
2018-02-27,
2018-03-01,
2018-03-04,0.09029839
2018-03-06,
2018-03-09,
2018-03-11,
2018-03-14,0.082724206
2018-03-16,
2018-03-19,
2018-03-21,
2018-03-24,0.10727644
2018-03-26,
2018-03-29,
2018-03-31,
2018-04-03,
2018-04-05,
2018-04-08,
2018-04-10,
2018-04-13,
2018-04-15,0.21739732
2018-04-18,0.3302487
2018-04-20,
2018-04-23,
2018-04-25,
2018-04-28,
2018-04-30,
2018-05-03,
2018-05-05,1.7958045
2018-05-08,1.7737072
2018-05-10,
2018-05-13,
2018-05-15,
2018-05-18,1.8238304
2018-05-20,
2018-05-23,
2018-05-25,1.8709522
2018-05-28,
2018-05-30,1.9184651
2018-06-02,
2018-06-04,
2018-06-07,
2018-06-09,
2018-06-12,
2018-06-14,
2018-06-17,
2018-06-19,
2018-06-22,
2018-06-24,
2018-06-27,1.672537
2018-06-29,
2018-07-02,1.3374786
2018-07-04,
2018-07-07,2.3142347
2018-07-09,1.7330661
2018-07-12,
2018-07-14,1.8598453
2018-07-17,1.2514881
2018-07-19,1.5180591
2018-07-22,
2018-07-24,1.3878722
2018-07-27,
2018-07-29,0.95220065
2018-08-01,
2018-08-03,1.1618234
2018-08-06,1.0146166
2018-08-08,
2018-08-11,
2018-08-13,
2018-08-16,1.0008227
2018-08-18,1.0762309
2018-08-21,
2018-08-23,1.0645115
2018-08-26,1.087537
2018-08-28,1.0833417
2018-08-31,
2018-09-02,
2018-09-05,0.8614067
2018-09-07,
2018-09-10,
2018-09-12,0.8060662
2018-09-17,0.8484151
2018-09-20,0.68495023
2018-09-22,0.90001035
2018-09-25,0.7587659
2018-09-27,0.78815436
2018-09-30,0.65772253
2018-10-02,
2018-10-05,0.6241757
2018-10-07,0.22896
2018-10-10,0.5853306
2018-10-12,0.5359319
2018-10-15,0.45889288
2018-10-17,
2018-10-20,0.42764014
2018-10-22,0.41621673
2018-10-25,
2018-10-27,
2018-10-30,
2018-11-01,
2018-11-04,
2018-11-06,
2018-11-09,
2018-11-11,0.11135791
2018-11-14,0.091759786
2018-11-16,
2018-11-19,
2018-11-21,
2018-11-24,
2018-11-26,
2018-11-29,
2018-12-01,
2018-12-04,
2018-12-06,
2018-12-09,
2018-12-11,
2018-12-14,
2018-12-16,
2018-12-19,
2018-12-21,
2018-12-24,
2018-12-26,
2018-12-29,
2018-12-31,
2019-01-03,
2019-01-05,
2019-01-08,
2019-01-10,
2019-01-13,
2019-01-15,
2019-01-18,
2019-01-20,
2019-01-23,
2019-01-25,
2019-01-28,
2019-01-30,
2019-02-02,
2019-02-04,
2019-02-07,
2019-02-09,
2019-02-12,
2019-02-14,0.05936139
2019-02-17,0.06973741
2019-02-19,
2019-02-22,
2019-02-24,0.08428739
2019-02-27,0.071625285
2019-03-01,
2019-03-04,
2019-03-06,
2019-03-09,
2019-03-11,
2019-03-14,
2019-03-16,
2019-03-19,0.11484134
2019-03-21,0.10534223
2019-03-24,0.096899934
2019-03-26,
2019-03-29,0.11173414
2019-03-31,0.12599346
2019-04-03,
2019-04-05,
2019-04-08,
2019-04-10,
2019-04-13,
2019-04-15,0.18909371
2019-04-18,0.222113
2019-04-20,0.33725122
2019-04-23,
2019-04-25,
2019-04-28,
2019-04-30,
2019-05-03,
2019-05-05,
2019-05-08,
2019-05-10,
2019-05-13,
2019-05-15,2.0937269
2019-05-18,
2019-05-20,
2019-05-23,1.6595411
2019-05-25,
2019-05-28,2.932563
2019-05-30,
2019-06-02,1.8120477
2019-06-04,1.9298687
2019-06-07,1.7860149
2019-06-09,
2019-06-12,
2019-06-14,
2019-06-17,1.6805588
2019-06-19,1.8729258
2019-06-22,
2019-06-24,1.9511495
2019-06-27,1.4371506
2019-06-29,2.0957499
2019-07-02,1.6113302
2019-07-04,1.9254038
2019-07-07,
2019-07-09,
2019-07-12,
2019-07-14,
2019-07-17,1.488291
2019-07-19,
2019-07-22,1.5368265
2019-07-24,1.516648
2019-07-27,
2019-07-29,1.539558
2019-08-01,1.2586327
2019-08-03,2.10528
2019-08-06,
2019-08-08,
2019-08-11,1.1240456
2019-08-13,
2019-08-16,
2019-08-18,1.1195487
2019-08-21,
2019-08-23,1.1876719
2019-08-26,1.037821
2019-08-28,
2019-08-31,0.8905376
2019-09-02,1.4052027
2019-09-05,0.6976415
2019-09-07,
2019-09-10,0.86251396
2019-09-12,0.9641581
2019-09-15,0.80376804
2019-09-17,0.57237506
2019-09-20,0.7732336
2019-09-22,
2019-09-25,
2019-09-27,
2019-09-30,
2019-10-02,
2019-10-05,
2019-10-07,
2019-10-10,
2019-10-12,
2019-10-15,
2019-10-17,
2019-10-20,
2019-10-22,
2019-10-25,
2019-10-27,
2019-10-30,
2019-11-01,
2019-11-04,
2019-11-06,
2019-11-09,
2019-11-11,
2019-11-14,
2019-11-16,
2019-11-19,
2019-11-21,
2019-11-24,
2019-11-26,
2019-11-29,
2019-12-01,
2019-12-04,0.03913399
2019-12-06,
2019-12-09,
2019-12-11,
2019-12-14,0.066604085
2019-12-16,
2019-12-19,
2019-12-21,
2019-12-24,
2019-12-26,
2019-12-29,0.025434086
2019-12-31,
2020-01-03,
2020-01-05,
2020-01-08,
2020-01-10,
2020-01-13,
2020-01-15,0.04238019
2020-01-18,
2020-01-20,
2020-01-23,0.056661963
2020-01-25,0.035850924
2020-01-28,
2020-01-30,
2020-02-02,
2020-02-04,
2020-02-07,0.043472394
2020-02-09,
2020-02-12,
2020-02-14,
2020-02-17,
2020-02-19,
2020-02-22,
2020-02-24,
2020-02-27,
2020-02-29,
2020-03-03,
2020-03-05,
2020-03-08,
2020-03-10,
2020-03-13,0.0810053
2020-03-15,0.09445479
2020-03-18,0.074660435
2020-03-20,0.12326525
2020-03-23,
2020-03-25,0.11868989
2020-03-28,0.090591915
2020-03-30,0.14013016
2020-04-02,0.11079613
2020-04-04,0.13344985
2020-04-07,0.13743563
2020-04-09,0.259416
2020-04-12,0.3588119
2020-04-14,0.41702583
2020-04-17,0.58917034
2020-04-19,0.9236659
