t,PPI_mean
2017-01-14,
2017-01-24,0.13252765
2017-01-27,0.052990176
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,
2017-02-23,0.11882593
2017-02-26,
2017-03-05,0.21675506
2017-03-08,
2017-03-15,
2017-03-17,
2017-03-18,
2017-03-20,
2017-03-23,
2017-03-25,
2017-03-28,
2017-03-30,
2017-04-02,
2017-04-04,
2017-04-07,
2017-04-09,
2017-04-12,
2017-04-14,
2017-04-17,
2017-04-22,
2017-04-24,
2017-04-27,
2017-04-29,
2017-05-02,
2017-05-04,0.2197221
2017-05-07,
2017-05-09,
2017-05-12,
2017-05-14,
2017-05-17,
2017-05-19,
2017-05-22,
2017-05-24,0.27477288
2017-05-27,0.2498278
2017-05-29,
2017-06-01,
2017-06-03,
2017-06-06,
2017-06-08,
2017-06-11,
2017-06-13,
2017-06-16,
2017-06-18,
2017-06-21,
2017-06-23,
2017-06-26,0.76776063
2017-06-28,
2017-07-01,0.4088725
2017-07-03,
2017-07-06,0.4096787
2017-07-08,
2017-07-11,
2017-07-13,
2017-07-16,
2017-07-18,
2017-07-21,
2017-07-23,
2017-07-26,
2017-07-28,
2017-07-31,
2017-08-02,
2017-08-05,
2017-08-07,
2017-08-10,
2017-08-12,
2017-08-15,
2017-08-17,
2017-08-20,0.4769179
2017-08-22,
2017-08-25,
2017-08-27,
2017-08-30,0.3469667
2017-09-01,0.38819999
2017-09-04,
2017-09-06,
2017-09-09,
2017-09-11,0.3176717
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,
2017-09-24,
2017-09-26,
2017-09-29,
2017-10-01,
2017-10-04,0.2792676
2017-10-06,
2017-10-09,
2017-10-11,
2017-10-14,0.021220453
2017-10-16,0.072336555
2017-10-19,0.09828725
2017-10-21,0.11051186
2017-10-24,
2017-10-26,
2017-10-29,
2017-10-31,0.07134111
2017-11-03,0.05783569
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,0.05266063
2017-11-15,
2017-11-18,
2017-11-20,
2017-11-23,
2017-11-28,
2017-11-30,
2018-01-14,
2018-01-17,
2018-01-19,
2018-01-22,
2018-01-27,0.04938423
2018-01-29,
2018-02-01,
2018-02-03,
2018-02-06,
2018-02-08,
2018-02-11,
2018-02-13,
2018-02-16,
2018-02-18,
2018-02-21,
2018-02-23,
2018-02-26,
2018-02-28,0.31154847
2018-03-03,
2018-03-05,
2018-03-08,
2018-03-10,
2018-03-13,
2018-03-15,
2018-03-18,0.17885593
2018-03-20,0.22660613
2018-03-23,
2018-03-25,0.08997594
2018-03-28,0.15530057
2018-03-30,0.19814157
2018-04-02,0.28489545
2018-04-04,
2018-04-07,
2018-04-09,
2018-04-12,0.13436557
2018-04-14,0.1729433
2018-04-17,0.10920872
2018-04-19,0.12658048
2018-04-22,
2018-04-24,0.0439873
2018-04-27,
2018-04-29,
2018-05-02,
2018-05-04,
2018-05-07,0.14172788
2018-05-09,0.17853124
2018-05-12,0.08379368
2018-05-14,0.25596306
2018-05-17,0.2441137
2018-05-19,
2018-05-22,0.32036236
2018-05-24,0.30940327
2018-05-29,0.32587025
2018-06-01,0.28544232
2018-06-03,0.36646846
2018-06-06,
2018-06-08,
2018-06-11,
2018-06-13,
2018-06-16,
2018-06-18,
2018-06-21,
2018-06-23,
2018-06-26,0.21857417
2018-06-28,
2018-07-01,
2018-07-03,
2018-07-06,0.35469604
2018-07-08,0.41247144
2018-07-11,
2018-07-13,
2018-07-16,0.33548054
2018-07-18,0.65510267
2018-07-21,
2018-07-23,
2018-07-26,0.3722382
2018-07-28,
2018-07-31,0.30288735
2018-08-02,0.4192301
2018-08-05,
2018-08-07,0.34841228
2018-08-10,
2018-08-12,
2018-08-15,0.123163804
2018-08-17,0.23186727
2018-08-20,
2018-08-22,0.23616579
2018-08-25,
2018-08-27,
2018-08-30,
2018-09-01,
2018-09-04,
2018-09-06,
2018-09-09,0.23476678
2018-09-11,
2018-09-14,0.22466604
2018-09-16,
2018-09-19,0.17633522
2018-09-21,
2018-09-24,
2018-09-26,
2018-09-29,
2018-10-01,
2018-10-04,
2018-10-06,
2018-10-09,
2018-10-11,0.14239644
2018-10-14,0.12295597
2018-10-16,
2018-10-19,0.12628499
2018-10-21,
2018-10-24,0.11206972
2018-10-26,0.11403889
2018-10-29,
2018-10-31,
2018-11-03,
2018-11-05,
2018-11-08,
2018-11-10,
2018-11-15,
2018-11-18,
2018-11-20,
2018-11-23,
2018-11-25,0.067637034
2018-11-28,0.08454111
2018-11-30,
2019-01-14,0.088606715
2019-01-17,
2019-01-19,
2019-01-22,
2019-01-24,
2019-01-27,
2019-01-29,
2019-02-01,
2019-02-03,
2019-02-06,
2019-02-08,
2019-02-11,
2019-02-13,
2019-02-16,
2019-02-18,
2019-02-21,
2019-02-23,
2019-02-26,0.10637475
2019-02-28,
2019-03-03,
2019-03-05,
2019-03-08,
2019-03-10,0.18297407
2019-03-13,
2019-03-15,
2019-03-18,
2019-03-20,
2019-03-23,
2019-03-25,0.14469534
2019-03-28,
2019-03-30,0.1785164
2019-04-02,0.116535425
2019-04-04,
2019-04-07,
2019-04-09,
2019-04-12,
2019-04-14,
2019-04-17,0.12389929
2019-04-19,
2019-04-22,0.116372265
2019-04-24,0.12992397
2019-04-27,0.14337887
2019-04-29,
2019-05-02,
2019-05-04,
2019-05-07,
2019-05-09,
2019-05-12,
2019-05-14,0.2817295
2019-05-17,0.21540536
2019-05-19,
2019-05-24,
2019-05-27,
2019-05-29,
2019-06-01,
2019-06-03,
2019-06-06,0.27304125
2019-06-08,0.33660886
2019-06-11,
2019-06-13,
2019-06-16,0.29698014
2019-06-18,0.46324176
2019-06-21,
2019-06-23,
2019-06-26,
2019-06-28,0.43134487
2019-07-01,
2019-07-03,
2019-07-06,
2019-07-08,
2019-07-11,0.34563917
2019-07-13,
2019-07-16,
2019-07-18,0.59638536
2019-07-21,0.3547989
2019-07-23,
2019-07-26,
2019-07-28,0.34852076
2019-07-31,
2019-08-02,0.3997086
2019-08-05,
2019-08-07,0.38976377
2019-08-10,
2019-08-12,
2019-08-15,
2019-08-17,
2019-08-20,
2019-08-22,
2019-08-25,
2019-08-27,0.28248462
2019-08-30,
2019-09-01,0.25026813
2019-09-04,0.25784394
2019-09-06,
2019-09-09,
2019-09-11,0.4175
2019-09-14,
2019-09-16,
2019-09-19,
2019-09-21,0.2027546
2019-09-24,
2019-09-26,
2019-09-29,
2019-10-01,0.17268947
2019-10-04,0.07217925
2019-10-06,
2019-10-09,
2019-10-11,
2019-10-14,
2019-10-16,
2019-10-19,
2019-10-21,
2019-10-24,
2019-10-26,
2019-10-29,0.07611817
2019-10-31,0.081732444
2019-11-03,
2019-11-05,0.09382056
2019-11-08,
2019-11-10,
2019-11-13,
2019-11-15,
2019-11-18,
2019-11-20,
2019-11-23,
2019-11-28,
2019-11-30,0.05938023
2019-12-05,0.039108858
2019-12-08,
2019-12-15,
2019-12-18,
2019-12-25,
2019-12-28,
2020-01-04,0.07184731
2020-01-07,
2020-01-14,
2020-01-17,
2020-01-19,0.054599933
2020-01-22,0.05225436
2020-01-24,0.050246414
2020-01-27,
2020-01-29,
2020-02-01,
2020-02-03,0.07184435
2020-02-06,
2020-02-08,
2020-02-11,
2020-02-13,0.072647125
2020-02-16,
2020-02-18,
2020-02-21,0.07235946
2020-02-23,
2020-02-26,
2020-02-28,0.11351531
2020-03-02,
2020-03-04,
2020-03-07,
2020-03-09,
2020-03-12,
2020-03-14,0.1303137
2020-03-17,
2020-03-19,0.13121712
2020-03-22,0.11356607
2020-03-24,
2020-03-27,
2020-03-29,
2020-04-01,
2020-04-03,
2020-04-06,0.14442863
2020-04-08,
2020-04-11,0.13124818
2020-04-13,
2020-04-16,0.1596671
2020-04-18,
2020-04-21,0.12508637
2020-04-23,0.1749124
2020-04-26,
2020-04-28,
2020-05-01,
2020-05-03,
2020-05-06,
2020-05-08,
2020-05-11,0.250226
2020-05-13,
2020-05-16,
2020-05-18,0.09450473
2020-05-21,
2020-05-23,
2020-05-26,
2020-05-28,
2020-05-31,0.2618941
2020-06-02,0.33545917
2020-06-05,
2020-06-07,
2020-06-10,0.31370336
2020-06-12,
2020-06-15,0.34538597
2020-06-17,
2020-06-20,
2020-06-22,0.41692322
2020-06-25,0.37582454
2020-06-27,0.4761493
2020-06-30,
2020-07-02,
2020-07-05,
2020-07-07,
2020-07-10,
2020-07-12,
2020-07-15,
2020-07-17,
2020-07-20,
2020-07-22,0.9774046
2020-07-25,0.509532
2020-07-27,
2020-07-30,
2020-08-01,0.45628557
2020-08-04,
2020-08-06,
2020-08-09,0.32572177
2020-08-11,
2020-08-14,0.29976994
2020-08-16,
2020-08-19,0.29255384
2020-08-21,
2020-08-24,
2020-08-26,
2020-08-29,
2020-08-31,
2020-09-03,
2020-09-05,0.32982558
2020-09-08,
2020-09-10,0.27125067
2020-09-13,0.2335137
2020-09-15,
2020-09-18,0.19180815
2020-09-20,
2020-09-23,0.18363677
2020-09-25,
2020-09-28,0.0
2020-09-30,
2020-10-03,
2020-10-08,
2020-10-10,
2020-10-13,0.0
2020-10-15,
2020-10-18,0.24300075
2020-10-20,
2020-10-23,3.1794095e-06
2020-10-25,
2020-10-28,
2020-10-30,
2020-11-02,
2020-11-04,
2020-11-07,
2020-11-09,
2020-11-12,
2020-11-14,
2020-11-17,
2020-11-19,
2020-11-22,0.036601603
2020-11-24,
2020-11-27,0.06387408
2020-11-29,
2020-12-12,
2020-12-19,
2020-12-22,
2020-12-29,
2021-01-01,
2021-01-08,
2021-01-11,
2021-01-13,
2021-01-16,
2021-01-18,
2021-01-21,
2021-01-23,
2021-01-26,
2021-01-28,
2021-01-31,
2021-02-02,
2021-02-05,
2021-02-07,
2021-02-10,
2021-02-12,
2021-02-15,
2021-02-17,
2021-02-20,
2021-02-22,
2021-02-25,
2021-02-27,
2021-03-02,0.07328887
2021-03-04,0.100504346
2021-03-07,
2021-03-09,
2021-03-12,
2021-03-14,
2021-03-17,
2021-03-19,0.23393881
2021-03-22,
2021-03-24,0.11603361
2021-03-27,
2021-03-29,
2021-04-01,
2021-04-03,
2021-04-06,
2021-04-08,0.14544983
2021-04-11,
2021-04-13,
2021-04-16,0.10767298
2021-04-18,0.1515157
2021-04-21,0.110923335
2021-04-23,0.29875427
2021-04-26,
2021-04-28,
2021-05-01,
2021-05-03,
2021-05-06,
2021-05-08,
2021-05-11,
2021-05-13,0.22057344
2021-05-16,
2021-05-18,
2021-05-21,
2021-05-23,
2021-05-26,
2021-05-28,0.285485
2021-05-31,
2021-06-02,
2021-06-05,0.4096
2021-06-07,
2021-06-10,0.15012418
2021-06-12,
2021-06-15,
2021-06-17,
2021-06-20,
2021-06-22,
2021-06-25,
