Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,0.18702684
2017-01-02,0.18653159
2017-01-03,0.18583627
2017-01-04,0.18494558
2017-01-05,0.18386424
2017-01-06,0.18259694
2017-01-07,0.1811484
2017-01-08,0.1795237
2017-01-09,0.17772959
2017-01-10,0.17578655
2017-01-11,0.17375517
2017-01-12,0.17165574
2017-01-13,0.16949524
2017-01-14,0.16728055
2017-01-15,0.16501865
2017-01-16,0.16271643
2017-01-17,0.16038086
2017-01-18,0.15801884
2017-01-19,0.15563732
2017-01-20,0.15324324
2017-01-21,0.15084352
2017-01-22,0.14844507
2017-01-23,0.14605486
2017-01-24,0.1436798
2017-01-25,0.14132683
2017-01-26,0.13900052
2017-01-27,0.13669601
2017-01-28,0.13440607
2017-01-29,0.1321235
2017-01-30,0.12984106
2017-01-31,0.12754282
2017-02-01,0.12517811
2017-02-02,0.12269503
2017-02-03,0.12007175
2017-02-04,0.117293924
2017-02-05,0.11434725
2017-02-06,0.11121737
2017-02-07,0.10788998
2017-02-08,0.10435074
2017-02-09,0.10058532
2017-02-10,0.0965848
2017-02-11,0.09236191
2017-02-12,0.08793481
2017-02-13,0.08332162
2017-02-14,0.0785405
2017-02-15,0.073604055
2017-02-16,0.06849477
2017-02-17,0.063153744
2017-02-18,0.05749979
2017-02-19,0.0514595
2017-02-20,0.04501457
2017-02-21,0.038203992
2017-02-22,0.031105049
2017-02-23,0.023804415
2017-02-24,0.016399264
2017-02-25,0.008984114
2017-02-26,0.0016520525
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0026280337
2017-03-17,0.01953687
2017-03-18,0.039555293
2017-03-19,0.062899224
2017-03-20,0.0897846
2017-03-21,0.12042734
2017-03-22,0.15504338
2017-03-23,0.19384864
2017-03-24,0.23705904
2017-03-25,0.28485295
2017-03-26,0.3372584
2017-03-27,0.3942659
2017-03-28,0.455834
2017-03-29,0.5217936
2017-03-30,0.59194386
2017-03-31,0.6660553
2017-04-01,0.74378484
2017-04-02,0.824761
2017-04-03,0.9085562
2017-04-04,0.9944908
2017-04-05,1.0817119
2017-04-06,1.1693375
2017-04-07,1.2564858
2017-04-08,1.3422749
2017-04-09,1.4258226
2017-04-10,1.506247
2017-04-11,1.5826663
2017-04-12,1.6541985
2017-04-13,1.7199615
2017-04-14,1.7790735
2017-04-15,1.8306525
2017-04-16,1.8738164
2017-04-17,1.9078252
2017-04-18,1.9326345
2017-04-19,1.9488652
2017-04-20,1.9572204
2017-04-21,1.9581716
2017-04-22,1.9525677
2017-04-23,1.9418434
2017-04-24,1.9281595
2017-04-25,1.914807
2017-04-26,1.90679
2017-04-27,1.9106574
2017-04-28,1.9334619
2017-04-29,1.9815242
2017-04-30,2.060107
2017-05-01,2.1730595
2017-05-02,2.32249
2017-05-03,2.508478
2017-05-04,2.729115
2017-05-05,2.9807572
2017-05-06,3.2585812
2017-05-07,3.5573173
2017-05-08,3.8717852
2017-05-09,4.1973753
2017-05-10,4.530124
2017-05-11,4.8670917
2017-05-12,5.2061605
2017-05-13,5.5451584
2017-05-14,5.8826694
2017-05-15,6.218105
2017-05-16,6.5514574
2017-05-17,6.883636
2017-05-18,7.2161984
2017-05-19,7.5512476
2017-05-20,7.8916125
2017-05-21,8.237839
2017-05-22,8.586233
2017-05-23,8.932142
2017-05-24,9.270913
2017-05-25,9.597905
2017-05-26,9.908892
2017-05-27,10.201376
2017-05-28,10.474389
2017-05-29,10.727701
2017-05-30,10.961127
2017-05-31,11.173826
2017-06-01,11.366332
2017-06-02,11.540923
2017-06-03,11.700438
2017-06-04,11.84764
2017-06-05,11.985829
2017-06-06,12.116883
2017-06-07,12.238564
2017-06-08,12.344251
2017-06-09,12.427079
2017-06-10,12.4808035
2017-06-11,12.499153
2017-06-12,12.477165
2017-06-13,12.412311
2017-06-14,12.303689
2017-06-15,12.153034
2017-06-16,11.962248
2017-06-17,11.73467
2017-06-18,11.473912
2017-06-19,11.183552
2017-06-20,10.867525
2017-06-21,10.531424
2017-06-22,10.182289
2017-06-23,9.828371
2017-06-24,9.479295
2017-06-25,9.145644
2017-06-26,8.838276
2017-06-27,8.566697
2017-06-28,8.340182
2017-06-29,8.16648
2017-06-30,8.049232
2017-07-01,7.989516
2017-07-02,7.986723
2017-07-03,8.038235
2017-07-04,8.1391
2017-07-05,8.283211
2017-07-06,8.463577
2017-07-07,8.672832
2017-07-08,8.904329
2017-07-09,9.152397
