Date,settings 1
2017-01-01,1.7403117
2017-01-02,1.7331275
2017-01-03,1.7266283
2017-01-04,1.720914
2017-01-05,1.7160821
2017-01-06,1.7122301
2017-01-07,1.7094556
2017-01-08,1.707856
2017-01-09,1.7075293
2017-01-10,1.7085726
2017-01-11,1.7110837
2017-01-12,1.71516
2017-01-13,1.7208992
2017-01-14,1.7283988
2017-01-15,1.7377564
2017-01-16,1.7490695
2017-01-17,1.7624356
2017-01-18,1.7779522
2017-01-19,1.7957171
2017-01-20,1.8158278
2017-01-21,1.8383818
2017-01-22,1.8634765
2017-01-23,1.8912097
2017-01-24,1.9216788
2017-01-25,1.9549814
2017-01-26,1.9912152
2017-01-27,2.0304775
2017-01-28,2.0728629
2017-01-29,2.1184509
2017-01-30,2.1673126
2017-01-31,2.2195144
2017-02-01,2.2751102
2017-02-02,2.3341749
2017-02-03,2.3968735
2017-02-04,2.463426
2017-02-05,2.5342014
2017-02-06,2.6096013
2017-02-07,2.6900084
2017-02-08,2.775784
2017-02-09,2.8672674
2017-02-10,2.9647665
2017-02-11,3.068561
2017-02-12,3.1789024
2017-02-13,3.2959719
2017-02-14,3.4198964
2017-02-15,3.5507662
2017-02-16,3.6886318
2017-02-17,3.8334968
2017-02-18,3.9853847
2017-02-19,4.144323
2017-02-20,4.310325
2017-02-21,4.483377
2017-02-22,4.6634016
2017-02-23,4.850275
2017-02-24,5.0438485
2017-02-25,5.2439528
2017-02-26,5.4503894
2017-02-27,5.662975
2017-02-28,5.881529
2017-03-01,6.1058655
2017-03-02,6.3357654
2017-03-03,6.570959
2017-03-04,6.811099
2017-03-05,7.0558167
2017-03-06,7.30476
2017-03-07,7.5576277
2017-03-08,7.8140993
2017-03-09,8.073827
2017-03-10,8.336456
2017-03-11,8.601634
2017-03-12,8.869007
2017-03-13,9.138221
2017-03-14,9.408923
2017-03-15,9.68076
2017-03-16,9.953379
2017-03-17,10.226424
2017-03-18,10.499539
2017-03-19,10.7723465
2017-03-20,11.044445
2017-03-21,11.315411
2017-03-22,11.584805
2017-03-23,11.85219
2017-03-24,12.117128
2017-03-25,12.379182
2017-03-26,12.637913
2017-03-27,12.892883
2017-03-28,13.143698
2017-03-29,13.390156
2017-03-30,13.632195
2017-03-31,13.869722
2017-04-01,14.102601
2017-04-02,14.330685
2017-04-03,14.55382
2017-04-04,14.771837
2017-04-05,14.984558
2017-04-06,15.191801
2017-04-07,15.393386
2017-04-08,15.589131
2017-04-09,15.778856
2017-04-10,15.9623785
2017-04-11,16.139519
2017-04-12,16.310093
2017-04-13,16.473986
2017-04-14,16.631428
2017-04-15,16.783066
2017-04-16,16.929415
2017-04-17,17.070932
2017-04-18,17.208057
2017-04-19,17.3412
2017-04-20,17.470682
2017-04-21,17.59679
2017-04-22,17.719774
2017-04-23,17.83981
2017-04-24,17.957052
2017-04-25,18.071646
2017-04-26,18.18367
2017-04-27,18.293179
2017-04-28,18.400192
2017-04-29,18.504717
2017-04-30,18.60673
2017-05-01,18.70621
2017-05-02,18.803133
2017-05-03,18.897478
2017-05-04,18.98922
2017-05-05,19.078337
2017-05-06,19.164804
2017-05-07,19.248598
2017-05-08,19.329672
2017-05-09,19.407976
2017-05-10,19.483437
2017-05-11,19.555971
2017-05-12,19.625483
2017-05-13,19.69187
2017-05-14,19.754992
2017-05-15,19.814625
2017-05-16,19.87053
2017-05-17,19.922462
2017-05-18,19.970184
2017-05-19,20.01345
2017-05-20,20.052023
2017-05-21,20.085655
2017-05-22,20.114107
2017-05-23,20.137138
2017-05-24,20.154507
2017-05-25,20.16597
2017-05-26,20.171244
2017-05-27,20.169888
2017-05-28,20.161512
2017-05-29,20.145954
2017-05-30,20.123337
2017-05-31,20.093897
2017-06-01,20.057861
2017-06-02,20.015442
2017-06-03,19.96683
2017-06-04,19.912193
2017-06-05,19.85171
2017-06-06,19.785551
2017-06-07,19.713894
2017-06-08,19.636908
2017-06-09,19.554756
2017-06-10,19.467592
2017-06-11,19.375582
2017-06-12,19.279001
2017-06-13,19.17823
2017-06-14,19.073664
2017-06-15,18.965834
2017-06-16,18.855162
2017-06-17,18.741928
2017-06-18,18.626383
2017-06-19,18.508808
2017-06-20,18.389618
2017-06-21,18.269245
2017-06-22,18.148056
2017-06-23,18.026403
2017-06-24,17.90464
2017-06-25,17.783113
2017-06-26,17.66215
2017-06-27,17.542051
2017-06-28,17.42309
2017-06-29,17.305523
2017-06-30,17.189577
2017-07-01,17.075468
2017-07-02,16.963371
2017-07-03,16.85338
2017-07-04,16.745548
2017-07-05,16.639929
2017-07-06,16.53657
2017-07-07,16.435524
2017-07-08,16.336842
2017-07-09,16.240574
2017-07-10,16.14677
2017-07-11,16.055485
2017-07-12,15.966766
2017-07-13,15.880666
2017-07-14,15.797257
2017-07-15,15.7167015
2017-07-16,15.639148
2017-07-17,15.564688
2017-07-18,15.493315
2017-07-19,15.424998
2017-07-20,15.359708
2017-07-21,15.297387
2017-07-22,15.237879
2017-07-23,15.181034
2017-07-24,15.126845
2017-07-25,15.075333
2017-07-26,15.0265045
2017-07-27,14.980359
2017-07-28,14.936877
2017-07-29,14.895979
2017-07-30,14.85749
2017-07-31,14.821215
2017-08-01,14.786962
2017-08-02,14.754534
2017-08-03,14.723739
2017-08-04,14.694382
2017-08-05,14.666267
2017-08-06,14.639203
2017-08-07,14.612993
2017-08-08,14.587443
2017-08-09,14.562356
2017-08-10,14.537518
2017-08-11,14.512696
2017-08-12,14.487646
2017-08-13,14.462102
2017-08-14,14.435784
2017-08-15,14.408408
2017-08-16,14.379681
2017-08-17,14.349305
2017-08-18,14.316938
2017-08-19,14.282232
2017-08-20,14.244836
2017-08-21,14.20439
2017-08-22,14.1605015
2017-08-23,14.11274
2017-08-24,14.060542
2017-08-25,14.003292
2017-08-26,13.94034
2017-08-27,13.870934
2017-08-28,13.794313
2017-08-29,13.709707
2017-08-30,13.616731
2017-08-31,13.51564
2017-09-01,13.407086
2017-09-02,13.291775
2017-09-03,13.170408
2017-09-04,13.043675
2017-09-05,12.912237
2017-09-06,12.776708
2017-09-07,12.637672
2017-09-08,12.495704
2017-09-09,12.351347
2017-09-10,12.205098
2017-09-11,12.057428
2017-09-12,11.908799
2017-09-13,11.759663
2017-09-14,11.61047
2017-09-15,11.46167
2017-09-16,11.313697
2017-09-17,11.166985
2017-09-18,11.021934
2017-09-19,10.878799
2017-09-20,10.737724
2017-09-21,10.598818
2017-09-22,10.46214
2017-09-23,10.327745
2017-09-24,10.195691
2017-09-25,10.066023
2017-09-26,9.93878
2017-09-27,9.813987
2017-09-28,9.691652
2017-09-29,9.571775
2017-09-30,9.454337
2017-10-01,9.339306
2017-10-02,9.22659
2017-10-03,9.115994
2017-10-04,9.00729
2017-10-05,8.900189
2017-10-06,8.794312
2017-10-07,8.689224
2017-10-08,8.584477
2017-10-09,8.479593
2017-10-10,8.374077
2017-10-11,8.267432
2017-10-12,8.159163
2017-10-13,8.048775
2017-10-14,7.935829
2017-10-15,7.820164
2017-10-16,7.7018566
2017-10-17,7.5810857
2017-10-18,7.4581175
2017-10-19,7.3332667
2017-10-20,7.206823
2017-10-21,7.079003
2017-10-22,6.9500036
2017-10-23,6.820022
2017-10-24,6.689254
2017-10-25,6.5578957
2017-10-26,6.426143
2017-10-27,6.294193
2017-10-28,6.1622405
2017-10-29,6.030476
2017-10-30,5.8990803
2017-10-31,5.7682257
2017-11-01,5.6380725
2017-11-02,5.508771
2017-11-03,5.3804607
2017-11-04,5.253299
2017-11-05,5.1275234
2017-11-06,5.003344
2017-11-07,4.8809524
2017-11-08,4.760536
2017-11-09,4.6422772
2017-11-10,4.5263457
2017-11-11,4.412905
2017-11-12,4.3021173
