Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,0.15537405
2017-01-02,0.15349299
2017-01-03,0.15077953
2017-01-04,0.14748546
2017-01-05,0.14379309
2017-01-06,0.13978794
2017-01-07,0.13553438
2017-01-08,0.13109675
2017-01-09,0.12653942
2017-01-10,0.12192677
2017-01-11,0.11732314
2017-01-12,0.112792894
2017-01-13,0.108400404
2017-01-14,0.10421002
2017-01-15,0.100286104
2017-01-16,0.09667924
2017-01-17,0.09338483
2017-01-18,0.09038453
2017-01-19,0.08765995
2017-01-20,0.08519273
2017-01-21,0.08296451
2017-01-22,0.08095692
2017-01-23,0.079151586
2017-01-24,0.077530146
2017-01-25,0.07607423
2017-01-26,0.07476547
2017-01-27,0.0735855
2017-01-28,0.07251596
2017-01-29,0.07153847
2017-01-30,0.07063467
2017-01-31,0.06978618
2017-02-01,0.06897466
2017-02-02,0.068181716
2017-02-03,0.067389
2017-02-04,0.06657813
2017-02-05,0.065730736
2017-02-06,0.06482846
2017-02-07,0.06385294
2017-02-08,0.062785804
2017-02-09,0.061602294
2017-02-10,0.06025214
2017-02-11,0.05867868
2017-02-12,0.056834515
2017-02-13,0.05471519
2017-02-14,0.0523469
2017-02-15,0.04975298
2017-02-16,0.04695457
2017-02-17,0.04397281
2017-02-18,0.040828843
2017-02-19,0.037543807
2017-02-20,0.034138847
2017-02-21,0.030635104
2017-02-22,0.027053718
2017-02-23,0.023415828
2017-02-24,0.019742578
2017-02-25,0.016055109
2017-02-26,0.012374561
2017-02-27,0.008722077
2017-02-28,0.0051187975
2017-03-01,0.001585863
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0030361617
2017-03-14,0.014024943
2017-03-15,0.028145637
2017-03-16,0.04573095
2017-03-17,0.06710984
2017-03-18,0.09259569
2017-03-19,0.12249576
2017-03-20,0.15711673
2017-03-21,0.19676526
2017-03-22,0.24177189
2017-03-23,0.29256266
2017-03-24,0.34958708
2017-03-25,0.41329312
2017-03-26,0.48407218
2017-03-27,0.562019
2017-03-28,0.64688516
2017-03-29,0.73828787
2017-03-30,0.83552825
2017-03-31,0.9374909
2017-04-01,1.0425607
2017-04-02,1.1487343
2017-04-03,1.2537099
2017-04-04,1.3550231
2017-04-05,1.4505808
2017-04-06,1.5389116
2017-04-07,1.6188271
2017-04-08,1.6895033
2017-04-09,1.7499378
2017-04-10,1.7995266
2017-04-11,1.8389606
2017-04-12,1.8706272
2017-04-13,1.89832
2017-04-14,1.9259491
2017-04-15,1.9566574
2017-04-16,1.9928764
2017-04-17,2.0361547
2017-04-18,2.0875478
2017-04-19,2.1482124
2017-04-20,2.2200167
2017-04-21,2.304587
2017-04-22,2.4034798
2017-04-23,2.518511
2017-04-24,2.6505916
2017-04-25,2.8002024
2017-04-26,2.9684699
2017-04-27,3.157531
2017-04-28,3.3700063
2017-04-29,3.6077244
2017-04-30,3.8705032
2017-05-01,4.1565795
2017-05-02,4.4635906
2017-05-03,4.7879586
2017-05-04,5.1253676
2017-05-05,5.4698877
2017-05-06,5.8158884
2017-05-07,6.1591883
2017-05-08,6.497211
2017-05-09,6.8285813
2017-05-10,7.152975
2017-05-11,7.469674
2017-05-12,7.777967
2017-05-13,8.077731
2017-05-14,8.36849
2017-05-15,8.648996
2017-05-16,8.917515
2017-05-17,9.1717
2017-05-18,9.410129
2017-05-19,9.632535
2017-05-20,9.839749
2017-05-21,10.032462
2017-05-22,10.207705
2017-05-23,10.362767
2017-05-24,10.497375
2017-05-25,10.613174
2017-05-26,10.712284
2017-05-27,10.794686
2017-05-28,10.861224
2017-05-29,10.914224
2017-05-30,10.956142
2017-05-31,10.988918
2017-06-01,11.014048
2017-06-02,11.032601
2017-06-03,11.044942
2017-06-04,11.050689
2017-06-05,11.048678
2017-06-06,11.03691
2017-06-07,11.015773
2017-06-08,10.987595
2017-06-09,10.955735
2017-06-10,10.92501
2017-06-11,10.899191
2017-06-12,10.878828
2017-06-13,10.863136
2017-06-14,10.850016
2017-06-15,10.837527
2017-06-16,10.82514
2017-06-17,10.813523
2017-06-18,10.802364
2017-06-19,10.790868
2017-06-20,10.779352
2017-06-21,10.769313
2017-06-22,10.762503
2017-06-23,10.759779
2017-06-24,10.761159
2017-06-25,10.766
2017-06-26,10.773208
2017-06-27,10.779788
2017-06-28,10.782477
2017-06-29,10.778797
2017-06-30,10.768135
2017-07-01,10.751348
2017-07-02,10.73055
2017-07-03,10.708542
2017-07-04,10.68756
2017-07-05,10.670145
2017-07-06,10.658038
2017-07-07,10.652584
2017-07-08,10.654718
2017-07-09,10.663824
2017-07-10,10.677875
2017-07-11,10.694298
2017-07-12,10.710192
2017-07-13,10.722509
2017-07-14,10.728778
2017-07-15,10.728055
2017-07-16,10.719767
2017-07-17,10.70334
2017-07-18,10.6782
2017-07-19,10.6440525
2017-07-20,10.601882
2017-07-21,10.553618
2017-07-22,10.501533
2017-07-23,10.447582
2017-07-24,10.392708
2017-07-25,10.337145
2017-07-26,10.279081
2017-07-27,10.217981
2017-07-28,10.153951
2017-07-29,10.086173
2017-07-30,10.014747
2017-07-31,9.940784
2017-08-01,9.865137
2017-08-02,9.787714
2017-08-03,9.707682
2017-08-04,9.6244335
2017-08-05,9.538407
2017-08-06,9.451297
2017-08-07,9.364622
2017-08-08,9.276915
2017-08-09,9.186407
2017-08-10,9.091517
2017-08-11,8.990515
2017-08-12,8.880733
2017-08-13,8.759829
2017-08-14,8.627767
2017-08-15,8.486744
2017-08-16,8.341088
2017-08-17,8.195865
2017-08-18,8.05617
2017-08-19,7.9268923
2017-08-20,7.8115325
2017-08-21,7.710323
2017-08-22,7.6227155
2017-08-23,7.5481625
2017-08-24,7.4861155
2017-08-25,7.4360266
2017-08-26,7.3972445
2017-08-27,7.3687053
2017-08-28,7.3488846
2017-08-29,7.3347554
2017-08-30,7.3226337
2017-08-31,7.3087354
2017-09-01,7.2892203
2017-09-02,7.260071
2017-09-03,7.216948
2017-09-04,7.1556907
2017-09-05,7.072074
2017-09-06,6.9642696
2017-09-07,6.8326535
2017-09-08,6.6782827
2017-09-09,6.503531
2017-09-10,6.312728
2017-09-11,6.111448
2017-09-12,5.9051213
2017-09-13,5.6977677
2017-09-14,5.4928923
2017-09-15,5.2947273
2017-09-16,5.1088367
2017-09-17,4.9417105
2017-09-18,4.797423
2017-09-19,4.676653
2017-09-20,4.5786495
2017-09-21,4.499256
2017-09-22,4.4313846
2017-09-23,4.36842
2017-09-24,4.3066955
2017-09-25,4.243813
2017-09-26,4.176937
2017-09-27,4.1030726
2017-09-28,4.019226
2017-09-29,3.922781
2017-09-30,3.8128605
2017-10-01,3.6900854
2017-10-02,3.5562484
2017-10-03,3.4138832
2017-10-04,3.2657526
2017-10-05,3.1135612
2017-10-06,2.9595296
2017-10-07,2.8058298
2017-10-08,2.6545131
2017-10-09,2.507486
2017-10-10,2.3658624
2017-10-11,2.2306032
2017-10-12,2.1018088
2017-10-13,1.97839
2017-10-14,1.8585478
2017-10-15,1.7406545
2017-10-16,1.62378
2017-10-17,1.5076272
2017-10-18,1.3925189
2017-10-19,1.2791682
2017-10-20,1.1685532
2017-10-21,1.0617051
2017-10-22,0.9593151
2017-10-23,0.86167055
2017-10-24,0.7689016
2017-10-25,0.68126065
2017-10-26,0.59919286
2017-10-27,0.5230005
2017-10-28,0.45273745
2017-10-29,0.38830745
2017-10-30,0.32957903
2017-10-31,0.27642596
2017-11-01,0.2287188
2017-11-02,0.18622684
2017-11-03,0.14862865
2017-11-04,0.11558439
2017-11-05,0.08676239
2017-11-06,0.061865278
2017-11-07,0.040604234
2017-11-08,0.02269468
2017-11-09,0.007869071
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,1.7805372e-05
2017-11-28,0.0025307965
2017-11-29,0.004885718
2017-11-30,0.0071403226
2017-12-01,0.009352362
2017-12-02,0.011579586
2017-12-03,0.013879749
2017-12-04,0.0163106
2017-12-05,0.018929895
2017-12-06,0.02179538
2017-12-07,0.024964811
2017-12-08,0.02849594
2017-12-09,0.032446515
2017-12-10,0.03687429
2017-12-11,0.041837018
2017-12-12,0.047393195
2017-12-13,0.053601187
2017-12-14,0.060507655
2017-12-15,0.068156146
2017-12-16,0.076581016
2017-12-17,0.08577292
2017-12-18,0.09569384
2017-12-19,0.10633133
2017-12-20,0.11768108
2017-12-21,0.12973873
2017-12-22,0.14249729
2017-12-23,0.15593565
2017-12-24,0.17000502
2017-12-25,0.18459167
2017-12-26,0.1994957
2017-12-27,0.21445079
2017-12-28,0.2291635
2017-12-29,0.24326396
2017-12-30,0.25629166
2017-12-31,0.26779565
2018-01-01,0.27745727
2018-01-02,0.2850578
2018-01-03,0.29038653
2018-01-04,0.29319367
2018-01-05,0.29321757
2018-01-06,0.29021686
2018-01-07,0.28412884
2018-01-08,0.27523902
2018-01-09,0.26414075
2018-01-10,0.25152096
2018-01-11,0.2380661
2018-01-12,0.22437055
2018-01-13,0.2108929
2018-01-14,0.19796616
2018-01-15,0.18588604
2018-01-16,0.17488733
2018-01-17,0.16511767
2018-01-18,0.15662885
2018-01-19,0.14939195
2018-01-20,0.14327009
2018-01-21,0.13801278
2018-01-22,0.133277
2018-01-23,0.12870838
2018-01-24,0.12410443
2018-01-25,0.11937059
2018-01-26,0.114546575
2018-01-27,0.10980914
2018-01-28,0.105363004
2018-01-29,0.101368375
2018-01-30,0.09792539
2018-01-31,0.09512129
2018-02-01,0.0930433
2018-02-02,0.091778666
2018-02-03,0.09140221
2018-02-04,0.091939025
2018-02-05,0.0934018
2018-02-06,0.0958032
