Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,0.31042242
2017-01-02,0.28349024
2017-01-03,0.2554368
2017-01-04,0.22620887
2017-01-05,0.19575317
2017-01-06,0.16403985
2017-01-07,0.13113774
2017-01-08,0.097161375
2017-01-09,0.062253747
2017-01-10,0.026649658
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.061948594
2017-02-12,0.14795765
2017-02-13,0.24203368
2017-02-14,0.3444344
2017-02-15,0.45541757
2017-02-16,0.57524097
2017-02-17,0.70416224
2017-02-18,0.84239155
2017-02-19,0.9899217
2017-02-20,1.14657
2017-02-21,1.3120116
2017-02-22,1.4856801
2017-02-23,1.6664356
2017-02-24,1.8525066
2017-02-25,2.0416
2017-02-26,2.2310655
2017-02-27,2.4179442
2017-02-28,2.5990298
2017-03-01,2.7715564
2017-03-02,2.9330027
2017-03-03,3.0810452
2017-03-04,3.2138057
2017-03-05,3.330618
2017-03-06,3.4319565
2017-03-07,3.518952
2017-03-08,3.5931182
2017-03-09,3.656432
2017-03-10,3.712409
2017-03-11,3.7645686
2017-03-12,3.8148897
2017-03-13,3.8644931
2017-03-14,3.9135947
2017-03-15,3.9625723
2017-03-16,4.01175
2017-03-17,4.06106
2017-03-18,4.111844
2017-03-19,4.1665587
2017-03-20,4.2262635
2017-03-21,4.292483
2017-03-22,4.367278
2017-03-23,4.452908
2017-03-24,4.549714
2017-03-25,4.6556334
2017-03-26,4.767255
2017-03-27,4.8812056
2017-03-28,4.994987
2017-03-29,5.1072264
2017-03-30,5.217448
2017-03-31,5.3254695
2017-04-01,5.430482
2017-04-02,5.532162
2017-04-03,5.630665
2017-04-04,5.726107
2017-04-05,5.8188915
2017-04-06,5.910047
2017-04-07,5.9995832
2017-04-08,6.0862684
2017-04-09,6.166293
2017-04-10,6.234005
2017-04-11,6.2841
2017-04-12,6.31282
2017-04-13,6.318032
2017-04-14,6.298587
2017-04-15,6.25463
2017-04-16,6.188114
2017-04-17,6.101706
2017-04-18,5.9997015
2017-04-19,5.887182
2017-04-20,5.769642
2017-04-21,5.6514826
2017-04-22,5.5369396
2017-04-23,5.4307804
2017-04-24,5.3372006
2017-04-25,5.2607894
2017-04-26,5.207065
2017-04-27,5.180421
2017-04-28,5.181985
2017-04-29,5.20961
2017-04-30,5.2583404
2017-05-01,5.3228636
2017-05-02,5.3986773
2017-05-03,5.482805
2017-05-04,5.572757
2017-05-05,5.666096
2017-05-06,5.760103
2017-05-07,5.852228
2017-05-08,5.940951
2017-05-09,6.0260477
2017-05-10,6.1089926
2017-05-11,6.1916394
2017-05-12,6.275841
2017-05-13,6.3632894
2017-05-14,6.4550962
2017-05-15,6.552266
2017-05-16,6.6549444
2017-05-17,6.7630806
2017-05-18,6.876675
2017-05-19,6.9953227
2017-05-20,7.118149
2017-05-21,7.242625
2017-05-22,7.3632264
2017-05-23,7.476029
2017-05-24,7.5815244
2017-05-25,7.6838455
2017-05-26,7.787827
2017-05-27,7.898305
2017-05-28,8.019765
2017-05-29,8.155303
2017-05-30,8.307666
2017-05-31,8.478806
2017-06-01,8.667468
2017-06-02,8.871423
2017-06-03,9.088019
2017-06-04,9.313282
2017-06-05,9.541329
2017-06-06,9.764205
2017-06-07,9.9734335
2017-06-08,10.159733
2017-06-09,10.314426
2017-06-10,10.431754
2017-06-11,10.509378
2017-06-12,10.5474205
2017-06-13,10.547276
2017-06-14,10.50955
2017-06-15,10.435473
2017-06-16,10.327301
2017-06-17,10.187497
2017-06-18,10.018557
2017-06-19,9.82308
2017-06-20,9.604852
2017-06-21,9.372268
2017-06-22,9.134869
2017-06-23,8.901236
2017-06-24,8.676357
2017-06-25,8.464539
2017-06-26,8.269404
2017-06-27,8.093432
2017-06-28,7.938729
