id,settings 1
2017_s1_SOSD,17119.559
2017_s1_SOSV,6.3512263
2017_s1_LSLOPE,0.306198
2017_s1_EOSD,17266.697
2017_s1_EOSV,6.3396196
2017_s1_RSLOPE,0.10219788
2017_s1_LENGTH,147.13792
2017_s1_MINV,0.10496774
2017_s1_MAXD,17163.0
2017_s1_MAXV,15.706106
2017_s1_AMPL,15.601138
2017_s1_TPROD,1732.7654
2017_s1_SPROD,1717.1252
2017_s2_SOSD,
2017_s2_SOSV,
2017_s2_LSLOPE,
2017_s2_EOSD,
2017_s2_EOSV,
2017_s2_RSLOPE,
2017_s2_LENGTH,
2017_s2_MINV,
2017_s2_MAXD,
2017_s2_MAXV,
2017_s2_AMPL,
2017_s2_TPROD,
2017_s2_SPROD,
2018_s1_SOSD,18106.162
2018_s1_SOSV,6.3481846
2018_s1_LSLOPE,0.2799162
2018_s1_EOSD,18271.41
2018_s1_EOSV,6.6625175
2018_s1_RSLOPE,0.11288788
2018_s1_LENGTH,165.24854
2018_s1_MINV,0.26194426
2018_s1_MAXD,18165.0
2018_s1_MAXV,15.870461
2018_s1_AMPL,15.608517
2018_s1_TPROD,2054.4373
2018_s1_SPROD,2010.6926
2018_s2_SOSD,
2018_s2_SOSV,
2018_s2_LSLOPE,
2018_s2_EOSD,
2018_s2_EOSV,
2018_s2_RSLOPE,
2018_s2_LENGTH,
2018_s2_MINV,
2018_s2_MAXD,
2018_s2_MAXV,
2018_s2_AMPL,
2018_s2_TPROD,
2018_s2_SPROD,
2019_s1_SOSD,19121.236
2019_s1_SOSV,6.896317
2019_s1_LSLOPE,0.22877112
2019_s1_EOSD,19263.9
2019_s1_EOSV,6.4572096
2019_s1_RSLOPE,0.13923025
2019_s1_LENGTH,142.66515
2019_s1_MINV,0.39547843
2019_s1_MAXD,19174.0
2019_s1_MAXV,16.09869
2019_s1_AMPL,15.703212
2019_s1_TPROD,1776.2373
2019_s1_SPROD,1719.2885
2019_s2_SOSD,
2019_s2_SOSV,
2019_s2_LSLOPE,
2019_s2_EOSD,
2019_s2_EOSV,
2019_s2_RSLOPE,
2019_s2_LENGTH,
2019_s2_MINV,
2019_s2_MAXD,
2019_s2_MAXV,
2019_s2_AMPL,
2019_s2_TPROD,
2019_s2_SPROD,
2020_s1_SOSD,20110.258
2020_s1_SOSV,5.467354
2020_s1_LSLOPE,0.20395193
2020_s1_EOSD,20271.096
2020_s1_EOSV,5.5768676
2020_s1_RSLOPE,0.12919386
2020_s1_LENGTH,160.8377
2020_s1_MINV,0.29251334
2020_s1_MAXD,20158.0
2020_s1_MAXV,13.366507
2020_s1_AMPL,13.073994
2020_s1_TPROD,1730.0524
2020_s1_SPROD,1682.3727
2020_s2_SOSD,
2020_s2_SOSV,
2020_s2_LSLOPE,
2020_s2_EOSD,
2020_s2_EOSV,
2020_s2_RSLOPE,
2020_s2_LENGTH,
2020_s2_MINV,
2020_s2_MAXD,
2020_s2_MAXV,
2020_s2_AMPL,
2020_s2_TPROD,
2020_s2_SPROD,
2021_s1_SOSD,21130.309
2021_s1_SOSV,5.9827814
2021_s1_LSLOPE,0.21513009
2021_s1_EOSD,21278.955
2021_s1_EOSV,5.80258
2021_s1_RSLOPE,0.22403125
2021_s1_LENGTH,148.64607
2021_s1_MINV,0.15016818
2021_s1_MAXD,21219.0
2021_s1_MAXV,14.50645
2021_s1_AMPL,14.356281
2021_s1_TPROD,1814.0222
2021_s1_SPROD,1791.497
2021_s2_SOSD,
2021_s2_SOSV,
2021_s2_LSLOPE,
2021_s2_EOSD,
2021_s2_EOSV,
2021_s2_RSLOPE,
2021_s2_LENGTH,
2021_s2_MINV,
2021_s2_MAXD,
2021_s2_MAXV,
2021_s2_AMPL,
2021_s2_TPROD,
2021_s2_SPROD,
2022_s1_SOSD,22121.19
2022_s1_SOSV,6.789258
2022_s1_LSLOPE,0.25687793
2022_s1_EOSD,22263.828
2022_s1_EOSV,6.7847824
2022_s1_RSLOPE,0.1584436
2022_s1_LENGTH,142.6385
2022_s1_MINV,0.22710676
2022_s1_MAXD,22181.0
2022_s1_MAXV,16.62689
2022_s1_AMPL,16.399782
2022_s1_TPROD,1884.983
2022_s1_SPROD,1852.2797
2022_s2_SOSD,
2022_s2_SOSV,
2022_s2_LSLOPE,
2022_s2_EOSD,
2022_s2_EOSV,
2022_s2_RSLOPE,
2022_s2_LENGTH,
2022_s2_MINV,
2022_s2_MAXD,
2022_s2_MAXV,
2022_s2_AMPL,
2022_s2_TPROD,
2022_s2_SPROD,
