Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,0.022645969
2017-01-02,0.021867087
2017-01-03,0.02115678
2017-01-04,0.020512609
2017-01-05,0.019932132
2017-01-06,0.019412912
2017-01-07,0.018952508
2017-01-08,0.018548481
2017-01-09,0.018198393
2017-01-10,0.017899804
2017-01-11,0.01765027
2017-01-12,0.017447358
2017-01-13,0.017288625
2017-01-14,0.017171632
2017-01-15,0.01709394
2017-01-16,0.017053107
2017-01-17,0.017046697
2017-01-18,0.01707227
2017-01-19,0.017127384
2017-01-20,0.0172096
2017-01-21,0.017316481
2017-01-22,0.017445585
2017-01-23,0.017594473
2017-01-24,0.017760707
2017-01-25,0.017941846
2017-01-26,0.018135449
2017-01-27,0.01833908
2017-01-28,0.018550297
2017-01-29,0.018769227
2017-01-30,0.01900626
2017-01-31,0.019274347
2017-02-01,0.019586442
2017-02-02,0.019955503
2017-02-03,0.020394482
2017-02-04,0.020916333
2017-02-05,0.02153401
2017-02-06,0.022260468
2017-02-07,0.023108661
2017-02-08,0.024091544
2017-02-09,0.025221089
2017-02-10,0.026505355
2017-02-11,0.027951417
2017-02-12,0.029564485
2017-02-13,0.031342275
2017-02-14,0.03328064
2017-02-15,0.035375427
2017-02-16,0.03762248
2017-02-17,0.040017657
2017-02-18,0.04255438
2017-02-19,0.045216218
2017-02-20,0.047983702
2017-02-21,0.050840273
2017-02-22,0.053781677
2017-02-23,0.056806725
2017-02-24,0.059908394
2017-02-25,0.06305632
2017-02-26,0.06621431
2017-02-27,0.06934615
2017-02-28,0.072415665
2017-03-01,0.075386636
2017-03-02,0.07822287
2017-03-03,0.08088111
2017-03-04,0.0832921
2017-03-05,0.085388415
2017-03-06,0.08710488
2017-03-07,0.08837632
2017-03-08,0.08913754
2017-03-09,0.089323364
2017-03-10,0.0888757
2017-03-11,0.087768175
2017-03-12,0.086007684
2017-03-13,0.08365601
2017-03-14,0.08078781
2017-03-15,0.07747772
2017-03-16,0.073800415
2017-03-17,0.06983053
2017-03-18,0.06563828
2017-03-19,0.061271027
2017-03-20,0.056747757
2017-03-21,0.05207198
2017-03-22,0.047273096
2017-03-23,0.042424127
2017-03-24,0.03759182
2017-03-25,0.032833338
2017-03-26,0.028184557
2017-03-27,0.023677085
2017-03-28,0.019348362
2017-03-29,0.015243561
2017-03-30,0.011409528
2017-03-31,0.007893105
2017-04-01,0.004744556
2017-04-02,0.0020278122
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.00064475316
2017-04-09,0.0040919576
2017-04-10,0.0089437915
2017-04-11,0.015333721
2017-04-12,0.023399698
2017-04-13,0.033312786
2017-04-14,0.045331504
2017-04-15,0.059866186
2017-04-16,0.077573575
2017-04-17,0.09931797
2017-04-18,0.1261103
2017-04-19,0.15897296
2017-04-20,0.19892375
2017-04-21,0.24698049
2017-04-22,0.3041236
2017-04-23,0.37113726
2017-04-24,0.44854358
2017-04-25,0.53665733
2017-04-26,0.6356698
2017-04-27,0.745512
2017-04-28,0.8657446
2017-04-29,0.9955143
2017-04-30,1.1336277
2017-05-01,1.2791237
2017-05-02,1.43181
2017-05-03,1.5923091
2017-05-04,1.7618458
2017-05-05,1.941984
2017-05-06,2.1342041
2017-05-07,2.33974
2017-05-08,2.5595121
2017-05-09,2.7938244
2017-05-10,3.0420322
2017-05-11,3.3022692
2017-05-12,3.571996
2017-05-13,3.8483331
2017-05-14,4.1273413
2017-05-15,4.4043922
2017-05-16,4.6753206
2017-05-17,4.9374657
2017-05-18,5.1898913
2017-05-19,5.4330997
2017-05-20,5.6689825
2017-05-21,5.900149
2017-05-22,6.1278863
2017-05-23,6.3520594
2017-05-24,6.572168
2017-05-25,6.787115
2017-05-26,6.994639
2017-05-27,7.192206
2017-05-28,7.3781457
2017-05-29,7.5519834
2017-05-30,7.7142825
2017-05-31,7.8660502
2017-06-01,8.007866
2017-06-02,8.139764
2017-06-03,8.261848
2017-06-04,8.374628
2017-06-05,8.479197
2017-06-06,8.576475
2017-06-07,8.668136
2017-06-08,8.754994
2017-06-09,8.83757
2017-06-10,8.916474
2017-06-11,8.991578
2017-06-12,9.061639
2017-06-13,9.125156
2017-06-14,9.180275
2017-06-15,9.2260475
2017-06-16,9.262765
2017-06-17,9.291175
2017-06-18,9.311531
2017-06-19,9.323338
2017-06-20,9.325721
2017-06-21,9.317358
2017-06-22,9.296391
2017-06-23,9.261114
2017-06-24,9.210725
2017-06-25,9.145826
2017-06-26,9.068716
2017-06-27,8.9822445
2017-06-28,8.8902445
2017-06-29,8.797003
2017-06-30,8.706727
2017-07-01,8.6231
2017-07-02,8.549576
2017-07-03,8.488531
2017-07-04,8.440191
2017-07-05,8.404516
2017-07-06,8.3809395
2017-07-07,8.368347
2017-07-08,8.365333
2017-07-09,8.369569
2017-07-10,8.378036
2017-07-11,8.38756
2017-07-12,8.39525
2017-07-13,8.398128
2017-07-14,8.392812
2017-07-15,8.376581
2017-07-16,8.346591
2017-07-17,8.299418
2017-07-18,8.232874
2017-07-19,8.146705
2017-07-20,8.043506
2017-07-21,7.927404
2017-07-22,7.8032036
2017-07-23,7.6767898
2017-07-24,7.554581
2017-07-25,7.4417353
2017-07-26,7.339686
2017-07-27,7.2482724
2017-07-28,7.165544
2017-07-29,7.0880456
2017-07-30,7.0129123
2017-07-31,6.938656
2017-08-01,6.864616
2017-08-02,6.791454
2017-08-03,6.720959
2017-08-04,6.6551657
2017-08-05,6.595326
2017-08-06,6.541526
2017-08-07,6.4937015
2017-08-08,6.4499707
2017-08-09,6.409016
2017-08-10,6.370397
2017-08-11,6.334326
2017-08-12,6.3011246
2017-08-13,6.2697377
2017-08-14,6.239298
2017-08-15,6.209251
2017-08-16,6.179753
2017-08-17,6.151439
2017-08-18,6.1249766
2017-08-19,6.1010127
2017-08-20,6.079639
2017-08-21,6.058901
2017-08-22,6.036013
2017-08-23,6.0079346
2017-08-24,5.9714355
2017-08-25,5.923496
2017-08-26,5.861616
2017-08-27,5.784329
2017-08-28,5.690409
2017-08-29,5.5790854
2017-08-30,5.4518647
2017-08-31,5.3128467
2017-09-01,5.1677403
2017-09-02,5.022333
2017-09-03,4.8799324
2017-09-04,4.741502
2017-09-05,4.6068454
2017-09-06,4.476125
2017-09-07,4.349636
2017-09-08,4.2268553
2017-09-09,4.107061
2017-09-10,3.9902487
2017-09-11,3.8764856
2017-09-12,3.7646575
2017-09-13,3.6532524
2017-09-14,3.5415516
2017-09-15,3.4297407
2017-09-16,3.3188896
2017-09-17,3.2108963
2017-09-18,3.1067336
2017-09-19,3.0069013
2017-09-20,2.912461
2017-09-21,2.8246891
2017-09-22,2.7450902
2017-09-23,2.675185
2017-09-24,2.6160462
2017-09-25,2.5690567
2017-09-26,2.5354617
2017-09-27,2.5153182
2017-09-28,2.5072296
2017-09-29,2.508603
2017-09-30,2.5160563
2017-10-01,2.526222
2017-10-02,2.5362885
2017-10-03,2.5442035
2017-10-04,2.5484867
2017-10-05,2.54736
2017-10-06,2.5395598
2017-10-07,2.5242796
2017-10-08,2.5011084
2017-10-09,2.4697251
2017-10-10,2.4293513
2017-10-11,2.379228
2017-10-12,2.3183749
2017-10-13,2.2460375
2017-10-14,2.1621943
2017-10-15,2.0678892
2017-10-16,1.9648756
2017-10-17,1.8551662
2017-10-18,1.7408495
2017-10-19,1.6240796
2017-10-20,1.5065466
2017-10-21,1.390008
2017-10-22,1.2764158
2017-10-23,1.1673739
2017-10-24,1.0639889
2017-10-25,0.9669239
2017-10-26,0.8765819
2017-10-27,0.79327667
2017-10-28,0.7172968
