Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,3.1441832
2017-01-02,3.1359339
2017-01-03,3.127831
2017-01-04,3.1198816
2017-01-05,3.112093
2017-01-06,3.1044724
2017-01-07,3.0970268
2017-01-08,3.0897636
2017-01-09,3.0826898
2017-01-10,3.0758128
2017-01-11,3.0691395
2017-01-12,3.0626774
2017-01-13,3.0564334
2017-01-14,3.0504148
2017-01-15,3.044629
2017-01-16,3.0390828
2017-01-17,3.0337837
2017-01-18,3.0287387
2017-01-19,3.023955
2017-01-20,3.01944
2017-01-21,3.0152006
2017-01-22,3.011244
2017-01-23,3.0075777
2017-01-24,3.0042086
2017-01-25,3.001144
2017-01-26,2.998391
2017-01-27,2.995957
2017-01-28,2.9938486
2017-01-29,2.9920738
2017-01-30,2.9906392
2017-01-31,2.9895523
2017-02-01,2.98882
2017-02-02,2.98845
2017-02-03,2.9884489
2017-02-04,2.9888241
2017-02-05,2.989583
2017-02-06,2.9907324
2017-02-07,2.9922798
2017-02-08,2.9942324
2017-02-09,2.996597
2017-02-10,2.9993813
2017-02-11,3.002592
2017-02-12,3.0062368
2017-02-13,3.0103223
2017-02-14,3.014856
2017-02-15,3.0198455
2017-02-16,3.0252972
2017-02-17,3.0312188
2017-02-18,3.0376172
2017-02-19,3.0444996
2017-02-20,3.0518737
2017-02-21,3.059746
2017-02-22,3.068124
2017-02-23,3.0770152
2017-02-24,3.0864263
2017-02-25,3.0963645
2017-02-26,3.106837
2017-02-27,3.1178515
2017-02-28,3.1294146
2017-03-01,3.1415336
2017-03-02,3.1542158
2017-03-03,3.1674685
2017-03-04,3.1812987
2017-03-05,3.1957138
2017-03-06,3.2107205
2017-03-07,3.2263265
2017-03-08,3.2425387
2017-03-09,3.2593644
2017-03-10,3.276811
2017-03-11,3.2948852
2017-03-12,3.3135943
2017-03-13,3.3329458
2017-03-14,3.3529468
2017-03-15,3.3736043
2017-03-16,3.3949256
2017-03-17,3.4169178
2017-03-18,3.4395883
2017-03-19,3.462944
2017-03-20,3.4869924
2017-03-21,3.5117404
2017-03-22,3.5371952
2017-03-23,3.5633643
2017-03-24,3.5902545
2017-03-25,3.6178732
2017-03-26,3.6462276
2017-03-27,3.675325
2017-03-28,3.705172
2017-03-29,3.7357767
2017-03-30,3.7671454
2017-03-31,3.799286
2017-04-01,3.832205
2017-04-02,3.8659103
2017-04-03,3.9004085
2017-04-04,3.935707
2017-04-05,3.9718132
2017-04-06,4.008734
2017-04-07,4.046477
2017-04-08,4.0850487
2017-04-09,4.124473
2017-04-10,4.1648417
2017-04-11,4.2062616
2017-04-12,4.2488403
2017-04-13,4.292685
2017-04-14,4.337904
2017-04-15,4.384604
2017-04-16,4.4328933
2017-04-17,4.4828787
2017-04-18,4.534668
2017-04-19,4.588369
2017-04-20,4.6440883
2017-04-21,4.701935
2017-04-22,4.762015
2017-04-23,4.8244367
2017-04-24,4.889307
2017-04-25,4.9567347
2017-04-26,5.026826
2017-04-27,5.099689
2017-04-28,5.175431
2017-04-29,5.2541595
2017-04-30,5.3359823
2017-05-01,5.4210067
2017-05-02,5.5093403
2017-05-03,5.6010904
2017-05-04,5.696365
2017-05-05,5.795271
2017-05-06,5.8979163
2017-05-07,6.004409
2017-05-08,6.1148553
2017-05-09,6.2293634
2017-05-10,6.348041
2017-05-11,6.4709954
2017-05-12,6.598334
2017-05-13,6.7301645
2017-05-14,6.866595
2017-05-15,7.0077314
2017-05-16,7.1536827
2017-05-17,7.304556
2017-05-18,7.4604588
2017-05-19,7.621498
2017-05-20,7.7877827
