Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,0.18440513
2017-01-02,0.17828707
2017-01-03,0.17234227
2017-01-04,0.16657273
2017-01-05,0.16098043
2017-01-06,0.15556736
2017-01-07,0.15033549
2017-01-08,0.14528681
2017-01-09,0.14042331
2017-01-10,0.13574696
2017-01-11,0.13125975
2017-01-12,0.12696368
2017-01-13,0.122860715
2017-01-14,0.11895284
2017-01-15,0.11524204
2017-01-16,0.11173031
2017-01-17,0.10841962
2017-01-18,0.10531196
2017-01-19,0.10240932
2017-01-20,0.09971367
2017-01-21,0.097227
2017-01-22,0.094951294
2017-01-23,0.09288854
2017-01-24,0.09104072
2017-01-25,0.08940982
2017-01-26,0.08799782
2017-01-27,0.0868067
2017-01-28,0.08583845
2017-01-29,0.08509505
2017-01-30,0.08460128
2017-01-31,0.084473096
2017-02-01,0.08484923
2017-02-02,0.08586843
2017-02-03,0.08766945
2017-02-04,0.09039102
2017-02-05,0.09417188
2017-02-06,0.09915079
2017-02-07,0.10546649
2017-02-08,0.11325772
2017-02-09,0.12266322
2017-02-10,0.13382174
2017-02-11,0.14687203
2017-02-12,0.16195282
2017-02-13,0.17920285
2017-02-14,0.19876893
2017-02-15,0.22083701
2017-02-16,0.24562383
2017-02-17,0.2733209
2017-02-18,0.30406108
2017-02-19,0.33789083
2017-02-20,0.37477565
2017-02-21,0.41470742
2017-02-22,0.45774946
2017-02-23,0.5040331
2017-02-24,0.55372286
2017-02-25,0.6069227
2017-02-26,0.66366833
2017-02-27,0.723988
2017-02-28,0.78784114
2017-03-01,0.85522985
2017-03-02,0.92609835
2017-03-03,1.000334
2017-03-04,1.0778803
2017-03-05,1.1590118
2017-03-06,1.2443566
2017-03-07,1.3346347
2017-03-08,1.4302765
2017-03-09,1.5312201
2017-03-10,1.6374598
2017-03-11,1.7490828
2017-03-12,1.8661885
2017-03-13,1.9888767
2017-03-14,2.1173325
2017-03-15,2.2521029
2017-03-16,2.3939059
2017-03-17,2.5436418
2017-03-18,2.7025867
2017-03-19,2.871656
2017-03-20,3.0508392
2017-03-21,3.239316
2017-03-22,3.4357624
2017-03-23,3.6380777
2017-03-24,3.8434198
2017-03-25,4.0481915
2017-03-26,4.2493877
2017-03-27,4.445558
2017-03-28,4.6364264
2017-03-29,4.821564
2017-03-30,5.0001984
2017-03-31,5.1705103
2017-04-01,5.3304553
2017-04-02,5.479286
2017-04-03,5.6179423
2017-04-04,5.74878
2017-04-05,5.8741336
2017-04-06,5.993831
2017-04-07,6.1068907
2017-04-08,6.2126913
2017-04-09,6.3084073
2017-04-10,6.390766
2017-04-11,6.459411
2017-04-12,6.516155
2017-04-13,6.5628953
2017-04-14,6.6013584
2017-04-15,6.6335025
2017-04-16,6.6626587
2017-04-17,6.6922746
2017-04-18,6.7260756
2017-04-19,6.766153
2017-04-20,6.8122835
2017-04-21,6.8635106
2017-04-22,6.9191637
2017-04-23,6.979605
2017-04-24,7.045189
2017-04-25,7.116591
2017-04-26,7.1965203
2017-04-27,7.2874913
2017-04-28,7.391553
2017-04-29,7.511102
2017-04-30,7.6486244
2017-05-01,7.806612
2017-05-02,7.987608
2017-05-03,8.194132
2017-05-04,8.42839
2017-05-05,8.693636
2017-05-06,8.99039
2017-05-07,9.316006
2017-05-08,9.667885
2017-05-09,10.042828
2017-05-10,10.434331
2017-05-11,10.835328
2017-05-12,11.240097
2017-05-13,11.644072
2017-05-14,12.0419855
2017-05-15,12.427199
2017-05-16,12.791391
2017-05-17,13.125738
2017-05-18,13.421682
2017-05-19,13.672375
2017-05-20,13.873902
2017-05-21,14.024984
2017-05-22,14.124419
