Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2018-01-01,0.32248604
2018-01-02,0.33417907
2018-01-03,0.34386253
2018-01-04,0.3513166
2018-01-05,0.35643107
2018-01-06,0.3592388
2018-01-07,0.35986227
2018-01-08,0.35869563
2018-01-09,0.35603243
2018-01-10,0.35211185
2018-01-11,0.34720868
2018-01-12,0.34187087
2018-01-13,0.3368866
2018-01-14,0.33293837
2018-01-15,0.33062917
2018-01-16,0.33040643
2018-01-17,0.33267865
2018-01-18,0.3378046
2018-01-19,0.345902
2018-01-20,0.3568327
2018-01-21,0.370228
2018-01-22,0.38555348
2018-01-23,0.40224308
2018-01-24,0.41968372
2018-01-25,0.43708214
2018-01-26,0.45364726
2018-01-27,0.46869078
2018-01-28,0.48164198
2018-01-29,0.49195874
2018-01-30,0.49917272
2018-01-31,0.50314534
2018-02-01,0.50411785
2018-02-02,0.5024591
2018-02-03,0.49857298
2018-02-04,0.49287003
2018-02-05,0.48565212
2018-02-06,0.47719166
2018-02-07,0.46776122
2018-02-08,0.4576491
2018-02-09,0.4472071
2018-02-10,0.43682244
2018-02-11,0.4269094
2018-02-12,0.4176627
2018-02-13,0.4090578
2018-02-14,0.40087482
2018-02-15,0.39282352
2018-02-16,0.384554
2018-02-17,0.37559867
2018-02-18,0.36555108
2018-02-19,0.35425657
2018-02-20,0.34180772
2018-02-21,0.3285118
2018-02-22,0.31474128
2018-02-23,0.30077437
2018-02-24,0.28673613
2018-02-25,0.27271765
2018-02-26,0.2588101
2018-02-27,0.2451046
2018-02-28,0.23169227
2018-03-01,0.21864155
2018-03-02,0.20593005
2018-03-03,0.19351271
2018-03-04,0.18136734
2018-03-05,0.16956359
2018-03-06,0.158194
2018-03-07,0.14735116
2018-03-08,0.1371276
2018-03-09,0.1276159
2018-03-10,0.1189086
2018-03-11,0.11109828
2018-03-12,0.10427749
2018-03-13,0.0985388
2018-03-14,0.09397477
2018-03-15,0.09067795
2018-03-16,0.0887409
2018-03-17,0.08825619
2018-03-18,0.089316376
2018-03-19,0.09201402
2018-03-20,0.09644168
2018-03-21,0.10269192
2018-03-22,0.11085729
2018-03-23,0.12102082
2018-03-24,0.13323405
2018-03-25,0.14757593
2018-03-26,0.16415828
2018-03-27,0.18302779
2018-03-28,0.2041502
2018-03-29,0.22751513
2018-03-30,0.25307238
2018-03-31,0.2807281
2018-04-01,0.310399
2018-04-02,0.34186354
2018-04-03,0.37483627
2018-04-04,0.40918002
2018-04-05,0.4448803
2018-04-06,0.48189124
2018-04-07,0.5200297
2018-04-08,0.559001
2018-04-09,0.5984158
2018-04-10,0.6379101
2018-04-11,0.6770689
2018-04-12,0.7152712
2018-04-13,0.75183815
2018-04-14,0.7860865
2018-04-15,0.8172635
2018-04-16,0.84429336
2018-04-17,0.8655917
2018-04-18,0.8791359
2018-04-19,0.8830224
2018-04-20,0.87616616
2018-04-21,0.8586508
2018-04-22,0.83114034
2018-04-23,0.79563993
2018-04-24,0.75463146
2018-04-25,0.7104018
2018-04-26,0.66509396
2018-04-27,0.62072855
2018-04-28,0.5791534
2018-04-29,0.54209405
2018-04-30,0.5108642
2018-05-01,0.4863362
2018-05-02,0.46908197
2018-05-03,0.45945722
2018-05-04,0.45765084
