id,settings 1
2021_s1_SOSD,21092.086
2021_s1_SOSV,6.582652
2021_s1_LSLOPE,0.13952462
2021_s1_EOSD,21200.28
2021_s1_EOSV,7.1743255
2021_s1_RSLOPE,0.2198384
2021_s1_LENGTH,108.1931
2021_s1_MINV,1.1820194
2021_s1_MAXD,21154.0
2021_s1_MAXV,15.423193
2021_s1_AMPL,14.241174
2021_s1_TPROD,1279.6881
2021_s1_SPROD,1149.666
2021_s2_SOSD,
2021_s2_SOSV,
2021_s2_LSLOPE,
2021_s2_EOSD,
2021_s2_EOSV,
2021_s2_RSLOPE,
2021_s2_LENGTH,
2021_s2_MINV,
2021_s2_MAXD,
2021_s2_MAXV,
2021_s2_AMPL,
2021_s2_TPROD,
2021_s2_SPROD,
2022_s1_SOSD,22083.264
2022_s1_SOSV,6.274623
2022_s1_LSLOPE,0.18918985
2022_s1_EOSD,22176.014
2022_s1_EOSV,6.5611243
2022_s1_RSLOPE,0.21943387
2022_s1_LENGTH,92.750885
2022_s1_MINV,1.0848048
2022_s1_MAXD,22130.0
2022_s1_MAXV,14.417477
2022_s1_AMPL,13.332672
2022_s1_TPROD,1047.5105
2022_s1_SPROD,944.45404
2022_s2_SOSD,
2022_s2_SOSV,
2022_s2_LSLOPE,
2022_s2_EOSD,
2022_s2_EOSV,
2022_s2_RSLOPE,
2022_s2_LENGTH,
2022_s2_MINV,
2022_s2_MAXD,
2022_s2_MAXV,
2022_s2_AMPL,
2022_s2_TPROD,
2022_s2_SPROD,
2023_s1_SOSD,23146.443
2023_s1_SOSV,5.9297585
2023_s1_LSLOPE,0.20604034
2023_s1_EOSD,23282.182
2023_s1_EOSV,5.916957
2023_s1_RSLOPE,0.18653505
2023_s1_LENGTH,135.73686
2023_s1_MINV,0.2859565
2023_s1_MAXD,23196.0
2023_s1_MAXV,14.379459
2023_s1_AMPL,14.093503
2023_s1_TPROD,1592.5825
2023_s1_SPROD,1553.1205
2023_s2_SOSD,
2023_s2_SOSV,
2023_s2_LSLOPE,
2023_s2_EOSD,
2023_s2_EOSV,
2023_s2_RSLOPE,
2023_s2_LENGTH,
2023_s2_MINV,
2023_s2_MAXD,
2023_s2_MAXV,
2023_s2_AMPL,
2023_s2_TPROD,
2023_s2_SPROD,
