id,settings 1
2017_s1_SOSD,17080.992
2017_s1_SOSV,7.0215974
2017_s1_LSLOPE,0.076187305
2017_s1_EOSD,17282.117
2017_s1_EOSV,7.0675263
2017_s1_RSLOPE,0.10784903
2017_s1_LENGTH,201.12505
2017_s1_MINV,1.9253945
2017_s1_MAXD,17184.0
2017_s1_MAXV,14.723313
2017_s1_AMPL,12.797919
2017_s1_TPROD,2235.9963
2017_s1_SPROD,1843.2158
2017_s2_SOSD,
2017_s2_SOSV,
2017_s2_LSLOPE,
2017_s2_EOSD,
2017_s2_EOSV,
2017_s2_RSLOPE,
2017_s2_LENGTH,
2017_s2_MINV,
2017_s2_MAXD,
2017_s2_MAXV,
2017_s2_AMPL,
2017_s2_TPROD,
2017_s2_SPROD,
2018_s1_SOSD,18064.98
2018_s1_SOSV,6.271332
2018_s1_LSLOPE,0.063569434
2018_s1_EOSD,18277.688
2018_s1_EOSV,6.9309
2018_s1_RSLOPE,0.120041534
2018_s1_LENGTH,212.7075
2018_s1_MINV,2.5133088
2018_s1_MAXD,18227.0
2018_s1_MAXV,12.732827
2018_s1_AMPL,10.219518
2018_s1_TPROD,2225.8945
2018_s1_SPROD,1685.5331
2018_s2_SOSD,
2018_s2_SOSV,
2018_s2_LSLOPE,
2018_s2_EOSD,
2018_s2_EOSV,
2018_s2_RSLOPE,
2018_s2_LENGTH,
2018_s2_MINV,
2018_s2_MAXD,
2018_s2_MAXV,
2018_s2_AMPL,
2018_s2_TPROD,
2018_s2_SPROD,
2019_s1_SOSD,19073.328
2019_s1_SOSV,7.2125697
2019_s1_LSLOPE,0.056436718
2019_s1_EOSD,19278.213
2019_s1_EOSV,6.9836645
2019_s1_RSLOPE,0.09923242
2019_s1_LENGTH,204.88318
2019_s1_MINV,2.8721952
2019_s1_MAXD,19210.0
2019_s1_MAXV,13.437
2019_s1_AMPL,10.564805
2019_s1_TPROD,2182.551
2019_s1_SPROD,1588.0066
2019_s2_SOSD,
2019_s2_SOSV,
2019_s2_LSLOPE,
2019_s2_EOSD,
2019_s2_EOSV,
2019_s2_RSLOPE,
2019_s2_LENGTH,
2019_s2_MINV,
2019_s2_MAXD,
2019_s2_MAXV,
2019_s2_AMPL,
2019_s2_TPROD,
2019_s2_SPROD,
2020_s1_SOSD,20108.064
2020_s1_SOSV,6.8483305
2020_s1_LSLOPE,0.05375614
2020_s1_EOSD,20280.83
2020_s1_EOSV,6.0032296
2020_s1_RSLOPE,0.066260904
2020_s1_LENGTH,172.76532
2020_s1_MINV,1.9771901
2020_s1_MAXD,20191.0
2020_s1_MAXV,13.098665
2020_s1_AMPL,11.121474
2020_s1_TPROD,1775.6385
2020_s1_SPROD,1431.6074
2020_s2_SOSD,
2020_s2_SOSV,
2020_s2_LSLOPE,
2020_s2_EOSD,
2020_s2_EOSV,
2020_s2_RSLOPE,
2020_s2_LENGTH,
2020_s2_MINV,
2020_s2_MAXD,
2020_s2_MAXV,
2020_s2_AMPL,
2020_s2_TPROD,
2020_s2_SPROD,
2021_s1_SOSD,
2021_s1_SOSV,
2021_s1_LSLOPE,
2021_s1_EOSD,
2021_s1_EOSV,
2021_s1_RSLOPE,
2021_s1_LENGTH,
2021_s1_MINV,
2021_s1_MAXD,
2021_s1_MAXV,
2021_s1_AMPL,
2021_s1_TPROD,
2021_s1_SPROD,
2021_s2_SOSD,
2021_s2_SOSV,
2021_s2_LSLOPE,
2021_s2_EOSD,
2021_s2_EOSV,
2021_s2_RSLOPE,
2021_s2_LENGTH,
2021_s2_MINV,
2021_s2_MAXD,
2021_s2_MAXV,
2021_s2_AMPL,
2021_s2_TPROD,
2021_s2_SPROD,
2022_s1_SOSD,22036.621
2022_s1_SOSV,2.5879006
2022_s1_LSLOPE,0.027782837
2022_s1_EOSD,22275.652
2022_s1_EOSV,3.0964289
2022_s1_RSLOPE,0.017976206
2022_s1_LENGTH,239.03171
2022_s1_MINV,1.7003987
2022_s1_MAXD,22137.0
2022_s1_MAXV,4.5548143
2022_s1_AMPL,2.8544154
2022_s1_TPROD,956.13306
2022_s1_SPROD,546.337
2022_s2_SOSD,
2022_s2_SOSV,
2022_s2_LSLOPE,
2022_s2_EOSD,
2022_s2_EOSV,
2022_s2_RSLOPE,
2022_s2_LENGTH,
2022_s2_MINV,
2022_s2_MAXD,
2022_s2_MAXV,
2022_s2_AMPL,
2022_s2_TPROD,
2022_s2_SPROD,
2023_s1_SOSD,23049.002
2023_s1_SOSV,6.910033
2023_s1_LSLOPE,0.073874906
2023_s1_EOSD,23283.74
2023_s1_EOSV,7.8500333
2023_s1_RSLOPE,0.0901334
2023_s1_LENGTH,234.73773
2023_s1_MINV,2.9075055
2023_s1_MAXD,23172.0
2023_s1_MAXV,14.088825
2023_s1_AMPL,11.181319
2023_s1_TPROD,2672.2368
2023_s1_SPROD,1986.0654
2023_s2_SOSD,
2023_s2_SOSV,
2023_s2_LSLOPE,
2023_s2_EOSD,
2023_s2_EOSV,
2023_s2_RSLOPE,
2023_s2_LENGTH,
2023_s2_MINV,
2023_s2_MAXD,
2023_s2_MAXV,
2023_s2_AMPL,
2023_s2_TPROD,
2023_s2_SPROD,
