id,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017_s1_SOSD,17164.01
2017_s1_SOSV,1.8823382
2017_s1_LSLOPE,0.019797137
2017_s1_EOSD,17298.62
2017_s1_EOSV,2.2937315
2017_s1_RSLOPE,0.039911706
2017_s1_LENGTH,134.60883
2017_s1_MINV,0.38368595
2017_s1_MAXD,17260.0
2017_s1_MAXV,4.1743927
2017_s1_AMPL,3.7907069
2017_s1_TPROD,389.9247
2017_s1_SPROD,337.74344
2017_s2_SOSD,
2017_s2_SOSV,
2017_s2_LSLOPE,
2017_s2_EOSD,
2017_s2_EOSV,
2017_s2_RSLOPE,
2017_s2_LENGTH,
2017_s2_MINV,
2017_s2_MAXD,
2017_s2_MAXV,
2017_s2_AMPL,
2017_s2_TPROD,
2017_s2_SPROD,
2018_s1_SOSD,18126.637
2018_s1_SOSV,5.6406236
2018_s1_LSLOPE,0.4730594
2018_s1_EOSD,18182.709
2018_s1_EOSV,7.2873015
2018_s1_RSLOPE,0.42658454
2018_s1_LENGTH,56.072906
2018_s1_MINV,0.75285965
2018_s1_MAXD,18153.0
2018_s1_MAXV,13.481954
2018_s1_AMPL,12.729094
2018_s1_TPROD,644.1313
2018_s1_SPROD,600.4654
2018_s2_SOSD,
2018_s2_SOSV,
2018_s2_LSLOPE,
2018_s2_EOSD,
2018_s2_EOSV,
2018_s2_RSLOPE,
2018_s2_LENGTH,
2018_s2_MINV,
2018_s2_MAXD,
2018_s2_MAXV,
2018_s2_AMPL,
2018_s2_TPROD,
2018_s2_SPROD,
2019_s1_SOSD,
2019_s1_SOSV,
2019_s1_LSLOPE,
2019_s1_EOSD,
2019_s1_EOSV,
2019_s1_RSLOPE,
2019_s1_LENGTH,
2019_s1_MINV,
2019_s1_MAXD,
2019_s1_MAXV,
2019_s1_AMPL,
2019_s1_TPROD,
2019_s1_SPROD,
2019_s2_SOSD,
2019_s2_SOSV,
2019_s2_LSLOPE,
2019_s2_EOSD,
2019_s2_EOSV,
2019_s2_RSLOPE,
2019_s2_LENGTH,
2019_s2_MINV,
2019_s2_MAXD,
2019_s2_MAXV,
2019_s2_AMPL,
2019_s2_TPROD,
2019_s2_SPROD,
2020_s1_SOSD,
2020_s1_SOSV,
2020_s1_LSLOPE,
2020_s1_EOSD,
2020_s1_EOSV,
2020_s1_RSLOPE,
2020_s1_LENGTH,
2020_s1_MINV,
2020_s1_MAXD,
2020_s1_MAXV,
2020_s1_AMPL,
2020_s1_TPROD,
2020_s1_SPROD,
2020_s2_SOSD,
2020_s2_SOSV,
2020_s2_LSLOPE,
2020_s2_EOSD,
2020_s2_EOSV,
2020_s2_RSLOPE,
2020_s2_LENGTH,
2020_s2_MINV,
2020_s2_MAXD,
2020_s2_MAXV,
2020_s2_AMPL,
2020_s2_TPROD,
2020_s2_SPROD,
2021_s1_SOSD,21135.922
2021_s1_SOSV,6.068468
2021_s1_LSLOPE,0.40464205
2021_s1_EOSD,21200.777
2021_s1_EOSV,7.8069487
2021_s1_RSLOPE,0.31111324
2021_s1_LENGTH,64.85592
2021_s1_MINV,0.57505447
2021_s1_MAXD,21164.0
2021_s1_MAXV,14.746741
2021_s1_AMPL,14.171686
2021_s1_TPROD,783.4354
2021_s1_SPROD,744.9068
2021_s2_SOSD,
2021_s2_SOSV,
2021_s2_LSLOPE,
2021_s2_EOSD,
2021_s2_EOSV,
2021_s2_RSLOPE,
2021_s2_LENGTH,
2021_s2_MINV,
2021_s2_MAXD,
2021_s2_MAXV,
2021_s2_AMPL,
2021_s2_TPROD,
2021_s2_SPROD,
2022_s1_SOSD,22159.773
2022_s1_SOSV,6.5683556
2022_s1_LSLOPE,0.46125624
2022_s1_EOSD,22221.629
2022_s1_EOSV,8.325469
2022_s1_RSLOPE,0.35238504
2022_s1_LENGTH,61.854584
2022_s1_MINV,0.45103014
2022_s1_MAXD,22190.0
2022_s1_MAXV,16.017681
2022_s1_AMPL,15.566652
2022_s1_TPROD,801.2561
2022_s1_SPROD,772.3902
2022_s2_SOSD,
2022_s2_SOSV,
2022_s2_LSLOPE,
2022_s2_EOSD,
2022_s2_EOSV,
2022_s2_RSLOPE,
2022_s2_LENGTH,
2022_s2_MINV,
2022_s2_MAXD,
2022_s2_MAXV,
2022_s2_AMPL,
2022_s2_TPROD,
2022_s2_SPROD,
2023_s1_SOSD,23128.918
2023_s1_SOSV,7.668006
2023_s1_LSLOPE,0.705052
2023_s1_EOSD,23190.955
2023_s1_EOSV,9.793725
2023_s1_RSLOPE,0.40686768
2023_s1_LENGTH,62.037846
2023_s1_MINV,0.20871717
2023_s1_MAXD,23151.0
2023_s1_MAXV,19.170015
2023_s1_AMPL,18.961298
2023_s1_TPROD,968.23834
2023_s1_SPROD,954.88043
2023_s2_SOSD,
2023_s2_SOSV,
2023_s2_LSLOPE,
2023_s2_EOSD,
2023_s2_EOSV,
2023_s2_RSLOPE,
2023_s2_LENGTH,
2023_s2_MINV,
2023_s2_MAXD,
2023_s2_MAXV,
2023_s2_AMPL,
2023_s2_TPROD,
2023_s2_SPROD,
