Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,1.9296204
2017-01-02,1.9787503
2017-01-03,2.0292006
2017-01-04,2.080908
2017-01-05,2.1335416
2017-01-06,2.1864696
2017-01-07,2.2388198
2017-01-08,2.2900074
2017-01-09,2.3395386
2017-01-10,2.3869188
2017-01-11,2.4316542
2017-01-12,2.4732506
2017-01-13,2.511214
2017-01-14,2.5450497
2017-01-15,2.574264
2017-01-16,2.5983627
2017-01-17,2.6168513
2017-01-18,2.6292362
2017-01-19,2.6350229
2017-01-20,2.633717
2017-01-21,2.624825
2017-01-22,2.6079648
2017-01-23,2.5833201
2017-01-24,2.5517485
2017-01-25,2.5147662
2017-01-26,2.4745736
2017-01-27,2.433771
2017-01-28,2.3943295
2017-01-29,2.3578622
2017-01-30,2.3259702
2017-01-31,2.2994747
2017-02-01,2.2793748
2017-02-02,2.2673767
2017-02-03,2.2644455
2017-02-04,2.271047
2017-02-05,2.2872667
2017-02-06,2.3133948
2017-02-07,2.3507884
2017-02-08,2.401356
2017-02-09,2.4661086
2017-02-10,2.5450287
2017-02-11,2.6369193
2017-02-12,2.7397637
2017-02-13,2.851217
2017-02-14,2.9678705
2017-02-15,3.0863004
2017-02-16,3.202996
2017-02-17,3.3151338
2017-02-18,3.4210753
2017-02-19,3.520268
2017-02-20,3.6126823
2017-02-21,3.699078
2017-02-22,3.7814023
2017-02-23,3.8626142
2017-02-24,3.9461796
2017-02-25,4.034996
2017-02-26,4.131239
2017-02-27,4.2354426
2017-02-28,4.345769
2017-03-01,4.460018
2017-03-02,4.5761952
2017-03-03,4.69309
2017-03-04,4.810085
2017-03-05,4.92545
2017-03-06,5.036984
2017-03-07,5.1417723
2017-03-08,5.237204
2017-03-09,5.321254
2017-03-10,5.3924975
2017-03-11,5.450322
2017-03-12,5.494814
2017-03-13,5.52661
2017-03-14,5.5471706
2017-03-15,5.558054
2017-03-16,5.560252
2017-03-17,5.554955
2017-03-18,5.543719
2017-03-19,5.5282764
2017-03-20,5.5107303
2017-03-21,5.4937215
2017-03-22,5.4805827
2017-03-23,5.4748774
2017-03-24,5.479063
2017-03-25,5.494428
