id,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2018_s1_SOSD,18109.75
2018_s1_SOSV,3.5040982
2018_s1_LSLOPE,0.05825998
2018_s1_EOSD,18270.746
2018_s1_EOSV,4.343965
2018_s1_RSLOPE,0.054963216
2018_s1_LENGTH,160.99484
2018_s1_MINV,0.14507471
2018_s1_MAXD,18150.0
2018_s1_MAXV,8.542767
2018_s1_AMPL,8.397692
2018_s1_TPROD,957.8461
2018_s1_SPROD,934.199
2018_s2_SOSD,
2018_s2_SOSV,
2018_s2_LSLOPE,
2018_s2_EOSD,
2018_s2_EOSV,
2018_s2_RSLOPE,
2018_s2_LENGTH,
2018_s2_MINV,
2018_s2_MAXD,
2018_s2_MAXV,
2018_s2_AMPL,
2018_s2_TPROD,
2018_s2_SPROD,
2019_s1_SOSD,19132.715
2019_s1_SOSV,5.431967
2019_s1_LSLOPE,0.16476573
2019_s1_EOSD,19246.354
2019_s1_EOSV,6.7997494
2019_s1_RSLOPE,0.114527665
2019_s1_LENGTH,113.64033
2019_s1_MINV,0.19124469
2019_s1_MAXD,19203.0
2019_s1_MAXV,13.362172
2019_s1_AMPL,13.170928
2019_s1_TPROD,1114.2145
2019_s1_SPROD,1092.0302
2019_s2_SOSD,
2019_s2_SOSV,
2019_s2_LSLOPE,
2019_s2_EOSD,
2019_s2_EOSV,
2019_s2_RSLOPE,
2019_s2_LENGTH,
2019_s2_MINV,
2019_s2_MAXD,
2019_s2_MAXV,
2019_s2_AMPL,
2019_s2_TPROD,
2019_s2_SPROD,
2020_s1_SOSD,20122.398
2020_s1_SOSV,4.219174
2020_s1_LSLOPE,0.16978854
2020_s1_EOSD,20241.771
2020_s1_EOSV,5.231222
2020_s1_RSLOPE,0.09360544
2020_s1_LENGTH,119.37316
2020_s1_MINV,0.2539123
2020_s1_MAXD,20206.0
2020_s1_MAXV,10.191946
2020_s1_AMPL,9.938033
2020_s1_TPROD,941.5786
2020_s1_SPROD,910.8552
2020_s2_SOSD,
2020_s2_SOSV,
2020_s2_LSLOPE,
2020_s2_EOSD,
2020_s2_EOSV,
2020_s2_RSLOPE,
2020_s2_LENGTH,
2020_s2_MINV,
2020_s2_MAXD,
2020_s2_MAXV,
2020_s2_AMPL,
2020_s2_TPROD,
2020_s2_SPROD,
