id,settings 1
2017_s1_SOSD,17143.16
2017_s1_SOSV,1.5165732
2017_s1_LSLOPE,0.052930053
2017_s1_EOSD,17262.041
2017_s1_EOSV,1.5087209
2017_s1_RSLOPE,0.041439112
2017_s1_LENGTH,118.87965
2017_s1_MINV,0.0065436014
2017_s1_MAXD,17196.0
2017_s1_MAXV,3.7718022
2017_s1_AMPL,3.7652586
2017_s1_TPROD,344.37067
2017_s1_SPROD,343.5789
2017_s2_SOSD,
2017_s2_SOSV,
2017_s2_LSLOPE,
2017_s2_EOSD,
2017_s2_EOSV,
2017_s2_RSLOPE,
2017_s2_LENGTH,
2017_s2_MINV,
2017_s2_MAXD,
2017_s2_MAXV,
2017_s2_AMPL,
2017_s2_TPROD,
2017_s2_SPROD,
2018_s1_SOSD,18128.402
2018_s1_SOSV,1.3078089
2018_s1_LSLOPE,0.046258945
2018_s1_EOSD,18263.758
2018_s1_EOSV,1.3102171
2018_s1_RSLOPE,0.03852307
2018_s1_LENGTH,135.35515
2018_s1_MINV,0.0020069114
2018_s1_MAXD,18197.0
2018_s1_MAXV,3.2695222
2018_s1_AMPL,3.2675152
2018_s1_TPROD,349.91153
2018_s1_SPROD,349.63657
2018_s2_SOSD,
2018_s2_SOSV,
2018_s2_LSLOPE,
2018_s2_EOSD,
2018_s2_EOSV,
2018_s2_RSLOPE,
2018_s2_LENGTH,
2018_s2_MINV,
2018_s2_MAXD,
2018_s2_MAXV,
2018_s2_AMPL,
2018_s2_TPROD,
2018_s2_SPROD,
2019_s1_SOSD,19131.76
2019_s1_SOSV,1.6584003
2019_s1_LSLOPE,0.06660173
2019_s1_EOSD,19255.717
2019_s1_EOSV,1.6766202
2019_s1_RSLOPE,0.047583528
2019_s1_LENGTH,123.957
2019_s1_MINV,0.01919712
2019_s1_MAXD,19187.0
2019_s1_MAXV,4.13998
2019_s1_AMPL,4.120783
2019_s1_TPROD,405.33817
2019_s1_SPROD,402.91934
2019_s2_SOSD,
2019_s2_SOSV,
2019_s2_LSLOPE,
2019_s2_EOSD,
2019_s2_EOSV,
2019_s2_RSLOPE,
2019_s2_LENGTH,
2019_s2_MINV,
2019_s2_MAXD,
2019_s2_MAXV,
2019_s2_AMPL,
2019_s2_TPROD,
2019_s2_SPROD,
2020_s1_SOSD,20148.941
2020_s1_SOSV,1.8076879
2020_s1_LSLOPE,0.06330247
2020_s1_EOSD,20255.6
2020_s1_EOSV,1.7885587
2020_s1_RSLOPE,0.053112324
2020_s1_LENGTH,106.658615
2020_s1_MINV,0.025254223
2020_s1_MAXD,20204.0
2020_s1_MAXV,4.457427
2020_s1_AMPL,4.432173
2020_s1_TPROD,368.96243
2020_s1_SPROD,366.20975
2020_s2_SOSD,
2020_s2_SOSV,
2020_s2_LSLOPE,
2020_s2_EOSD,
2020_s2_EOSV,
2020_s2_RSLOPE,
2020_s2_LENGTH,
2020_s2_MINV,
2020_s2_MAXD,
2020_s2_MAXV,
2020_s2_AMPL,
2020_s2_TPROD,
2020_s2_SPROD,
2021_s1_SOSD,21134.197
2021_s1_SOSV,1.5945107
2021_s1_LSLOPE,0.047824815
2021_s1_EOSD,21263.133
2021_s1_EOSV,1.5889227
2021_s1_RSLOPE,0.045529846
2021_s1_LENGTH,128.93628
2021_s1_MINV,0.0046566445
2021_s1_MAXD,21202.0
2021_s1_MAXV,3.9723067
2021_s1_AMPL,3.9676502
2021_s1_TPROD,394.97458
2021_s1_SPROD,394.36456
2021_s2_SOSD,
2021_s2_SOSV,
2021_s2_LSLOPE,
2021_s2_EOSD,
2021_s2_EOSV,
2021_s2_RSLOPE,
2021_s2_LENGTH,
2021_s2_MINV,
2021_s2_MAXD,
2021_s2_MAXV,
2021_s2_AMPL,
2021_s2_TPROD,
2021_s2_SPROD,
2022_s1_SOSD,22142.277
2022_s1_SOSV,1.8798156
2022_s1_LSLOPE,0.07576478
2022_s1_EOSD,22257.998
2022_s1_EOSV,1.8798156
2022_s1_RSLOPE,0.054843545
2022_s1_LENGTH,115.720894
2022_s1_MINV,0.0
2022_s1_MAXD,22189.0
2022_s1_MAXV,4.6995387
2022_s1_AMPL,4.6995387
2022_s1_TPROD,423.19983
2022_s1_SPROD,423.19983
2022_s2_SOSD,
2022_s2_SOSV,
2022_s2_LSLOPE,
2022_s2_EOSD,
2022_s2_EOSV,
2022_s2_RSLOPE,
2022_s2_LENGTH,
2022_s2_MINV,
2022_s2_MAXD,
2022_s2_MAXV,
2022_s2_AMPL,
2022_s2_TPROD,
2022_s2_SPROD,
2023_s1_SOSD,23137.797
2023_s1_SOSV,1.6734475
2023_s1_LSLOPE,0.044983175
2023_s1_EOSD,23261.264
2023_s1_EOSV,1.6398308
2023_s1_RSLOPE,0.053525344
2023_s1_LENGTH,123.465744
2023_s1_MINV,0.028013809
2023_s1_MAXD,23203.0
2023_s1_MAXV,4.099577
2023_s1_AMPL,4.0715632
2023_s1_TPROD,390.21118
2023_s1_SPROD,386.68146
2023_s2_SOSD,
2023_s2_SOSV,
2023_s2_LSLOPE,
2023_s2_EOSD,
2023_s2_EOSV,
2023_s2_RSLOPE,
2023_s2_LENGTH,
2023_s2_MINV,
2023_s2_MAXD,
2023_s2_MAXV,
2023_s2_AMPL,
2023_s2_TPROD,
2023_s2_SPROD,
