Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,0.5449081
2017-01-02,0.5164558
2017-01-03,0.48637933
2017-01-04,0.45546833
2017-01-05,0.42451268
2017-01-06,0.39425007
2017-01-07,0.3651806
2017-01-08,0.33762518
2017-01-09,0.31180853
2017-01-10,0.28785977
2017-01-11,0.26587483
2017-01-12,0.2459211
2017-01-13,0.22803372
2017-01-14,0.21224783
2017-01-15,0.19867581
2017-01-16,0.187521
2017-01-17,0.17897798
2017-01-18,0.17317298
2017-01-19,0.17018859
2017-01-20,0.17004979
2017-01-21,0.17272294
2017-01-22,0.17811574
2017-01-23,0.18609968
2017-01-24,0.19649543
2017-01-25,0.20912118
2017-01-26,0.22385414
2017-01-27,0.24058174
2017-01-28,0.2591629
2017-01-29,0.27942753
2017-01-30,0.30127126
2017-01-31,0.32471552
2017-02-01,0.3498294
2017-02-02,0.37671918
2017-02-03,0.40549648
2017-02-04,0.4361756
2017-02-05,0.46866387
2017-02-06,0.50279397
2017-02-07,0.5384219
2017-02-08,0.5756169
2017-02-09,0.61455095
2017-02-10,0.65534425
2017-02-11,0.698166
2017-02-12,0.7431848
2017-02-13,0.790451
2017-02-14,0.83972305
2017-02-15,0.8903973
2017-02-16,0.94179034
2017-02-17,0.99330944
2017-02-18,1.0444933
2017-02-19,1.0951117
2017-02-20,1.1451684
2017-02-21,1.1948203
2017-02-22,1.2442656
2017-02-23,1.2939919
2017-02-24,1.3448099
2017-02-25,1.3975328
2017-02-26,1.4528637
2017-02-27,1.5115796
2017-02-28,1.5744331
2017-03-01,1.6424505
2017-03-02,1.716632
2017-03-03,1.7983668
2017-03-04,1.8894635
2017-03-05,1.9918166
2017-03-06,2.107134
2017-03-07,2.236676
2017-03-08,2.3811812
2017-03-09,2.5407186
2017-03-10,2.7149448
2017-03-11,2.9037411
2017-03-12,3.1075122
2017-03-13,3.326817
2017-03-14,3.5609486
2017-03-15,3.8078518
2017-03-16,4.065771
2017-03-17,4.333532
2017-03-18,4.610934
2017-03-19,4.898659
2017-03-20,5.197592
2017-03-21,5.509806
2017-03-22,5.8364205
2017-03-23,6.1776295
2017-03-24,6.533729
2017-03-25,6.904281
2017-03-26,7.285403
2017-03-27,7.6718044
2017-03-28,8.059084
2017-03-29,8.442713
2017-03-30,8.819553
2017-03-31,9.18868
2017-04-01,9.550667
2017-04-02,9.905253
2017-04-03,10.250807
2017-04-04,10.584232
2017-04-05,10.90201
2017-04-06,11.199613
2017-04-07,11.471478
2017-04-08,11.712968
2017-04-09,11.921079
2017-04-10,12.094317
2017-04-11,12.232715
2017-04-12,12.3370075
2017-04-13,12.406887
2017-04-14,12.44282
2017-04-15,12.446769
2017-04-16,12.4218025
2017-04-17,12.368312
2017-04-18,12.287494
2017-04-19,12.182121
2017-04-20,12.056633
2017-04-21,11.916736
2017-04-22,11.768644
2017-04-23,11.617568
2017-04-24,11.467422
2017-04-25,11.321873
2017-04-26,11.185299
2017-04-27,11.059565
2017-04-28,10.943406
2017-04-29,10.836639
2017-04-30,10.741707
2017-05-01,10.662777
2017-05-02,10.60419
2017-05-03,10.571065
2017-05-04,10.567202
2017-05-05,10.594418
2017-05-06,10.649336
2017-05-07,10.722793
2017-05-08,10.8041725
2017-05-09,10.885547
2017-05-10,10.962277
2017-05-11,11.032391
2017-05-12,11.094137
2017-05-13,11.145255
2017-05-14,11.185186
2017-05-15,11.215583
2017-05-16,11.239574
2017-05-17,11.261171
2017-05-18,11.284304
2017-05-19,11.310751
2017-05-20,11.33618
2017-05-21,11.355377
2017-05-22,11.363923
2017-05-23,11.359331
2017-05-24,11.339441
2017-05-25,11.3007765
2017-05-26,11.241489
2017-05-27,11.162025
2017-05-28,11.063976
2017-05-29,10.950315
2017-05-30,10.8247
2017-05-31,10.687491
2017-06-01,10.534229
2017-06-02,10.360715
2017-06-03,10.165932
2017-06-04,9.950809
2017-06-05,9.712947
2017-06-06,9.448837
2017-06-07,9.155686
2017-06-08,8.831472
2017-06-09,8.475432
2017-06-10,8.087409
2017-06-11,7.6662526
2017-06-12,7.2125764
2017-06-13,6.729749
2017-06-14,6.223349
2017-06-15,5.701132
2017-06-16,5.1722775
2017-06-17,4.6463933
2017-06-18,4.1330543
2017-06-19,3.6409955
2017-06-20,3.1774058
2017-06-21,2.7478883
2017-06-22,2.3562992
2017-06-23,2.0046198
2017-06-24,1.6930827
2017-06-25,1.4204051
2017-06-26,1.1842794
2017-06-27,0.9818406
2017-06-28,0.809798
2017-06-29,0.6644739
2017-06-30,0.5421654
