id,settings 1
2017_s1_SOSD,17105.943
2017_s1_SOSV,5.9570475
2017_s1_LSLOPE,0.1668859
2017_s1_EOSD,17241.434
2017_s1_EOSV,5.9570475
2017_s1_RSLOPE,0.16418704
2017_s1_LENGTH,135.49054
2017_s1_MINV,0.0
2017_s1_MAXD,17169.0
2017_s1_MAXV,14.892618
2017_s1_AMPL,14.892618
2017_s1_TPROD,1558.7257
2017_s1_SPROD,1558.7257
2017_s2_SOSD,
2017_s2_SOSV,
2017_s2_LSLOPE,
2017_s2_EOSD,
2017_s2_EOSV,
2017_s2_RSLOPE,
2017_s2_LENGTH,
2017_s2_MINV,
2017_s2_MAXD,
2017_s2_MAXV,
2017_s2_AMPL,
2017_s2_TPROD,
2017_s2_SPROD,
2018_s1_SOSD,18101.35
2018_s1_SOSV,7.7876687
2018_s1_LSLOPE,0.30029067
2018_s1_EOSD,18264.324
2018_s1_EOSV,8.168208
2018_s1_RSLOPE,0.1192579
2018_s1_LENGTH,162.97441
2018_s1_MINV,0.5290139
2018_s1_MAXD,18156.0
2018_s1_MAXV,19.151325
2018_s1_AMPL,18.622313
2018_s1_TPROD,2420.9495
2018_s1_SPROD,2333.662
2018_s2_SOSD,
2018_s2_SOSV,
2018_s2_LSLOPE,
2018_s2_EOSD,
2018_s2_EOSV,
2018_s2_RSLOPE,
2018_s2_LENGTH,
2018_s2_MINV,
2018_s2_MAXD,
2018_s2_MAXV,
2018_s2_AMPL,
2018_s2_TPROD,
2018_s2_SPROD,
2019_s1_SOSD,19115.012
2019_s1_SOSV,6.947017
2019_s1_LSLOPE,0.20680495
2019_s1_EOSD,19279.238
2019_s1_EOSV,6.7450533
2019_s1_RSLOPE,0.13368705
2019_s1_LENGTH,164.22829
2019_s1_MINV,0.6778272
2019_s1_MAXD,19176.0
2019_s1_MAXV,16.098347
2019_s1_AMPL,15.42052
2019_s1_TPROD,2094.6475
2019_s1_SPROD,1982.128
2019_s2_SOSD,
2019_s2_SOSV,
2019_s2_LSLOPE,
2019_s2_EOSD,
2019_s2_EOSV,
2019_s2_RSLOPE,
2019_s2_LENGTH,
2019_s2_MINV,
2019_s2_MAXD,
2019_s2_MAXV,
2019_s2_AMPL,
2019_s2_TPROD,
2019_s2_SPROD,
2020_s1_SOSD,20100.686
2020_s1_SOSV,6.5349164
2020_s1_LSLOPE,0.21573904
2020_s1_EOSD,20265.16
2020_s1_EOSV,6.631603
2020_s1_RSLOPE,0.09112209
2020_s1_LENGTH,164.47343
2020_s1_MINV,0.360199
2020_s1_MAXD,20172.0
2020_s1_MAXV,15.9178505
2020_s1_AMPL,15.5576515
2020_s1_TPROD,1972.9176
2020_s1_SPROD,1912.7644
2020_s2_SOSD,
2020_s2_SOSV,
2020_s2_LSLOPE,
2020_s2_EOSD,
2020_s2_EOSV,
2020_s2_RSLOPE,
2020_s2_LENGTH,
2020_s2_MINV,
2020_s2_MAXD,
2020_s2_MAXV,
2020_s2_AMPL,
2020_s2_TPROD,
2020_s2_SPROD,
2021_s1_SOSD,21125.855
2021_s1_SOSV,6.590034
2021_s1_LSLOPE,0.24717605
2021_s1_EOSD,21279.523
2021_s1_EOSV,6.6511393
2021_s1_RSLOPE,0.119649164
2021_s1_LENGTH,153.66864
2021_s1_MINV,0.49169198
2021_s1_MAXD,21170.0
2021_s1_MAXV,15.813929
2021_s1_AMPL,15.322237
2021_s1_TPROD,1874.056
2021_s1_SPROD,1797.352
2021_s2_SOSD,
2021_s2_SOSV,
2021_s2_LSLOPE,
2021_s2_EOSD,
2021_s2_EOSV,
2021_s2_RSLOPE,
2021_s2_LENGTH,
2021_s2_MINV,
2021_s2_MAXD,
2021_s2_MAXV,
2021_s2_AMPL,
2021_s2_TPROD,
2021_s2_SPROD,
2022_s1_SOSD,22107.268
2022_s1_SOSV,6.722138
2022_s1_LSLOPE,0.25088665
2022_s1_EOSD,22278.332
2022_s1_EOSV,6.5624743
2022_s1_RSLOPE,0.095154755
2022_s1_LENGTH,171.06493
2022_s1_MINV,0.37711555
2022_s1_MAXD,22161.0
2022_s1_MAXV,16.040092
2022_s1_AMPL,15.662976
2022_s1_TPROD,2055.0317
2022_s1_SPROD,1989.7909
2022_s2_SOSD,
2022_s2_SOSV,
2022_s2_LSLOPE,
2022_s2_EOSD,
2022_s2_EOSV,
2022_s2_RSLOPE,
2022_s2_LENGTH,
2022_s2_MINV,
2022_s2_MAXD,
2022_s2_MAXV,
2022_s2_AMPL,
2022_s2_TPROD,
2022_s2_SPROD,
2023_s1_SOSD,23116.406
2023_s1_SOSV,5.651506
2023_s1_LSLOPE,0.21576527
2023_s1_EOSD,23281.121
2023_s1_EOSV,5.580982
2023_s1_RSLOPE,0.08321244
2023_s1_LENGTH,164.7153
2023_s1_MINV,0.32960346
2023_s1_MAXD,23166.0
2023_s1_MAXV,13.546205
2023_s1_AMPL,13.216601
2023_s1_TPROD,1666.3245
2023_s1_SPROD,1611.2806
2023_s2_SOSD,
2023_s2_SOSV,
2023_s2_LSLOPE,
2023_s2_EOSD,
2023_s2_EOSV,
2023_s2_RSLOPE,
2023_s2_LENGTH,
2023_s2_MINV,
2023_s2_MAXD,
2023_s2_MAXV,
2023_s2_AMPL,
2023_s2_TPROD,
2023_s2_SPROD,
