Date,settings 1
2017-01-01,0.732519
2017-01-02,0.7469374
2017-01-03,0.7609388
2017-01-04,0.77449125
2017-01-05,0.7875608
2017-01-06,0.8001089
2017-01-07,0.81211454
2017-01-08,0.8236317
2017-01-09,0.83472943
2017-01-10,0.84546167
2017-01-11,0.8558764
2017-01-12,0.86601657
2017-01-13,0.8759238
2017-01-14,0.88563967
2017-01-15,0.8952057
2017-01-16,0.90466195
2017-01-17,0.9140476
2017-01-18,0.92340136
2017-01-19,0.93276185
2017-01-20,0.94216794
2017-01-21,0.95165825
2017-01-22,0.96127
2017-01-23,0.97103375
2017-01-24,0.9809785
2017-01-25,0.99113196
2017-01-26,1.0015203
2017-01-27,1.0121696
2017-01-28,1.0231056
2017-01-29,1.0343544
2017-01-30,1.045942
2017-01-31,1.0578942
2017-02-01,1.070237
2017-02-02,1.0829964
2017-02-03,1.0961978
2017-02-04,1.1098642
2017-02-05,1.1240104
2017-02-06,1.138649
2017-02-07,1.1537904
2017-02-08,1.1694436
2017-02-09,1.1856157
2017-02-10,1.2023134
2017-02-11,1.2195415
2017-02-12,1.2373033
2017-02-13,1.2555991
2017-02-14,1.2744268
2017-02-15,1.2937754
2017-02-16,1.313636
2017-02-17,1.3340292
2017-02-18,1.3549775
2017-02-19,1.3765086
2017-02-20,1.3986679
2017-02-21,1.4214733
2017-02-22,1.444933
2017-02-23,1.4690547
2017-02-24,1.4938434
2017-02-25,1.5193012
2017-02-26,1.5454217
2017-02-27,1.5721906
2017-02-28,1.5995907
2017-03-01,1.6276032
2017-03-02,1.6562093
2017-03-03,1.6854355
2017-03-04,1.715489
2017-03-05,1.7466197
2017-03-06,1.7790596
2017-03-07,1.8130114
2017-03-08,1.8486689
2017-03-09,1.8862196
2017-03-10,1.9258486
2017-03-11,1.9677386
2017-03-12,2.0120702
2017-03-13,2.0590203
2017-03-14,2.1087637
2017-03-15,2.1614711
2017-03-16,2.2173114
2017-03-17,2.2764497
2017-03-18,2.3390486
2017-03-19,2.4052682
2017-03-20,2.4752645
2017-03-21,2.5491924
2017-03-22,2.6272023
2017-03-23,2.709424
2017-03-24,2.7959557
2017-03-25,2.8868861
2017-03-26,2.9823003
2017-03-27,3.0822716
2017-03-28,3.1868618
2017-03-29,3.2961152
2017-03-30,3.4100478
2017-03-31,3.5286138
2017-04-01,3.651742
2017-04-02,3.7793539
2017-04-03,3.9113681
2017-04-04,4.047697
2017-04-05,4.1882377
2017-04-06,4.3328724
2017-04-07,4.4814687
2017-04-08,4.6338744
2017-04-09,4.7899246
2017-04-10,4.9494414
2017-04-11,5.1122365
2017-04-12,5.2781067
2017-04-13,5.4468117
2017-04-14,5.618058
2017-04-15,5.7915387
2017-04-16,5.96694
2017-04-17,6.1439414
2017-04-18,6.322217
2017-04-19,6.5014367
2017-04-20,6.6813354
2017-04-21,6.861746
2017-04-22,7.042523
2017-04-23,7.2235265
2017-04-24,7.4046392
2017-04-25,7.585838
2017-04-26,7.7671227
2017-04-27,7.948498
2017-04-28,8.130003
2017-04-29,8.311726
2017-04-30,8.493744
2017-05-01,8.676122
2017-05-02,8.85892
2017-05-03,9.042191
2017-05-04,9.225975
2017-05-05,9.410305
2017-05-06,9.595192
2017-05-07,9.780602
2017-05-08,9.966483
2017-05-09,10.152778
2017-05-10,10.339408
2017-05-11,10.526231
2017-05-12,10.713086
2017-05-13,10.899808
2017-05-14,11.086211
2017-05-15,11.272046
2017-05-16,11.457038
2017-05-17,11.640911
2017-05-18,11.823341
2017-05-19,12.003974
2017-05-20,12.182438
2017-05-21,12.358355
2017-05-22,12.531342
2017-05-23,12.700995
2017-05-24,12.866901
2017-05-25,13.028656
2017-05-26,13.185843
2017-05-27,13.338047
2017-05-28,13.484831
2017-05-29,13.6257
2017-05-30,13.760165
2017-05-31,13.887757
2017-06-01,14.008034
2017-06-02,14.120661
2017-06-03,14.225329
2017-06-04,14.321725
2017-06-05,14.409584
2017-06-06,14.488956
2017-06-07,14.560173
2017-06-08,14.623593
2017-06-09,14.679556
2017-06-10,14.728386
2017-06-11,14.770397
2017-06-12,14.805877
2017-06-13,14.835089
2017-06-14,14.8582325
2017-06-15,14.87544
2017-06-16,14.886828
2017-06-17,14.892515
2017-06-18,14.892618
2017-06-19,14.887256
2017-06-20,14.876545
2017-06-21,14.860601
2017-06-22,14.839536
2017-06-23,14.813446
2017-06-24,14.782419
2017-06-25,14.746543
2017-06-26,14.705904
2017-06-27,14.660587
2017-06-28,14.610682
2017-06-29,14.5562725
2017-06-30,14.497445
2017-07-01,14.434288
2017-07-02,14.366887
2017-07-03,14.295328
2017-07-04,14.219698
2017-07-05,14.140084
2017-07-06,14.056572
2017-07-07,13.969249
2017-07-08,13.8782
2017-07-09,13.783513
2017-07-10,13.685274
2017-07-11,13.5835705
2017-07-12,13.478487
2017-07-13,13.370112
2017-07-14,13.258531
2017-07-15,13.14383
2017-07-16,13.026097
2017-07-17,12.905418
2017-07-18,12.781879
2017-07-19,12.655567
2017-07-20,12.526568
2017-07-21,12.394969
2017-07-22,12.260856
2017-07-23,12.124316
2017-07-24,11.9854355
2017-07-25,11.844301
2017-07-26,11.700999
2017-07-27,11.555616
2017-07-28,11.408238
2017-07-29,11.258952
2017-07-30,11.107841
2017-07-31,10.954962
2017-08-01,10.800369
2017-08-02,10.644111
2017-08-03,10.486231
2017-08-04,10.326772
2017-08-05,10.16577
2017-08-06,10.003232
2017-08-07,9.839137
2017-08-08,9.673573
2017-08-09,9.506647
2017-08-10,9.338463
2017-08-11,9.169117
2017-08-12,8.998706
2017-08-13,8.827326
2017-08-14,8.655073
2017-08-15,8.482045
2017-08-16,8.308338
2017-08-17,8.1340475
