Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,0.10532022
2017-01-02,0.1040748
2017-01-03,0.10288702
2017-01-04,0.10179282
2017-01-05,0.10082812
2017-01-06,0.10002885
2017-01-07,0.099430926
2017-01-08,0.09907028
2017-01-09,0.098982826
2017-01-10,0.0992045
2017-01-11,0.099771224
2017-01-12,0.10071891
2017-01-13,0.1020835
2017-01-14,0.1039009
2017-01-15,0.10620705
2017-01-16,0.1090281
2017-01-17,0.11234491
2017-01-18,0.1161037
2017-01-19,0.12024443
2017-01-20,0.124707095
2017-01-21,0.12943168
2017-01-22,0.13435817
2017-01-23,0.13942653
2017-01-24,0.14457676
2017-01-25,0.14974883
2017-01-26,0.15488274
2017-01-27,0.15991846
2017-01-28,0.16479596
2017-01-29,0.16945526
2017-01-30,0.1738363
2017-01-31,0.1778791
2017-02-01,0.1815236
2017-02-02,0.18470983
2017-02-03,0.18742876
2017-02-04,0.18987542
2017-02-05,0.19229591
2017-02-06,0.19490907
2017-02-07,0.19782512
2017-02-08,0.20112708
2017-02-09,0.204898
2017-02-10,0.20922087
2017-02-11,0.21417874
2017-02-12,0.21985464
2017-02-13,0.22633159
2017-02-14,0.23369262
2017-02-15,0.24198464
2017-02-16,0.2510737
2017-02-17,0.26060736
2017-02-18,0.2700491
2017-02-19,0.2788184
2017-02-20,0.28635824
2017-02-21,0.29236618
2017-02-22,0.29686365
2017-02-23,0.300095
2017-02-24,0.30232054
2017-02-25,0.30369982
2017-02-26,0.30436715
2017-02-27,0.3044293
2017-02-28,0.30389887
2017-03-01,0.3028543
2017-03-02,0.30153093
2017-03-03,0.30032253
2017-03-04,0.29975757
2017-03-05,0.30029634
2017-03-06,0.3021756
2017-03-07,0.30540207
2017-03-08,0.3099349
2017-03-09,0.3157334
2017-03-10,0.32275677
2017-03-11,0.33096424
2017-03-12,0.34029147
2017-03-13,0.3505769
2017-03-14,0.36166415
2017-03-15,0.37359068
2017-03-16,0.3865833
2017-03-17,0.40091422
2017-03-18,0.41674173
2017-03-19,0.43393177
2017-03-20,0.4520464
2017-03-21,0.47049406
2017-03-22,0.48872718
2017-03-23,0.5063249
2017-03-24,0.522952
2017-03-25,0.5385344
2017-03-26,0.5531941
2017-03-27,0.5671394
2017-03-28,0.5807844
2017-03-29,0.594589
2017-03-30,0.6089815
2017-03-31,0.62434995
2017-04-01,0.6410513
2017-04-02,0.659352
2017-04-03,0.6794958
2017-04-04,0.7016927
2017-04-05,0.72598875
2017-04-06,0.75224614
2017-04-07,0.780051
2017-04-08,0.80855805
2017-04-09,0.8367425
2017-04-10,0.86323637
2017-04-11,0.88657266
2017-04-12,0.905614
2017-04-13,0.91984296
2017-04-14,0.92952067
2017-04-15,0.93557405
2017-04-16,0.93949455
2017-04-17,0.94322366
2017-04-18,0.9490148
2017-04-19,0.9591931
2017-04-20,0.9761578
2017-04-21,1.0021683
2017-04-22,1.0394647
2017-04-23,1.0901878
2017-04-24,1.1560286
2017-04-25,1.2388161
2017-04-26,1.3408488
2017-04-27,1.4645753
2017-04-28,1.6124351
2017-04-29,1.7866042
2017-04-30,1.9887514
2017-05-01,2.2200816
2017-05-02,2.4814382
2017-05-03,2.7730985
2017-05-04,3.09541
2017-05-05,3.4487684
2017-05-06,3.8339005
2017-05-07,4.2521944
2017-05-08,4.7043166
2017-05-09,5.1885242
2017-05-10,5.699936
2017-05-11,6.2316275
2017-05-12,6.775
2017-05-13,7.3197837
2017-05-14,7.856513
2017-05-15,8.377392
2017-05-16,8.87615
2017-05-17,9.348629
2017-05-18,9.792391
2017-05-19,10.205973
2017-05-20,10.587718
2017-05-21,10.934099
2017-05-22,11.241578
2017-05-23,11.507555
2017-05-24,11.729617
2017-05-25,11.905473
2017-05-26,12.033596
2017-05-27,12.113918
2017-05-28,12.147886
2017-05-29,12.138007
2017-05-30,12.087826
2017-05-31,12.002368
2017-06-01,11.888951
2017-06-02,11.756356
2017-06-03,11.6176
2017-06-04,11.48859
2017-06-05,11.385534
2017-06-06,11.323264
2017-06-07,11.313236
2017-06-08,11.36077
2017-06-09,11.465593
2017-06-10,11.62281
2017-06-11,11.823041
2017-06-12,12.0556755
2017-06-13,12.310514
2017-06-14,12.577946
2017-06-15,12.850222
2017-06-16,13.121091
2017-06-17,13.384698
2017-06-18,13.637094
2017-06-19,13.875231
2017-06-20,14.097468
2017-06-21,14.301606
2017-06-22,14.484743
2017-06-23,14.644614
2017-06-24,14.778936
2017-06-25,14.887437
2017-06-26,14.971878
2017-06-27,15.033812
2017-06-28,15.075716
2017-06-29,15.100446
2017-06-30,15.11104
2017-07-01,15.110881
2017-07-02,15.10355
2017-07-03,15.088357
2017-07-04,15.061396
2017-07-05,15.020043
2017-07-06,14.963916
2017-07-07,14.893109
2017-07-08,14.806961
2017-07-09,14.704733
2017-07-10,14.586839
2017-07-11,14.454786
2017-07-12,14.310666
2017-07-13,14.15748
2017-07-14,13.996827
2017-07-15,13.829763
2017-07-16,13.657237
2017-07-17,13.481528
2017-07-18,13.306007
2017-07-19,13.134621
2017-07-20,12.971041
2017-07-21,12.8174715
2017-07-22,12.674534
2017-07-23,12.542728
2017-07-24,12.423755
2017-07-25,12.319475
2017-07-26,12.228786
2017-07-27,12.1498
2017-07-28,12.079939
2017-07-29,12.014144
2017-07-30,11.948008
2017-07-31,11.878229
2017-08-01,11.802002
2017-08-02,11.716718
2017-08-03,11.620437
2017-08-04,11.514285
2017-08-05,11.40117
2017-08-06,11.2857275
2017-08-07,11.173543
2017-08-08,11.0710125
2017-08-09,10.98314
2017-08-10,10.912655
2017-08-11,10.859426
2017-08-12,10.8171215
2017-08-13,10.77784
2017-08-14,10.733487
2017-08-15,10.677087
2017-08-16,10.60477
2017-08-17,10.515014
2017-08-18,10.408787
2017-08-19,10.288466
2017-08-20,10.155425
2017-08-21,10.012119
2017-08-22,9.862375
2017-08-23,9.710181
2017-08-24,9.558776
2017-08-25,9.410626
2017-08-26,9.268185
2017-08-27,9.133592
2017-08-28,9.008748
2017-08-29,8.894964
2017-08-30,8.7929735
2017-08-31,8.702483
2017-09-01,8.621547
2017-09-02,8.546438
2017-09-03,8.474196
2017-09-04,8.401942
2017-09-05,8.328061
2017-09-06,8.252099
2017-09-07,8.174532
2017-09-08,8.096144
2017-09-09,8.018889
2017-09-10,7.9448786
2017-09-11,7.8747783
2017-09-12,7.808796
2017-09-13,7.746861
2017-09-14,7.688825
2017-09-15,7.633367
2017-09-16,7.578082
2017-09-17,7.5213757
2017-09-18,7.4628034
2017-09-19,7.4025464
2017-09-20,7.340714
2017-09-21,7.2773695
2017-09-22,7.212575
2017-09-23,7.146394
2017-09-24,7.078601
2017-09-25,7.007829
2017-09-26,6.932476
2017-09-27,6.850927
2017-09-28,6.7615266
2017-09-29,6.6629663
2017-09-30,6.554792
2017-10-01,6.437616
2017-10-02,6.311992
2017-10-03,6.179595
2017-10-04,6.0413866
2017-10-05,5.8985243
2017-10-06,5.752121
2017-10-07,5.602086
2017-10-08,5.4473677
2017-10-09,5.2869387
2017-10-10,5.1193256
2017-10-11,4.943157
2017-10-12,4.7563863
2017-10-13,4.5571494
2017-10-14,4.344114
2017-10-15,4.117475
2017-10-16,3.8790689
2017-10-17,3.6318421
2017-10-18,3.3791723
2017-10-19,3.1248085
2017-10-20,2.8728135
2017-10-21,2.627061
2017-10-22,2.3905098
2017-10-23,2.1649294
2017-10-24,1.9509997
2017-10-25,1.7484518
2017-10-26,1.5566281
2017-10-27,1.3749813
2017-10-28,1.2034127
2017-10-29,1.04219
2017-10-30,0.8918399
2017-10-31,0.752855
2017-11-01,0.6257082
2017-11-02,0.5107728
2017-11-03,0.40817928
2017-11-04,0.31769666
2017-11-05,0.23873769
2017-11-06,0.17043968
2017-11-07,0.11182029
2017-11-08,0.061923705
2017-11-09,0.02000067
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,0.006944752
2017-11-29,0.015264185
2017-11-30,0.023014396
2017-12-01,0.030234521
2017-12-02,0.036963694
2017-12-03,0.04324105
2017-12-04,0.049105722
2017-12-05,0.054596845
2017-12-06,0.059747003
2017-12-07,0.06456258
2017-12-08,0.06904671
2017-12-09,0.073215954
2017-12-10,0.077091284
2017-12-11,0.080686346
2017-12-12,0.08397741
2017-12-13,0.08690564
2017-12-14,0.08940794
2017-12-15,0.09143172
2017-12-16,0.092926994
2017-12-17,0.09384378
2017-12-18,0.09414947
2017-12-19,0.09388087
2017-12-20,0.09309215
2017-12-21,0.09183749
2017-12-22,0.09017105
2017-12-23,0.088147
2017-12-24,0.08581951
2017-12-25,0.08324276
2017-12-26,0.08047091
2017-12-27,0.07755814
2017-12-28,0.07455861
2017-12-29,0.0715265
2017-12-30,0.068515964
2017-12-31,0.065581195
2018-01-01,0.06277635
2018-01-02,0.060155597
2018-01-03,0.057773113
2018-01-04,0.055683065
2018-01-05,0.053933837
2018-01-06,0.05255066
2018-01-07,0.051552966
2018-01-08,0.0509602
2018-01-09,0.050791804
2018-01-10,0.051067214
2018-01-11,0.051805876
2018-01-12,0.053027228
2018-01-13,0.054750703
2018-01-14,0.056995753
2018-01-15,0.05977711
2018-01-16,0.06309073
2018-01-17,0.06692193
2018-01-18,0.0712324
2018-01-19,0.07597793
2018-01-20,0.081114285
2018-01-21,0.08659726
2018-01-22,0.09238261
2018-01-23,0.09842612
2018-01-24,0.10467721
2018-01-25,0.11105982
2018-01-26,0.11749153
2018-01-27,0.12388357
2018-01-28,0.13010511
2018-01-29,0.1359522
2018-01-30,0.14119788
2018-01-31,0.14561889
2018-02-01,0.14910349
2018-02-02,0.15160103
2018-02-03,0.15318751
2018-02-04,0.15395293
2018-02-05,0.15391679
2018-02-06,0.153081
2018-02-07,0.15143797
2018-02-08,0.14895439
2018-02-09,0.14565381
2018-02-10,0.14164338
2018-02-11,0.13705437
2018-02-12,0.13202083
2018-02-13,0.1266736
2018-02-14,0.121129066
2018-02-15,0.11550012
2018-02-16,0.109899625
2018-02-17,0.10443424
2018-02-18,0.09918578
2018-02-19,0.0942299
2018-02-20,0.08963065
2018-02-21,0.08540585
2018-02-22,0.08156173
2018-02-23,0.07810455
2018-02-24,0.075040534
2018-02-25,0.072375946
2018-02-26,0.07011701
2018-02-27,0.06826999
2018-02-28,0.06684112
2018-03-01,0.06583663
2018-03-02,0.06526279
2018-03-03,0.065125816
2018-03-04,0.065431975
2018-03-05,0.06618749
2018-03-06,0.06739862
2018-03-07,0.06907161
2018-03-08,0.07120993
2018-03-09,0.07381416
2018-03-10,0.07691191
2018-03-11,0.08051911
2018-03-12,0.08461363
2018-03-13,0.089164525
2018-03-14,0.09414085
2018-03-15,0.09954007
2018-03-16,0.10546845
2018-03-17,0.112061605
2018-03-18,0.11952436
2018-03-19,0.12805368
2018-03-20,0.1378395
2018-03-21,0.14907496
2018-03-22,0.16195653
2018-03-23,0.17664532
2018-03-24,0.1932748
2018-03-25,0.21191913
2018-03-26,0.23268387
2018-03-27,0.2556869
2018-03-28,0.28104612
2018-03-29,0.3088794
2018-03-30,0.33930463
2018-03-31,0.37241164
2018-04-01,0.40817815
2018-04-02,0.44664666
2018-04-03,0.48844364
2018-04-04,0.535316
2018-04-05,0.5899635
2018-04-06,0.6553668
2018-04-07,0.73448485
2018-04-08,0.8302353
2018-04-09,0.94548446
2018-04-10,1.08343
2018-04-11,1.247718
2018-04-12,1.4419212
2018-04-13,1.6693918
2018-04-14,1.9330181
2018-04-15,2.234845
2018-04-16,2.5757167
2018-04-17,2.9550066
2018-04-18,3.3704107
2018-04-19,3.8177197
2018-04-20,4.2906857
2018-04-21,4.7815175
2018-04-22,5.281913
2018-04-23,5.7842793
2018-04-24,6.2821293
2018-04-25,6.7691765
2018-04-26,7.2391253
2018-04-27,7.685973
2018-04-28,8.105487
2018-04-29,8.49658
2018-04-30,8.86057
2018-05-01,9.199161
2018-05-02,9.514037
2018-05-03,9.8065
2018-05-04,10.076402
2018-05-05,10.323819
2018-05-06,10.55016
2018-05-07,10.757817
2018-05-08,10.949606
2018-05-09,11.129068
2018-05-10,11.30117
2018-05-11,11.471987
2018-05-12,11.646481
2018-05-13,11.831514
2018-05-14,12.034614
2018-05-15,12.257899
2018-05-16,12.4999075
2018-05-17,12.759993
2018-05-18,13.03698
2018-05-19,13.328886
2018-05-20,13.634745
2018-05-21,13.954005
2018-05-22,14.283198
2018-05-23,14.616965
2018-05-24,14.94965
2018-05-25,15.275268
2018-05-26,15.586846
2018-05-27,15.878648
2018-05-28,16.146465
2018-05-29,16.387226
2018-05-30,16.596794
2018-05-31,16.77153
2018-06-01,16.9085
2018-06-02,17.005997
2018-06-03,17.063963
2018-06-04,17.084135
2018-06-05,17.069794
2018-06-06,17.025166
2018-06-07,16.955929
2018-06-08,16.868412
2018-06-09,16.768288
2018-06-10,16.662733
2018-06-11,16.557108
2018-06-12,16.456497
2018-06-13,16.363316
2018-06-14,16.276169
2018-06-15,16.190815
2018-06-16,16.102678
2018-06-17,16.00758
2018-06-18,15.903445
2018-06-19,15.789935
2018-06-20,15.668677
2018-06-21,15.541739
2018-06-22,15.411149
2018-06-23,15.278429
2018-06-24,15.14391
2018-06-25,15.00827
2018-06-26,14.8719
2018-06-27,14.735912
2018-06-28,14.60309
2018-06-29,14.477165
2018-06-30,14.361843
2018-07-01,14.260686
2018-07-02,14.176343
2018-07-03,14.110217
2018-07-04,14.061721
2018-07-05,14.027863
2018-07-06,14.003622
2018-07-07,13.983154
2018-07-08,13.958899
2018-07-09,13.923025
2018-07-10,13.868897
2018-07-11,13.791145
2018-07-12,13.685855
2018-07-13,13.550573
2018-07-14,13.384133
2018-07-15,13.185841
2018-07-16,12.955283
2018-07-17,12.692618
2018-07-18,12.399648
2018-07-19,12.078834
2018-07-20,11.733477
2018-07-21,11.367118
2018-07-22,10.984114
2018-07-23,10.590857
2018-07-24,10.196428
2018-07-25,9.811336
2018-07-26,9.444899
2018-07-27,9.103371
2018-07-28,8.789135
2018-07-29,8.501354
2018-07-30,8.238773
2018-07-31,8.001063
2018-08-01,7.788337
2018-08-02,7.600945
2018-08-03,7.4392796
2018-08-04,7.303273
2018-08-05,7.1916795
2018-08-06,7.101848
2018-08-07,7.030191
2018-08-08,6.972058
2018-08-09,6.922029
2018-08-10,6.8754287
2018-08-11,6.82849
2018-08-12,6.7790785
2018-08-13,6.726562
2018-08-14,6.670475
2018-08-15,6.610807
2018-08-16,6.549743
2018-08-17,6.491467
2018-08-18,6.440817
2018-08-19,6.4028163
2018-08-20,6.382253
2018-08-21,6.3828416
2018-08-22,6.4074893
2018-08-23,6.45772
2018-08-24,6.5330443
2018-08-25,6.631291
2018-08-26,6.7486424
2018-08-27,6.8808064
2018-08-28,7.0243134
2018-08-29,7.1760664
2018-08-30,7.333509
2018-08-31,7.494267
2018-09-01,7.6555986
2018-09-02,7.813661
2018-09-03,7.964223
2018-09-04,8.102126
2018-09-05,8.22114
2018-09-06,8.314955
2018-09-07,8.377172
2018-09-08,8.401683
2018-09-09,8.383372
2018-09-10,8.319878
2018-09-11,8.212318
2018-09-12,8.065255
2018-09-13,7.885907
2018-09-14,7.681963
2018-09-15,7.4590197
2018-09-16,7.2222757
2018-09-17,6.977566
2018-09-18,6.730751
2018-09-19,6.487157
2018-09-20,6.2517776
2018-09-21,6.0287423
2018-09-22,5.821563
2018-09-23,5.63323
2018-09-24,5.4660425
2018-09-25,5.319175
2018-09-26,5.1888013
2018-09-27,5.0694976
2018-09-28,4.955221
2018-09-29,4.83987
2018-09-30,4.7177114
2018-10-01,4.5841236
2018-10-02,4.4361877
2018-10-03,4.272484
2018-10-04,4.092881
2018-10-05,3.898893
2018-10-06,3.69459
2018-10-07,3.4855635
2018-10-08,3.277283
2018-10-09,3.0740104
2018-10-10,2.878518
2018-10-11,2.6924028
2018-10-12,2.5164917
2018-10-13,2.3508353
2018-10-14,2.1950653
2018-10-15,2.0489306
2018-10-16,1.9125108
2018-10-17,1.7858639
2018-10-18,1.669022
2018-10-19,1.5620421
2018-10-20,1.4649434
2018-10-21,1.3776188
