Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2018-01-01,0.6830142
2018-01-02,0.7031453
2018-01-03,0.7246484
2018-01-04,0.74734026
2018-01-05,0.7709816
2018-01-06,0.7953595
2018-01-07,0.82032627
2018-01-08,0.8454806
2018-01-09,0.87035125
2018-01-10,0.8946371
2018-01-11,0.9184113
2018-01-12,0.94199544
2018-01-13,0.9657286
2018-01-14,0.9899512
2018-01-15,1.0149393
2018-01-16,1.0409062
2018-01-17,1.0682181
2018-01-18,1.097093
2018-01-19,1.1277549
2018-01-20,1.1605446
2018-01-21,1.1957313
2018-01-22,1.233215
2018-01-23,1.272448
2018-01-24,1.3127447
2018-01-25,1.3535784
2018-01-26,1.3950516
2018-01-27,1.4373853
2018-01-28,1.4806395
2018-01-29,1.525003
2018-01-30,1.570934
2018-01-31,1.6188211
2018-02-01,1.6685823
2018-02-02,1.7201356
2018-02-03,1.7734153
2018-02-04,1.8287184
2018-02-05,1.8864858
2018-02-06,1.9468114
2018-02-07,2.0088995
2018-02-08,2.0716057
2018-02-09,2.1336281
2018-02-10,2.1933038
2018-02-11,2.2490792
2018-02-12,2.2996652
2018-02-13,2.3435814
2018-02-14,2.3796737
2018-02-15,2.406845
2018-02-16,2.4238634
2018-02-17,2.4301958
2018-02-18,2.4264402
2018-02-19,2.4140878
2018-02-20,2.3954656
2018-02-21,2.3727276
2018-02-22,2.3473852
2018-02-23,2.3208816
2018-02-24,2.2943938
2018-02-25,2.2689297
2018-02-26,2.2456994
2018-02-27,2.2262673
2018-02-28,2.2124722
2018-03-01,2.2063446
2018-03-02,2.209786
2018-03-03,2.2239623
2018-03-04,2.2494748
2018-03-05,2.2862475
2018-03-06,2.3333745
2018-03-07,2.389851
2018-03-08,2.4558086
2018-03-09,2.532385
2018-03-10,2.6208117
2018-03-11,2.7217064
2018-03-12,2.834494
2018-03-13,2.9575348
2018-03-14,3.0888255
2018-03-15,3.2272363
2018-03-16,3.3729239
2018-03-17,3.5266693
2018-03-18,3.6886923
2018-03-19,3.85874
2018-03-20,4.036673
2018-03-21,4.2217283
2018-03-22,4.4118137
2018-03-23,4.6054783
2018-03-24,4.8024936
2018-03-25,5.003409
2018-03-26,5.2084217
2018-03-27,5.4172316
2018-03-28,5.628129
2018-03-29,5.8381033
2018-03-30,6.0450644
2018-03-31,6.247717
2018-04-01,6.4453125
2018-04-02,6.6371636
2018-04-03,6.8240647
2018-04-04,7.0069304
2018-04-05,7.1873083
2018-04-06,7.36771
2018-04-07,7.5504856
2018-04-08,7.737889
2018-04-09,7.931386
2018-04-10,8.129503
2018-04-11,8.330865
2018-04-12,8.534046
2018-04-13,8.735402
2018-04-14,8.92988
2018-04-15,9.111959
2018-04-16,9.276804
2018-04-17,9.421562
2018-04-18,9.543453
2018-04-19,9.642112
2018-04-20,9.719422
2018-04-21,9.778197
2018-04-22,9.821007
2018-04-23,9.85061
2018-04-24,9.870984
2018-04-25,9.887391
2018-04-26,9.906206
2018-04-27,9.931246
2018-04-28,9.965578
2018-04-29,10.011929
2018-04-30,10.070925
2018-05-01,10.139991
2018-05-02,10.216107
2018-05-03,10.297802
2018-05-04,10.38572
2018-05-05,10.477776
2018-05-06,10.567179
2018-05-07,10.647548
2018-05-08,10.717014
2018-05-09,10.777799
2018-05-10,10.831348
2018-05-11,10.8790865
2018-05-12,10.924885
2018-05-13,10.974856
2018-05-14,11.0321455
2018-05-15,11.098968
2018-05-16,11.174569
2018-05-17,11.252439
2018-05-18,11.324733
2018-05-19,11.383642
2018-05-20,11.421876
2018-05-21,11.4343195
2018-05-22,11.418748
2018-05-23,11.3742895
2018-05-24,11.301384
2018-05-25,11.202145
2018-05-26,11.07955
2018-05-27,10.936295
2018-05-28,10.775436
2018-05-29,10.598749
2018-05-30,10.404619
2018-05-31,10.191518
2018-06-01,9.958365
2018-06-02,9.706804
2018-06-03,9.441378
2018-06-04,9.167656
2018-06-05,8.89004
2018-06-06,8.611945
2018-06-07,8.333981
2018-06-08,8.054768
2018-06-09,7.7744718
2018-06-10,7.4958515
2018-06-11,7.222534
2018-06-12,6.956271
2018-06-13,6.697782
2018-06-14,6.44702
2018-06-15,6.204191
2018-06-16,5.969921
2018-06-17,5.744461
2018-06-18,5.527464
2018-06-19,5.318075
2018-06-20,5.115106
2018-06-21,4.917241
2018-06-22,4.7230473
2018-06-23,4.5309124
2018-06-24,4.339507
2018-06-25,4.148456
2018-06-26,3.9583197
2018-06-27,3.7703314
2018-06-28,3.5859292
2018-06-29,3.4064138
2018-06-30,3.2326903
2018-07-01,3.0654564
2018-07-02,2.9055905
2018-07-03,2.7541442
2018-07-04,2.612314
2018-07-05,2.4811723
2018-07-06,2.3615348
2018-07-07,2.2539768
2018-07-08,2.1590142
2018-07-09,2.0773757
2018-07-10,2.010013
2018-07-11,1.958041
2018-07-12,1.9227144
2018-07-13,1.9053094
2018-07-14,1.9068975
2018-07-15,1.9282446
2018-07-16,1.9696162
2018-07-17,2.0305681
2018-07-18,2.1096888
2018-07-19,2.2051218
2018-07-20,2.3147314
2018-07-21,2.4363902
2018-07-22,2.5679393
2018-07-23,2.7075534
2018-07-24,2.854189
2018-07-25,3.0075865
2018-07-26,3.1679573
2018-07-27,3.3357635
2018-07-28,3.5113633
2018-07-29,3.6946793
2018-07-30,3.8846202
2018-07-31,4.0798073
2018-08-01,4.2787714
2018-08-02,4.479917
2018-08-03,4.6817036
2018-08-04,4.882604
2018-08-05,5.081176
2018-08-06,5.276376
2018-08-07,5.4678636
2018-08-08,5.656028
2018-08-09,5.840848
2018-08-10,6.021923
2018-08-11,6.1968737
2018-08-12,6.3633256
2018-08-13,6.5196905
2018-08-14,6.664421
2018-08-15,6.795027
2018-08-16,6.909065
2018-08-17,7.0053115
2018-08-18,7.0835
2018-08-19,7.143104
