Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2019-01-01,2.03193
2019-01-02,1.980065
2019-01-03,1.9267596
2019-01-04,1.8734789
2019-01-05,1.8216884
2019-01-06,1.7728535
2019-01-07,1.7284393
2019-01-08,1.6899115
2019-01-09,1.6587353
2019-01-10,1.636376
2019-01-11,1.6240833
2019-01-12,1.6220771
2019-01-13,1.6295637
2019-01-14,1.6450385
2019-01-15,1.6668233
2019-01-16,1.6931119
2019-01-17,1.7222384
2019-01-18,1.7527314
2019-01-19,1.7825375
2019-01-20,1.8094249
2019-01-21,1.8317335
2019-01-22,1.8482335
2019-01-23,1.8578916
2019-01-24,1.8603128
2019-01-25,1.8555354
2019-01-26,1.8445568
2019-01-27,1.8292459
2019-01-28,1.8114566
2019-01-29,1.7921059
2019-01-30,1.7712612
2019-01-31,1.7492902
2019-02-01,1.7266346
2019-02-02,1.7034853
2019-02-03,1.6792006
2019-02-04,1.6524755
2019-02-05,1.6216414
2019-02-06,1.5851578
2019-02-07,1.5424441
2019-02-08,1.4940168
2019-02-09,1.441289
2019-02-10,1.3866377
2019-02-11,1.3331491
2019-02-12,1.2834338
2019-02-13,1.2395775
2019-02-14,1.2032797
2019-02-15,1.1759249
2019-02-16,1.1585801
2019-02-17,1.1520287
2019-02-18,1.1567878
2019-02-19,1.1731453
2019-02-20,1.201193
2019-02-21,1.24076
2019-02-22,1.2911485
2019-02-23,1.3511875
2019-02-24,1.4194417
2019-02-25,1.4944301
2019-02-26,1.5746719
2019-02-27,1.6586859
2019-02-28,1.7449913
2019-03-01,1.8321072
2019-03-02,1.9185525
2019-03-03,2.0028465
2019-03-04,2.0835078
2019-03-05,2.1588042
2019-03-06,2.2259967
2019-03-07,2.2819364
2019-03-08,2.3228378
2019-03-09,2.3450475
2019-03-10,2.3464684
2019-03-11,2.3271592
2019-03-12,2.288999
2019-03-13,2.235589
2019-03-14,2.171937
2019-03-15,2.1028817
2019-03-16,2.0328927
2019-03-17,1.9660486
2019-03-18,1.9057719
2019-03-19,1.854692
2019-03-20,1.8146468
2019-03-21,1.7869271
2019-03-22,1.7727216
2019-03-23,1.7732191
2019-03-24,1.7896081
2019-03-25,1.8230776
2019-03-26,1.8748161
2019-03-27,1.9460123
2019-03-28,2.037782
2019-03-29,2.1509502
2019-03-30,2.2861462
2019-03-31,2.4433956
2019-04-01,2.622147
2019-04-02,2.8217344
2019-04-03,3.0414922
2019-04-04,3.2807546
2019-04-05,3.538856
2019-04-06,3.8149211
2019-04-07,4.107264
2019-04-08,4.414287
2019-04-09,4.735169
2019-04-10,5.069274
2019-04-11,5.415967
2019-04-12,5.774011
2019-04-13,6.1397605
2019-04-14,6.508966
2019-04-15,6.8769264
2019-04-16,7.2373085
2019-04-17,7.5842667
2019-04-18,7.9133697
2019-04-19,8.22158
2019-04-20,8.506876
2019-04-21,8.768501
2019-04-22,9.006646
2019-04-23,9.221923
2019-04-24,9.414826
2019-04-25,9.585799
2019-04-26,9.735289
2019-04-27,9.863285
2019-04-28,9.968243
2019-04-29,10.049033
2019-04-30,10.103973
2019-05-01,10.1316185
2019-05-02,10.132981
2019-05-03,10.112717
2019-05-04,10.0773735
2019-05-05,10.030994
2019-05-06,9.976869
2019-05-07,9.918287
2019-05-08,9.859065
2019-05-09,9.804283
2019-05-10,9.756622
2019-05-11,9.719913
2019-05-12,9.700469
2019-05-13,9.704219
2019-05-14,9.732556
2019-05-15,9.782548
2019-05-16,9.850407
2019-05-17,9.932345
2019-05-18,10.024579
2019-05-19,10.123322
2019-05-20,10.224786
2019-05-21,10.324718
2019-05-22,10.417243
2019-05-23,10.497639
2019-05-24,10.564784
2019-05-25,10.621567
2019-05-26,10.672981
2019-05-27,10.722806
2019-05-28,10.772676
2019-05-29,10.820932
2019-05-30,10.866105
2019-05-31,10.9059305
2019-06-01,10.938609
2019-06-02,10.963452
2019-06-03,10.980753
2019-06-04,10.991431
2019-06-05,10.996597
2019-06-06,10.997362
2019-06-07,10.994992
2019-06-08,10.99007
2019-06-09,10.983887
2019-06-10,10.978374
2019-06-11,10.974966
2019-06-12,10.973619
2019-06-13,10.973465
2019-06-14,10.973751
2019-06-15,10.974315
2019-06-16,10.974737
2019-06-17,10.974651
2019-06-18,10.974393
2019-06-19,10.974865
2019-06-20,10.977483
2019-06-21,10.984101
2019-06-22,10.9969015
