id,settings 1
2021_s1_SOSD,21113.37
2021_s1_SOSV,5.4831614
2021_s1_LSLOPE,0.17432858
2021_s1_EOSD,21250.457
2021_s1_EOSV,5.7814794
2021_s1_RSLOPE,0.09209507
2021_s1_LENGTH,137.08868
2021_s1_MINV,0.24859834
2021_s1_MAXD,21175.0
2021_s1_MAXV,13.707904
2021_s1_AMPL,13.459306
2021_s1_TPROD,1409.8104
2021_s1_SPROD,1375.2552
2021_s2_SOSD,
2021_s2_SOSV,
2021_s2_LSLOPE,
2021_s2_EOSD,
2021_s2_EOSV,
2021_s2_RSLOPE,
2021_s2_LENGTH,
2021_s2_MINV,
2021_s2_MAXD,
2021_s2_MAXV,
2021_s2_AMPL,
2021_s2_TPROD,
2021_s2_SPROD,
2022_s1_SOSD,22107.844
2022_s1_SOSV,5.8013425
2022_s1_LSLOPE,0.17219198
2022_s1_EOSD,22253.7
2022_s1_EOSV,5.93808
2022_s1_RSLOPE,0.09887136
2022_s1_LENGTH,145.85512
2022_s1_MINV,0.61114466
2022_s1_MAXD,22161.0
2022_s1_MAXV,13.757561
2022_s1_AMPL,13.146417
2022_s1_TPROD,1532.2218
2022_s1_SPROD,1441.7723
2022_s2_SOSD,
2022_s2_SOSV,
2022_s2_LSLOPE,
2022_s2_EOSD,
2022_s2_EOSV,
2022_s2_RSLOPE,
2022_s2_LENGTH,
2022_s2_MINV,
2022_s2_MAXD,
2022_s2_MAXV,
2022_s2_AMPL,
2022_s2_TPROD,
2022_s2_SPROD,
