Date,settings 1
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0030076408
2021-01-05,0.04166027
2021-01-06,0.08064334
2021-01-07,0.11994401
2021-01-08,0.15954947
2021-01-09,0.19944689
2021-01-10,0.23962343
2021-01-11,0.28006628
2021-01-12,0.3207626
2021-01-13,0.36169958
2021-01-14,0.40286398
2021-01-15,0.44424257
2021-01-16,0.4858272
2021-01-17,0.52760863
2021-01-18,0.569575
2021-01-19,0.6117129
2021-01-20,0.6540084
2021-01-21,0.6964471
2021-01-22,0.73901373
2021-01-23,0.7816928
2021-01-24,0.82446843
2021-01-25,0.86732453
2021-01-26,0.91024417
2021-01-27,0.95320994
2021-01-28,0.99620354
2021-01-29,1.0392059
2021-01-30,1.0821968
2021-01-31,1.125153
2021-02-01,1.1680535
2021-02-02,1.2108968
2021-02-03,1.2536982
2021-02-04,1.296531
2021-02-05,1.3394792
2021-02-06,1.382622
2021-02-07,1.4260374
2021-02-08,1.4698012
2021-02-09,1.5139848
2021-02-10,1.5586663
2021-02-11,1.6039385
2021-02-12,1.6498789
2021-02-13,1.6965564
2021-02-14,1.7440389
2021-02-15,1.7923942
2021-02-16,1.8416898
2021-02-17,1.8919913
2021-02-18,1.9433624
2021-02-19,1.9958651
2021-02-20,2.04956
2021-02-21,2.1045055
2021-02-22,2.1607585
2021-02-23,2.2183723
2021-02-24,2.2773983
2021-02-25,2.3378837
2021-02-26,2.3998597
2021-02-27,2.4633188
2021-02-28,2.52823
2021-03-01,2.5945554
2021-03-02,2.6622448
2021-03-03,2.7312198
2021-03-04,2.8013902
2021-03-05,2.8726618
2021-03-06,2.9449363
2021-03-07,3.018127
2021-03-08,3.0921478
2021-03-09,3.1669104
2021-03-10,3.2423196
2021-03-11,3.3182764
2021-03-12,3.3946757
2021-03-13,3.4714096
2021-03-14,3.5483668
2021-03-15,3.6254315
2021-03-16,3.7024894
2021-03-17,3.7794743
2021-03-18,3.85636
2021-03-19,3.93312
2021-03-20,4.0097065
2021-03-21,4.0860715
2021-03-22,4.162194
2021-03-23,4.238055
2021-03-24,4.313637
2021-03-25,4.388918
2021-03-26,4.4638786
2021-03-27,4.5384974
2021-03-28,4.61275
2021-03-29,4.6866107
2021-03-30,4.760051
2021-03-31,4.833039
2021-04-01,4.9055405
2021-04-02,4.9775186
2021-04-03,5.0489283
2021-04-04,5.119693
2021-04-05,5.1896977
2021-04-06,5.258839
2021-04-07,5.3270984
2021-04-08,5.394525
2021-04-09,5.461209
2021-04-10,5.527236
2021-04-11,5.592688
2021-04-12,5.6576424
2021-04-13,5.722169
2021-04-14,5.786324
2021-04-15,5.8501625
2021-04-16,5.9137545
2021-04-17,5.97717
2021-04-18,6.0404773
2021-04-19,6.103728
2021-04-20,6.1669564
2021-04-21,6.2301736
2021-04-22,6.293385
2021-04-23,6.356588
2021-04-24,6.4197693
2021-04-25,6.482902
2021-04-26,6.5459485
2021-04-27,6.6088643
2021-04-28,6.6716075
2021-04-29,6.734134
2021-04-30,6.7964005
2021-05-01,6.8583636
2021-05-02,6.91998
2021-05-03,6.9812064
2021-05-04,7.0419993
2021-05-05,7.1023154
2021-05-06,7.162111
2021-05-07,7.221343
2021-05-08,7.2799683
2021-05-09,7.337943
2021-05-10,7.395224
2021-05-11,7.451768
2021-05-12,7.507531
2021-05-13,7.5624704
2021-05-14,7.616543
2021-05-15,7.669704
2021-05-16,7.7219114
2021-05-17,7.773122
2021-05-18,7.823291
2021-05-19,7.872376
2021-05-20,7.9203334
2021-05-21,7.96712
2021-05-22,8.012692
2021-05-23,8.057007
2021-05-24,8.10002
2021-05-25,8.14169
2021-05-26,8.181972
2021-05-27,8.220821
2021-05-28,8.258197
2021-05-29,8.294054
2021-05-30,8.328351
2021-05-31,8.361042
2021-06-01,8.392086
2021-06-02,8.421437
2021-06-03,8.449055
2021-06-04,8.474894
2021-06-05,8.498911
2021-06-06,8.521063
2021-06-07,8.5413065
2021-06-08,8.559599
2021-06-09,8.575896
2021-06-10,8.590155
2021-06-11,8.602331
2021-06-12,8.612383
2021-06-13,8.620265
2021-06-14,8.625936
2021-06-15,8.629352
2021-06-16,8.630467
2021-06-17,8.629242
2021-06-18,8.625631
2021-06-19,8.619591
