Date,settings 1
2017-01-01,3.0996428
2017-01-02,3.173521
2017-01-03,3.2491984
2017-01-04,3.3268077
2017-01-05,3.4064636
2017-01-06,3.4882233
2017-01-07,3.572118
2017-01-08,3.6581612
2017-01-09,3.7463226
2017-01-10,3.836561
2017-01-11,3.928827
2017-01-12,4.023067
2017-01-13,4.1192245
2017-01-14,4.2172437
2017-01-15,4.3170657
2017-01-16,4.418623
2017-01-17,4.521842
2017-01-18,4.6266446
2017-01-19,4.7329383
2017-01-20,4.840628
2017-01-21,4.94961
2017-01-22,5.0597663
2017-01-23,5.170962
2017-01-24,5.2830563
2017-01-25,5.3959007
2017-01-26,5.509353
2017-01-27,5.623339
2017-01-28,5.737734
2017-01-29,5.8523574
2017-01-30,5.967017
2017-01-31,6.0814953
2017-02-01,6.195508
2017-02-02,6.3087354
2017-02-03,6.4208345
2017-02-04,6.5314517
2017-02-05,6.6402063
2017-02-06,6.7467084
2017-02-07,6.8505607
2017-02-08,6.951355
2017-02-09,7.048664
2017-02-10,7.142054
2017-02-11,7.2310863
2017-02-12,7.315321
2017-02-13,7.3943586
2017-02-14,7.468026
2017-02-15,7.5364394
2017-02-16,7.5997753
2017-02-17,7.6582117
2017-02-18,7.711926
2017-02-19,7.7610955
2017-02-20,7.8058977
2017-02-21,7.84651
2017-02-22,7.88311
2017-02-23,7.9158754
2017-02-24,7.9449835
2017-02-25,7.9706116
2017-02-26,7.992937
2017-02-27,8.012138
2017-02-28,8.028392
2017-03-01,8.041866
2017-03-02,8.052714
2017-03-03,8.0611515
2017-03-04,8.067414
2017-03-05,8.071731
2017-03-06,8.074313
2017-03-07,8.075362
2017-03-08,8.075054
2017-03-09,8.073558
2017-03-10,8.071036
2017-03-11,8.067647
2017-03-12,8.063541
2017-03-13,8.05886
2017-03-14,8.053722
2017-03-15,8.048226
2017-03-16,8.0424385
2017-03-17,8.036415
2017-03-18,8.030204
2017-03-19,8.023852
2017-03-20,8.017408
2017-03-21,8.010914
2017-03-22,8.004418
2017-03-23,7.9979544
2017-03-24,7.9915485
2017-03-25,7.985226
2017-03-26,7.979013
2017-03-27,7.972933
2017-03-28,7.967001
2017-03-29,7.9612207
2017-03-30,7.9555683
2017-03-31,7.949991
2017-04-01,7.944408
2017-04-02,7.9387116
2017-04-03,7.932774
2017-04-04,7.92645
2017-04-05,7.919589
2017-04-06,7.912121
2017-04-07,7.9040813
2017-04-08,7.895601
2017-04-09,7.886871
2017-04-10,7.878106
