Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,0.73197514
2017-01-02,0.721795
2017-01-03,0.71048754
2017-01-04,0.698149
2017-01-05,0.6848759
2017-01-06,0.67076457
2017-01-07,0.6559114
2017-01-08,0.6404127
2017-01-09,0.6243649
2017-01-10,0.6078644
2017-01-11,0.59100753
2017-01-12,0.5738907
2017-01-13,0.5566103
2017-01-14,0.53926265
2017-01-15,0.52194417
2017-01-16,0.50475127
2017-01-17,0.4877803
2017-01-18,0.47112763
2017-01-19,0.45488426
2017-01-20,0.4391191
2017-01-21,0.4238933
2017-01-22,0.4092675
2017-01-23,0.39530227
2017-01-24,0.3820582
2017-01-25,0.36959594
2017-01-26,0.35797608
2017-01-27,0.3472592
2017-01-28,0.33750588
2017-01-29,0.32877678
2017-01-30,0.32113248
2017-01-31,0.31463355
2017-02-01,0.30934066
2017-02-02,0.30531433
2017-02-03,0.30261523
2017-02-04,0.30130392
2017-02-05,0.30144104
2017-02-06,0.30308715
2017-02-07,0.30630288
2017-02-08,0.3111488
2017-02-09,0.31768554
2017-02-10,0.32598191
2017-02-11,0.33613944
2017-02-12,0.34826794
2017-02-13,0.36247718
2017-02-14,0.37887692
2017-02-15,0.39758074
2017-02-16,0.418712
2017-02-17,0.44237083
2017-02-18,0.46863124
2017-02-19,0.49756765
2017-02-20,0.52928066
2017-02-21,0.5639274
2017-02-22,0.60182047
2017-02-23,0.64331055
2017-02-24,0.688707
2017-02-25,0.73815405
2017-02-26,0.79177684
2017-02-27,0.8497858
2017-02-28,0.91240317
2017-03-01,0.9797604
2017-03-02,1.0516504
2017-03-03,1.1278468
2017-03-04,1.2081662
2017-03-05,1.2922255
2017-03-06,1.3790659
2017-03-07,1.4675405
2017-03-08,1.5565163
2017-03-09,1.6449008
2017-03-10,1.7318873
2017-03-11,1.8170838
2017-03-12,1.9004735
2017-03-13,1.9821016
2017-03-14,2.061816
2017-03-15,2.1391568
2017-03-16,2.2133584
2017-03-17,2.2836475
2017-03-18,2.3496525
2017-03-19,2.4115465
2017-03-20,2.469645
2017-03-21,2.524373
2017-03-22,2.5763595
2017-03-23,2.6257899
2017-03-24,2.6719382
2017-03-25,2.714228
2017-03-26,2.752512
2017-03-27,2.7866497
2017-03-28,2.815961
2017-03-29,2.8396366
2017-03-30,2.8569133
2017-03-31,2.867074
2017-04-01,2.8695662
2017-04-02,2.8641195
2017-04-03,2.8508458
2017-04-04,2.8302877
2017-04-05,2.8034818
2017-04-06,2.7716353
2017-04-07,2.735937
2017-04-08,2.6978183
2017-04-09,2.6588213
2017-04-10,2.6204498
2017-04-11,2.5839372
2017-04-12,2.5501177
2017-04-13,2.519517
2017-04-14,2.4924827
2017-04-15,2.4693298
2017-04-16,2.4505796
2017-04-17,2.436736
2017-04-18,2.4281263
2017-04-19,2.4249468
2017-04-20,2.426831
2017-04-21,2.4334278
2017-04-22,2.444654
2017-04-23,2.460715
2017-04-24,2.4821725
2017-04-25,2.509916
2017-04-26,2.5447607
2017-04-27,2.587442
2017-04-28,2.6379747
2017-04-29,2.6959631
2017-04-30,2.7611332
2017-05-01,2.8338115
2017-05-02,2.9148867
2017-05-03,3.0054786
2017-05-04,3.1071527
2017-05-05,3.221332
2017-05-06,3.349035
2017-05-07,3.4911003
2017-05-08,3.6479084
2017-05-09,3.819602
2017-05-10,4.005824
2017-05-11,4.205623
2017-05-12,4.417471
2017-05-13,4.638779
2017-05-14,4.8668704
2017-05-15,5.099456
2017-05-16,5.3347545
2017-05-17,5.5709057
2017-05-18,5.8067994
2017-05-19,6.0418706
2017-05-20,6.2757645
2017-05-21,6.5077214
2017-05-22,6.7349477
2017-05-23,6.954164
2017-05-24,7.162505
2017-05-25,7.3575673
2017-05-26,7.5372214
2017-05-27,7.7001476
2017-05-28,7.8453584
2017-05-29,7.971816
2017-05-30,8.07854
2017-05-31,8.165185
2017-06-01,8.232698
2017-06-02,8.283483
2017-06-03,8.321172
2017-06-04,8.349619
2017-06-05,8.372241
2017-06-06,8.391861
2017-06-07,8.411396
2017-06-08,8.432698
2017-06-09,8.456884
2017-06-10,8.484403
2017-06-11,8.514354
2017-06-12,8.544355
2017-06-13,8.5718565
2017-06-14,8.595112
2017-06-15,8.613191
2017-06-16,8.624434
2017-06-17,8.628138
2017-06-18,8.624166
2017-06-19,8.612474
2017-06-20,8.592871
2017-06-21,8.564909
2017-06-22,8.528155
2017-06-23,8.482921
2017-06-24,8.430987
2017-06-25,8.375755
2017-06-26,8.321068
2017-06-27,8.268855
2017-06-28,8.220908
2017-06-29,8.178237
2017-06-30,8.140584
2017-07-01,8.106845
2017-07-02,8.07514
2017-07-03,8.043708
2017-07-04,8.010524
2017-07-05,7.973042
2017-07-06,7.928608
2017-07-07,7.874211
2017-07-08,7.807846
2017-07-09,7.7297378
2017-07-10,7.6424227
2017-07-11,7.54964
2017-07-12,7.4549055
2017-07-13,7.361537
2017-07-14,7.273039
2017-07-15,7.1920896
2017-07-16,7.1196003
2017-07-17,7.0550528
2017-07-18,6.9969206
2017-07-19,6.9433045
2017-07-20,6.8920436
2017-07-21,6.8411126
2017-07-22,6.788878
2017-07-23,6.7335987
2017-07-24,6.6741085
2017-07-25,6.610107
2017-07-26,6.5411887
2017-07-27,6.4670315
2017-07-28,6.388047
2017-07-29,6.3052015
2017-07-30,6.2196326
2017-07-31,6.132224
2017-08-01,6.0435033
2017-08-02,5.9541626
2017-08-03,5.8648143
2017-08-04,5.7764506
2017-08-05,5.690623
2017-08-06,5.609352
2017-08-07,5.5345173
2017-08-08,5.467605
2017-08-09,5.409941
2017-08-10,5.3622446
2017-08-11,5.32436
2017-08-12,5.2953706
2017-08-13,5.274616
2017-08-14,5.262589
2017-08-15,5.2606144
2017-08-16,5.2695403
2017-08-17,5.2892013
2017-08-18,5.318548
2017-08-19,5.3557367
2017-08-20,5.39819
2017-08-21,5.4425173
2017-08-22,5.485692
2017-08-23,5.5258403
2017-08-24,5.5624843
2017-08-25,5.5959296
2017-08-26,5.626211
2017-08-27,5.652905
2017-08-28,5.676017
2017-08-29,5.69608
2017-08-30,5.7130566
2017-08-31,5.7265973
2017-09-01,5.736269
2017-09-02,5.741565
2017-09-03,5.740597
2017-09-04,5.731018
2017-09-05,5.710436
2017-09-06,5.6774487
2017-09-07,5.6318345
2017-09-08,5.573916
2017-09-09,5.5045385
2017-09-10,5.426583
2017-09-11,5.343959
2017-09-12,5.258878
2017-09-13,5.1725144
2017-09-14,5.084983
2017-09-15,4.9975
2017-09-16,4.9112525
2017-09-17,4.827372
2017-09-18,4.7466564
2017-09-19,4.67029
2017-09-20,4.5989404
2017-09-21,4.531461
2017-09-22,4.466376
2017-09-23,4.4026628
2017-09-24,4.339786
2017-09-25,4.2767916
2017-09-26,4.2109237
2017-09-27,4.1390553
2017-09-28,4.0589037
2017-09-29,3.9693992
2017-09-30,3.8708253
2017-10-01,3.7645822
2017-10-02,3.6528678
2017-10-03,3.538338
2017-10-04,3.4240613
2017-10-05,3.3119972
2017-10-06,3.2036827
2017-10-07,3.1002123
2017-10-08,3.0023737
2017-10-09,2.9107578
2017-10-10,2.8255541
2017-10-11,2.7466514
2017-10-12,2.6737344
2017-10-13,2.6061401
2017-10-14,2.5431042
2017-10-15,2.4838269
2017-10-16,2.4278052
2017-10-17,2.3749862
2017-10-18,2.325944
2017-10-19,2.2818546
2017-10-20,2.2433505
2017-10-21,2.210416
2017-10-22,2.1823943
2017-10-23,2.158213
2017-10-24,2.1367028
2017-10-25,2.117289
2017-10-26,2.0999556
2017-10-27,2.084846
2017-10-28,2.0718586
2017-10-29,2.0600402
2017-10-30,2.0474467
2017-10-31,2.031643
2017-11-01,2.0106506
2017-11-02,1.9836224
2017-11-03,1.9509826
2017-11-04,1.9138446
2017-11-05,1.8737693
2017-11-06,1.8322142
2017-11-07,1.7902708
2017-11-08,1.7484993
2017-11-09,1.7067773
2017-11-10,1.6652341
2017-11-11,1.6243213
2017-11-12,1.584985
2017-11-13,1.548193
2017-11-14,1.5141534
2017-11-15,1.482126
2017-11-16,1.4510595
2017-11-17,1.4197663
2017-11-18,1.387206
2017-11-19,1.3526698
2017-11-20,1.3158531
2017-11-21,1.2767988
2017-11-22,1.2359775
2017-11-23,1.1941538
2017-11-24,1.1521109
2017-11-25,1.1104937
2017-11-26,1.0699627
2017-11-27,1.030752
2017-11-28,0.992945
2017-11-29,0.95698863
2017-11-30,0.9234175
2017-12-01,0.89239615
2017-12-02,0.8638188
2017-12-03,0.8375738
2017-12-04,0.81358075
2017-12-05,0.79183394
2017-12-06,0.7723307
2017-12-07,0.75506413
2017-12-08,0.740042
2017-12-09,0.7273313
2017-12-10,0.7170069
2017-12-11,0.70911777
2017-12-12,0.70370597
2017-12-13,0.7007957
2017-12-14,0.700318
2017-12-15,0.7020642
2017-12-16,0.7056587
2017-12-17,0.71066064
2017-12-18,0.7166132
2017-12-19,0.72305024
2017-12-20,0.7294858
2017-12-21,0.73547035
2017-12-22,0.74061537
2017-12-23,0.7446211
2017-12-24,0.74726254
2017-12-25,0.7484844
2017-12-26,0.74839795
2017-12-27,0.7471644
2017-12-28,0.74494946
2017-12-29,0.7419187
2017-12-30,0.73824817
2017-12-31,0.7341557
2018-01-01,0.7298693
2018-01-02,0.7256173
2018-01-03,0.72161824
2018-01-04,0.7180535
2018-01-05,0.71509486
2018-01-06,0.7128828
2018-01-07,0.71142405
2018-01-08,0.710622
2018-01-09,0.71016985
2018-01-10,0.7095391
2018-01-11,0.70817685
2018-01-12,0.70563465
2018-01-13,0.70162404
2018-01-14,0.6961506
2018-01-15,0.68947804
2018-01-16,0.6821128
2018-01-17,0.6747241
2018-01-18,0.66784626
2018-01-19,0.66201556
2018-01-20,0.65778947
2018-01-21,0.6555405
2018-01-22,0.6554153
2018-01-23,0.65745485
2018-01-24,0.6616021
2018-01-25,0.6677233
2018-01-26,0.6756701
2018-01-27,0.68529403
2018-01-28,0.6964468
2018-01-29,0.7089666
2018-01-30,0.722638
2018-01-31,0.7372323
2018-02-01,0.7525207
2018-02-02,0.7682743
2018-02-03,0.7842081
2018-02-04,0.7997686
2018-02-05,0.81419533
2018-02-06,0.8268246
2018-02-07,0.8372548
2018-02-08,0.8452884
2018-02-09,0.8508275
2018-02-10,0.85390264
2018-02-11,0.8546398
2018-02-12,0.8534793
2018-02-13,0.8510353
2018-02-14,0.847696
2018-02-15,0.8437577
2018-02-16,0.83953923
2018-02-17,0.835349
2018-02-18,0.8315191
2018-02-19,0.82848114
2018-02-20,0.82667273
2018-02-21,0.8267051
2018-02-22,0.82936394
2018-02-23,0.83551705
2018-02-24,0.84585625
2018-02-25,0.86102694
2018-02-26,0.8818789
2018-02-27,0.9093292
2018-02-28,0.9440072
2018-03-01,0.9861705
2018-03-02,1.0356865
2018-03-03,1.0922337
2018-03-04,1.154947
2018-03-05,1.2224021
2018-03-06,1.2931275
2018-03-07,1.3655576
2018-03-08,1.4379684
2018-03-09,1.5086027
2018-03-10,1.5762851
2018-03-11,1.6403525
2018-03-12,1.6999525
2018-03-13,1.7536005
2018-03-14,1.8002405
2018-03-15,1.8398226
2018-03-16,1.8736631
2018-03-17,1.9040918
2018-03-18,1.9338876
2018-03-19,1.9654851
2018-03-20,2.0008702
2018-03-21,2.0413678
2018-03-22,2.088247
2018-03-23,2.1430206
2018-03-24,2.2073407
2018-03-25,2.2825572
2018-03-26,2.3693192
2018-03-27,2.467611
2018-03-28,2.5767477
2018-03-29,2.6953025
2018-03-30,2.8211963
2018-03-31,2.951338
2018-04-01,3.0826106
2018-04-02,3.211974
2018-04-03,3.33728
2018-04-04,3.457569
2018-04-05,3.5724359
2018-04-06,3.68098
2018-04-07,3.782691
2018-04-08,3.8783886
2018-04-09,3.9703631
2018-04-10,4.06196
2018-04-11,4.156542
2018-04-12,4.257284
2018-04-13,4.366546
2018-04-14,4.4846845
2018-04-15,4.611649
2018-04-16,4.747007
2018-04-17,4.889067
2018-04-18,5.0363927
2018-04-19,5.1882443
2018-04-20,5.344352
2018-04-21,5.504434
2018-04-22,5.667679
2018-04-23,5.8326764
2018-04-24,5.9977846
2018-04-25,6.1611133
2018-04-26,6.320499
2018-04-27,6.4739647
2018-04-28,6.6199136
2018-04-29,6.756957
2018-04-30,6.8835588
2018-05-01,6.9982185
2018-05-02,7.100082
2018-05-03,7.188894
2018-05-04,7.2650747
2018-05-05,7.3292003
2018-05-06,7.3808613
2018-05-07,7.419791
2018-05-08,7.446719
2018-05-09,7.463163
2018-05-10,7.4715242
2018-05-11,7.47577
2018-05-12,7.480646
2018-05-13,7.4908195
2018-05-14,7.5109954
2018-05-15,7.5452704
2018-05-16,7.5952864
2018-05-17,7.661147
2018-05-18,7.7428393
2018-05-19,7.83981
2018-05-20,7.951062
2018-05-21,8.075724
2018-05-22,8.212825
2018-05-23,8.360807
2018-05-24,8.515856
2018-05-25,8.672941
2018-05-26,8.826938
2018-05-27,8.97417
2018-05-28,9.112066
2018-05-29,9.238464
2018-05-30,9.351807
2018-05-31,9.45063
2018-06-01,9.534207
2018-06-02,9.602746
2018-06-03,9.657165
2018-06-04,9.697949
2018-06-05,9.726302
2018-06-06,9.74418
2018-06-07,9.75408
2018-06-08,9.758802
2018-06-09,9.760175
2018-06-10,9.758554
2018-06-11,9.754095
2018-06-12,9.747467
2018-06-13,9.739028
2018-06-14,9.728501
2018-06-15,9.714767
2018-06-16,9.696234
2018-06-17,9.671915
2018-06-18,9.641662
2018-06-19,9.606445
2018-06-20,9.56787
2018-06-21,9.528199
2018-06-22,9.489995
2018-06-23,9.45528
2018-06-24,9.424792
2018-06-25,9.39895
2018-06-26,9.377683
2018-06-27,9.360814
2018-06-28,9.348079
2018-06-29,9.338734
2018-06-30,9.330572
2018-07-01,9.321452
2018-07-02,9.3102455
2018-07-03,9.296574
2018-07-04,9.280035
2018-07-05,9.260149
2018-07-06,9.236451
2018-07-07,9.208407
2018-07-08,9.175209
2018-07-09,9.135444
2018-07-10,9.087163
2018-07-11,9.028598
2018-07-12,8.957507
2018-07-13,8.871028
2018-07-14,8.766729
2018-07-15,8.643025
2018-07-16,8.498711
2018-07-17,8.332958
2018-07-18,8.144806
2018-07-19,7.9339867
2018-07-20,7.701383
2018-07-21,7.449212
2018-07-22,7.180152
2018-07-23,6.8976502
2018-07-24,6.606094
2018-07-25,6.3102727
2018-07-26,6.014823
2018-07-27,5.7243176
2018-07-28,5.4432306
2018-07-29,5.175974
2018-07-30,4.9272375
2018-07-31,4.7014704
2018-08-01,4.502388
2018-08-02,4.3328857
2018-08-03,4.1947937
2018-08-04,4.088719
2018-08-05,4.014147
2018-08-06,3.9697003
2018-08-07,3.9533648
2018-08-08,3.9629219
2018-08-09,3.9963112
2018-08-10,4.051917
2018-08-11,4.12807
2018-08-12,4.222715
2018-08-13,4.333214
2018-08-14,4.4560633
2018-08-15,4.5870414
2018-08-16,4.7215605
2018-08-17,4.855425
2018-08-18,4.985488
2018-08-19,5.1097383
2018-08-20,5.226947
2018-08-21,5.336489
2018-08-22,5.4384723
2018-08-23,5.533879
2018-08-24,5.624707
2018-08-25,5.713624
2018-08-26,5.803014
2018-08-27,5.8940887
2018-08-28,5.986449
2018-08-29,6.0790167
2018-08-30,6.169859
2018-08-31,6.2563095
2018-09-01,6.3355513
2018-09-02,6.404406
2018-09-03,6.459887
2018-09-04,6.4998507
2018-09-05,6.522807
2018-09-06,6.528221
2018-09-07,6.516297
2018-09-08,6.4876924
2018-09-09,6.442999
2018-09-10,6.383193
2018-09-11,6.3095584
2018-09-12,6.2234163
2018-09-13,6.1259904
2018-09-14,6.0183105
2018-09-15,5.9012547
2018-09-16,5.775951
2018-09-17,5.6435738
2018-09-18,5.505473
2018-09-19,5.363109
2018-09-20,5.217958
2018-09-21,5.0715194
2018-09-22,4.925656
2018-09-23,4.783305
2018-09-24,4.6476307
2018-09-25,4.5211024
2018-09-26,4.40576
2018-09-27,4.303263
2018-09-28,4.214598
2018-09-29,4.139861
2018-09-30,4.078296
2018-10-01,4.028846
2018-10-02,3.989989
2018-10-03,3.9585946
2018-10-04,3.9314775
2018-10-05,3.905902
2018-10-06,3.8796887
2018-10-07,3.8509538
2018-10-08,3.817001
2018-10-09,3.7752743
2018-10-10,3.723888
2018-10-11,3.661707
2018-10-12,3.5879915
2018-10-13,3.5020866
2018-10-14,3.4035454
2018-10-15,3.2926936
2018-10-16,3.1707118
2018-10-17,3.0387046
2018-10-18,2.8980603
2018-10-19,2.7505918
2018-10-20,2.598913
2018-10-21,2.4460254
2018-10-22,2.2947514
2018-10-23,2.1472974
2018-10-24,2.0055935
2018-10-25,1.8713943
2018-10-26,1.7464865
2018-10-27,1.6324575
2018-10-28,1.5305389
2018-10-29,1.4417423
2018-10-30,1.366408
2018-10-31,1.3040979
2018-11-01,1.254102
2018-11-02,1.215972
2018-11-03,1.1892034
2018-11-04,1.1726787
2018-11-05,1.1647553
2018-11-06,1.1632925
2018-11-07,1.1656547
2018-11-08,1.1690807
2018-11-09,1.17136
2018-11-10,1.1710982
2018-11-11,1.1674595
2018-11-12,1.1598718
2018-11-13,1.1481985
2018-11-14,1.1329538
2018-11-15,1.114679
2018-11-16,1.0942748
2018-11-17,1.0728284
2018-11-18,1.0512875
2018-11-19,1.0303682
2018-11-20,1.0106746
2018-11-21,0.9926365
2018-11-22,0.9764197
2018-11-23,0.9621282
2018-11-24,0.94971144
2018-11-25,0.939146
2018-11-26,0.93038356
2018-11-27,0.923251
2018-11-28,0.91754866
2018-11-29,0.9130443
2018-11-30,0.9094781
2018-12-01,0.9064688
2018-12-02,0.903442
2018-12-03,0.899805
2018-12-04,0.8949556
2018-12-05,0.8885715
2018-12-06,0.88063216
2018-12-07,0.8709254
2018-12-08,0.8590251
2018-12-09,0.8445873
2018-12-10,0.8275054
2018-12-11,0.8079511
2018-12-12,0.78619
2018-12-13,0.76278573
2018-12-14,0.73851424
2018-12-15,0.7140966
2018-12-16,0.6902508
2018-12-17,0.6676605
2018-12-18,0.6468419
2018-12-19,0.62819517
2018-12-20,0.6120534
2018-12-21,0.5985628
2018-12-22,0.58766943
2018-12-23,0.5792479
2018-12-24,0.5730367
2018-12-25,0.56870645
2018-12-26,0.5660367
2018-12-27,0.5649243
2018-12-28,0.5652119
