Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,0.36583397
2017-01-02,0.37074348
2017-01-03,0.37469968
2017-01-04,0.37753263
2017-01-05,0.3790595
2017-01-06,0.37915453
2017-01-07,0.37778568
2017-01-08,0.37504613
2017-01-09,0.37114203
2017-01-10,0.36637378
2017-01-11,0.36109442
2017-01-12,0.3555971
2017-01-13,0.35012835
2017-01-14,0.34508803
2017-01-15,0.34091923
2017-01-16,0.33806497
2017-01-17,0.336927
2017-01-18,0.33770165
2017-01-19,0.34038353
2017-01-20,0.3448959
2017-01-21,0.3510076
2017-01-22,0.35831624
2017-01-23,0.36629733
2017-01-24,0.37438634
2017-01-25,0.38206646
2017-01-26,0.38894215
2017-01-27,0.39475086
2017-01-28,0.39935154
2017-01-29,0.4026835
2017-01-30,0.40469834
2017-01-31,0.40540546
2017-02-01,0.40488672
2017-02-02,0.4032709
2017-02-03,0.40069085
2017-02-04,0.3972329
2017-02-05,0.39286438
2017-02-06,0.38752413
2017-02-07,0.38112804
2017-02-08,0.37358236
2017-02-09,0.36512175
2017-02-10,0.35617852
2017-02-11,0.34726134
2017-02-12,0.33876333
2017-02-13,0.33098832
2017-02-14,0.32420826
2017-02-15,0.318605
2017-02-16,0.31424427
2017-02-17,0.3111669
2017-02-18,0.30938035
2017-02-19,0.30875844
2017-02-20,0.30914152
2017-02-21,0.31035283
2017-02-22,0.31214997
2017-02-23,0.31433323
2017-02-24,0.31690943
2017-02-25,0.31996903
2017-02-26,0.32345304
2017-02-27,0.32710874
2017-02-28,0.33064273
2017-03-01,0.33376172
2017-03-02,0.33617237
2017-03-03,0.33758134
2017-03-04,0.33776054
2017-03-05,0.33674985
2017-03-06,0.3347047
2017-03-07,0.33188254
2017-03-08,0.32854256
2017-03-09,0.32480827
2017-03-10,0.32076964
2017-03-11,0.31656268
2017-03-12,0.31257296
2017-03-13,0.30963308
2017-03-14,0.30895582
2017-03-15,0.31179395
2017-03-16,0.3192634
2017-03-17,0.33240426
2017-03-18,0.35206988
2017-03-19,0.3789726
2017-03-20,0.413701
2017-03-21,0.456691
2017-03-22,0.5083217
2017-03-23,0.568963
2017-03-24,0.63886064
2017-03-25,0.7179155
2017-03-26,0.80554295
2017-03-27,0.90067494
2017-03-28,1.0018799
2017-03-29,1.10772
2017-03-30,1.217079
2017-03-31,1.3292385
2017-04-01,1.4438763
2017-04-02,1.5609943
2017-04-03,1.6805983
2017-04-04,1.8024062
2017-04-05,1.9257683
2017-04-06,2.0494196
2017-04-07,2.1718805
2017-04-08,2.291385
2017-04-09,2.406051
2017-04-10,2.513796
2017-04-11,2.6124263
2017-04-12,2.6997676
2017-04-13,2.7738605
2017-04-14,2.8330977
2017-04-15,2.876733
2017-04-16,2.9047887
2017-04-17,2.9175239
2017-04-18,2.916276
2017-04-19,2.903084
2017-04-20,2.8801875
2017-04-21,2.850675
2017-04-22,2.8182485
2017-04-23,2.7870111
2017-04-24,2.7614021
2017-04-25,2.7462294
2017-04-26,2.746166
2017-04-27,2.765285
2017-04-28,2.806447
2017-04-29,2.8715413
2017-04-30,2.9621418
2017-05-01,3.0805175
2017-05-02,3.228989
2017-05-03,3.4089746
2017-05-04,3.621414
2017-05-05,3.8662512
2017-05-06,4.1426578
2017-05-07,4.449731
2017-05-08,4.785653
2017-05-09,5.148236
2017-05-10,5.5352345
2017-05-11,5.944746
2017-05-12,6.374638
2017-05-13,6.8217797
2017-05-14,7.2822785
2017-05-15,7.7518125
2017-05-16,8.225188
2017-05-17,8.696579
2017-05-18,9.1603155
2017-05-19,9.611488
2017-05-20,10.045542
2017-05-21,10.457458
2017-05-22,10.843414
2017-05-23,11.200581
2017-05-24,11.526298
2017-05-25,11.817903
2017-05-26,12.072737
2017-05-27,12.288138
2017-05-28,12.461396
2017-05-29,12.589985
2017-05-30,12.673361
2017-05-31,12.713626
2017-06-01,12.715296
2017-06-02,12.685577
2017-06-03,12.633222
2017-06-04,12.567047
2017-06-05,12.496239
2017-06-06,12.429665
2017-06-07,12.371929
2017-06-08,12.321619
2017-06-09,12.276005
2017-06-10,12.232359
2017-06-11,12.187954
2017-06-12,12.140061
2017-06-13,12.085955
2017-06-14,12.023039
2017-06-15,11.94915
2017-06-16,11.862042
2017-06-17,11.760463
2017-06-18,11.644121
2017-06-19,11.513378
2017-06-20,11.369458
2017-06-21,11.214275
2017-06-22,11.050913
2017-06-23,10.883729
2017-06-24,10.718308
2017-06-25,10.560799
2017-06-26,10.415905
2017-06-27,10.284764
2017-06-28,10.167594
2017-06-29,10.06341
2017-06-30,9.9683
2017-07-01,9.876702
2017-07-02,9.782295
2017-07-03,9.679573
2017-07-04,9.565256
2017-07-05,9.439575
2017-07-06,9.304311
2017-07-07,9.161443
2017-07-08,9.012951
2017-07-09,8.860817
2017-07-10,8.707029
2017-07-11,8.553521
2017-07-12,8.401849
2017-07-13,8.253472
2017-07-14,8.109854
2017-07-15,7.9724517
2017-07-16,7.842727
2017-07-17,7.7221413
2017-07-18,7.612154
2017-07-19,7.5142255
2017-07-20,7.4298167
2017-07-21,7.3603883
2017-07-22,7.3073997
2017-07-23,7.2723126
2017-07-24,7.2564106
2017-07-25,7.2598643
2017-07-26,7.281068
2017-07-27,7.3180275
2017-07-28,7.368304
2017-07-29,7.4298673
2017-07-30,7.5015464
2017-07-31,7.582627
2017-08-01,7.6726727
2017-08-02,7.771177
2017-08-03,7.8774776
2017-08-04,7.9914346
2017-08-05,8.113988
2017-08-06,8.2475395
2017-08-07,8.393839
2017-08-08,8.550515
2017-08-09,8.712283
2017-08-10,8.873779
2017-08-11,9.029745
2017-08-12,9.173754
2017-08-13,9.299534
2017-08-14,9.402076
2017-08-15,9.478338
2017-08-16,9.527538
2017-08-17,9.55053
2017-08-18,9.5480585
2017-08-19,9.521199
2017-08-20,9.471241
2017-08-21,9.398747
2017-08-22,9.305231
2017-08-23,9.192575
2017-08-24,9.062677
2017-08-25,8.917438
2017-08-26,8.758753
2017-08-27,8.58819
2017-08-28,8.405975
2017-08-29,8.211798
2017-08-30,8.004871
2017-08-31,7.785752
2017-09-01,7.557107
2017-09-02,7.322869
2017-09-03,7.085891
2017-09-04,6.8471026
2017-09-05,6.6073456
2017-09-06,6.3680677
2017-09-07,6.131438
2017-09-08,5.9005566
2017-09-09,5.679658
2017-09-10,5.474366
2017-09-11,5.290501
2017-09-12,5.1314144
2017-09-13,4.9984093
2017-09-14,4.8912764
2017-09-15,4.809389
2017-09-16,4.750526
2017-09-17,4.71207
2017-09-18,4.6912394
2017-09-19,4.685441
2017-09-20,4.692336
2017-09-21,4.708952
2017-09-22,4.733012
2017-09-23,4.7626295
2017-09-24,4.795811
2017-09-25,4.8303576
2017-09-26,4.8635864
2017-09-27,4.89198
2017-09-28,4.912193
2017-09-29,4.9221854
2017-09-30,4.921841
2017-10-01,4.9125586
2017-10-02,4.8958406
2017-10-03,4.872487
2017-10-04,4.8433833
2017-10-05,4.8084054
2017-10-06,4.7669067
2017-10-07,4.718264
2017-10-08,4.6619177
2017-10-09,4.597213
2017-10-10,4.523593
2017-10-11,4.440653
2017-10-12,4.348081
2017-10-13,4.2451997
2017-10-14,4.1319246
2017-10-15,4.009008
2017-10-16,3.8777673
2017-10-17,3.739651
2017-10-18,3.5959752
2017-10-19,3.4478164
2017-10-20,3.2963498
2017-10-21,3.1430173
2017-10-22,2.9895453
2017-10-23,2.837324
2017-10-24,2.686666
2017-10-25,2.537836
2017-10-26,2.3913822
2017-10-27,2.2481453
2017-10-28,2.1091323
2017-10-29,1.9753001
2017-10-30,1.8473489
2017-10-31,1.7252952
2017-11-01,1.6085594
2017-11-02,1.4962074
2017-11-03,1.3873131
2017-11-04,1.2813103
2017-11-05,1.1786058
2017-11-06,1.0800369
2017-11-07,0.9859854
2017-11-08,0.89662534
2017-11-09,0.8121385
2017-11-10,0.73294365
2017-11-11,0.6595442
2017-11-12,0.59241855
2017-11-13,0.53185153
2017-11-14,0.47782537
2017-11-15,0.43019748
2017-11-16,0.38856187
2017-11-17,0.35229623
2017-11-18,0.32067683
2017-11-19,0.2929912
2017-11-20,0.26863313
2017-11-21,0.24714792
2017-11-22,0.22822048
2017-11-23,0.21165182
2017-11-24,0.19731817
2017-11-25,0.1850659
2017-11-26,0.17472973
2017-11-27,0.16615231
2017-11-28,0.15921265
2017-11-29,0.15381671
2017-11-30,0.14987522
2017-12-01,0.1472989
2017-12-02,0.14599846
2017-12-03,0.14588462
2017-12-04,0.14686811
2017-12-05,0.14885965
2017-12-06,0.15176995
2017-12-07,0.15550974
2017-12-08,0.15998974
2017-12-09,0.16512066
2017-12-10,0.17081323
2017-12-11,0.17697817
2017-12-12,0.1835262
2017-12-13,0.19036803
2017-12-14,0.1974144
2017-12-15,0.20457602
2017-12-16,0.21176359
2017-12-17,0.21888787
2017-12-18,0.22583464
2017-12-19,0.23239014
2017-12-20,0.23831569
2017-12-21,0.24337578
2017-12-22,0.247355
2017-12-23,0.25007302
2017-12-24,0.25138947
2017-12-25,0.25127685
2017-12-26,0.24982241
2017-12-27,0.24715178
2017-12-28,0.24339454
2017-12-29,0.23868033
2017-12-30,0.23313878
2017-12-31,0.22689949
2018-01-01,0.22009209
2018-01-02,0.2128289
2018-01-03,0.20516713
2018-01-04,0.19720832
2018-01-05,0.18910019
2018-01-06,0.18103749
2018-01-07,0.17324205
2018-01-08,0.16590159
2018-01-09,0.15913132
2018-01-10,0.15301606
2018-01-11,0.14758536
2018-01-12,0.1428566
2018-01-13,0.13885367
2018-01-14,0.13560209
2018-01-15,0.1331274
2018-01-16,0.13145512
2018-01-17,0.13061078
2018-01-18,0.13062425
2018-01-19,0.1315417
2018-01-20,0.1334036
2018-01-21,0.13622157
2018-01-22,0.13998547
2018-01-23,0.14467992
2018-01-24,0.15028356
2018-01-25,0.15675221
2018-01-26,0.16403607
2018-01-27,0.17208527
2018-01-28,0.18084998
2018-01-29,0.19028464
2018-01-30,0.20036379
2018-01-31,0.21107875
2018-02-01,0.22242396
2018-02-02,0.23439388
2018-02-03,0.24698293
2018-02-04,0.26016095
2018-02-05,0.27379918
2018-02-06,0.28771174
2018-02-07,0.30158216
2018-02-08,0.3150615
2018-02-09,0.3278008
2018-02-10,0.33945104
2018-02-11,0.3496791
2018-02-12,0.35821545
2018-02-13,0.36480638
2018-02-14,0.3693082
2018-02-15,0.37201738
2018-02-16,0.37331295
2018-02-17,0.37346438
2018-02-18,0.37271377
2018-02-19,0.37130326
2018-02-20,0.36947495
2018-02-21,0.36747095
2018-02-22,0.36553335
2018-02-23,0.36390427
2018-02-24,0.3628258
2018-02-25,0.3625401
2018-02-26,0.3632892
2018-02-27,0.36531526
2018-02-28,0.36886036
2018-03-01,0.37416664
2018-03-02,0.38147616
2018-03-03,0.3910311
2018-03-04,0.4030208
2018-03-05,0.41738117
2018-03-06,0.43382406
2018-03-07,0.45195845
2018-03-08,0.47115296
2018-03-09,0.4907162
2018-03-10,0.5099567
2018-03-11,0.52812755
2018-03-12,0.54423153
2018-03-13,0.5571176
2018-03-14,0.56572485
2018-03-15,0.5693509
2018-03-16,0.5678977
2018-03-17,0.5619115
2018-03-18,0.55242956
2018-03-19,0.54041207
2018-03-20,0.5264974
2018-03-21,0.51125014
2018-03-22,0.4951673
2018-03-23,0.47847718
2018-03-24,0.4613367
2018-03-25,0.4438511
2018-03-26,0.42594227
2018-03-27,0.40734252
2018-03-28,0.38779947
2018-03-29,0.36746866
2018-03-30,0.34733173
2018-03-31,0.32856333
2018-04-01,0.31233814
2018-04-02,0.29983088
2018-04-03,0.29221618
2018-04-04,0.29066876
2018-04-05,0.29636326
2018-04-06,0.3104788
2018-04-07,0.33418292
2018-04-08,0.36848643
2018-04-09,0.41416293
2018-04-10,0.47175294
2018-04-11,0.54153657
2018-04-12,0.6237372
2018-04-13,0.71857816
2018-04-14,0.82628274
2018-04-15,0.94707435
2018-04-16,1.0811763
2018-04-17,1.2288119
2018-04-18,1.3902044
2018-04-19,1.5655774
2018-04-20,1.7549832
2018-04-21,1.957769
2018-04-22,2.1730764
2018-04-23,2.400276
2018-04-24,2.6389675
2018-04-25,2.8887794
2018-04-26,3.14935
2018-04-27,3.4205368
2018-04-28,3.7027295
2018-04-29,3.9966214
2018-04-30,4.302655
2018-05-01,4.6209126
2018-05-02,4.9522004
2018-05-03,5.297038
2018-05-04,5.6537714
2018-05-05,6.018935
2018-05-06,6.387431
2018-05-07,6.754422
2018-05-08,7.1174183
2018-05-09,7.4765043
2018-05-10,7.8322983
2018-05-11,8.185535
2018-05-12,8.537566
2018-05-13,8.890747
2018-05-14,9.248786
2018-05-15,9.615033
2018-05-16,9.989807
2018-05-17,10.369472
2018-05-18,10.749495
2018-05-19,11.12487
2018-05-20,11.490685
2018-05-21,11.843156
2018-05-22,12.180177
2018-05-23,12.501013
2018-05-24,12.803458
2018-05-25,13.083941
2018-05-26,13.337816
2018-05-27,13.56226
2018-05-28,13.755411
2018-05-29,13.915069
2018-05-30,14.040646
2018-05-31,14.132317
2018-06-01,14.189274
2018-06-02,14.209882
2018-06-03,14.193727
2018-06-04,14.141826
2018-06-05,14.057202
2018-06-06,13.942938
2018-06-07,13.80383
2018-06-08,13.644721
2018-06-09,13.469459
2018-06-10,13.281617
2018-06-11,13.086785
2018-06-12,12.892573
2018-06-13,12.707094
2018-06-14,12.535784
2018-06-15,12.381147
2018-06-16,12.243373
2018-06-17,12.122184
2018-06-18,12.0173025
2018-06-19,11.928454
2018-06-20,11.85527
2018-06-21,11.797057
2018-06-22,11.753003
2018-06-23,11.721292
2018-06-24,11.698708
2018-06-25,11.682666
2018-06-26,11.670266
2018-06-27,11.658063
2018-06-28,11.643395
2018-06-29,11.624057
2018-06-30,11.597901
2018-07-01,11.56278
2018-07-02,11.516547
2018-07-03,11.456896
2018-07-04,11.380725
2018-07-05,11.284169
2018-07-06,11.163561
2018-07-07,11.015868
2018-07-08,10.838805
2018-07-09,10.631105
2018-07-10,10.3929205
2018-07-11,10.12571
2018-07-12,9.831035
2018-07-13,9.511285
2018-07-14,9.17099
2018-07-15,8.817681
2018-07-16,8.461069
2018-07-17,8.112282
2018-07-18,7.7822037
2018-07-19,7.4808893
2018-07-20,7.2168612
2018-07-21,6.9970016
2018-07-22,6.8257217
2018-07-23,6.7043595
2018-07-24,6.63175
2018-07-25,6.6049027
2018-07-26,6.619623
2018-07-27,6.6710835
2018-07-28,6.754405
2018-07-29,6.864686
2018-07-30,6.9963403
2018-07-31,7.143776
2018-08-01,7.301405
2018-08-02,7.463688
2018-08-03,7.6254764
2018-08-04,7.7824683
2018-08-05,7.9311543
2018-08-06,8.068181
2018-08-07,8.190198
2018-08-08,8.29425
2018-08-09,8.379308
2018-08-10,8.446062
2018-08-11,8.495601
2018-08-12,8.529376
2018-08-13,8.549482
2018-08-14,8.557225
2018-08-15,8.552722
2018-08-16,8.535836
2018-08-17,8.506435
2018-08-18,8.464384
2018-08-19,8.409501
