id,settings 1
2017_s1_SOSD,17084.691
2017_s1_SOSV,4.7292643
2017_s1_LSLOPE,0.108460985
2017_s1_EOSD,17260.604
2017_s1_EOSV,4.6664114
2017_s1_RSLOPE,0.095312774
2017_s1_LENGTH,175.91127
2017_s1_MINV,0.11189702
2017_s1_MAXD,17152.0
2017_s1_MAXV,11.576749
2017_s1_AMPL,11.464852
2017_s1_TPROD,1613.7941
2017_s1_SPROD,1593.8765
2017_s2_SOSD,
2017_s2_SOSV,
2017_s2_LSLOPE,
2017_s2_EOSD,
2017_s2_EOSV,
2017_s2_RSLOPE,
2017_s2_LENGTH,
2017_s2_MINV,
2017_s2_MAXD,
2017_s2_MAXV,
2017_s2_AMPL,
2017_s2_TPROD,
2017_s2_SPROD,
2018_s1_SOSD,18107.158
2018_s1_SOSV,4.6088877
2018_s1_LSLOPE,0.14743105
2018_s1_EOSD,18282.227
2018_s1_EOSV,4.6256876
2018_s1_RSLOPE,0.10751703
2018_s1_LENGTH,175.06816
2018_s1_MINV,0.0735193
2018_s1_MAXD,18212.0
2018_s1_MAXV,11.4329405
2018_s1_AMPL,11.359421
2018_s1_TPROD,1589.5366
2018_s1_SPROD,1576.5237
2018_s2_SOSD,
2018_s2_SOSV,
2018_s2_LSLOPE,
2018_s2_EOSD,
2018_s2_EOSV,
2018_s2_RSLOPE,
2018_s2_LENGTH,
2018_s2_MINV,
2018_s2_MAXD,
2018_s2_MAXV,
2018_s2_AMPL,
2018_s2_TPROD,
2018_s2_SPROD,
2019_s1_SOSD,19104.465
2019_s1_SOSV,4.3854594
2019_s1_LSLOPE,0.11914142
2019_s1_EOSD,19292.271
2019_s1_EOSV,4.3922524
2019_s1_RSLOPE,0.11059201
2019_s1_LENGTH,187.80624
2019_s1_MINV,0.09318018
2019_s1_MAXD,19166.0
2019_s1_MAXV,10.83237
2019_s1_AMPL,10.739189
2019_s1_TPROD,1629.8635
2019_s1_SPROD,1612.1593
2019_s2_SOSD,
2019_s2_SOSV,
2019_s2_LSLOPE,
2019_s2_EOSD,
2019_s2_EOSV,
2019_s2_RSLOPE,
2019_s2_LENGTH,
2019_s2_MINV,
2019_s2_MAXD,
2019_s2_MAXV,
2019_s2_AMPL,
2019_s2_TPROD,
2019_s2_SPROD,
