id,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017_s1_SOSD,17070.29
2017_s1_SOSV,6.4563866
2017_s1_LSLOPE,0.08287108
2017_s1_EOSD,17289.979
2017_s1_EOSV,7.2865024
2017_s1_RSLOPE,0.03560449
2017_s1_LENGTH,219.69035
2017_s1_MINV,2.8466303
2017_s1_MAXD,17138.0
2017_s1_MAXV,11.784233
2017_s1_AMPL,8.937602
2017_s1_TPROD,1768.5754
2017_s1_SPROD,1139.4701
2017_s2_SOSD,
2017_s2_SOSV,
2017_s2_LSLOPE,
2017_s2_EOSD,
2017_s2_EOSV,
2017_s2_RSLOPE,
2017_s2_LENGTH,
2017_s2_MINV,
2017_s2_MAXD,
2017_s2_MAXV,
2017_s2_AMPL,
2017_s2_TPROD,
2017_s2_SPROD,
2018_s1_SOSD,18102.135
2018_s1_SOSV,6.5316677
2018_s1_LSLOPE,0.30009112
2018_s1_EOSD,18248.828
2018_s1_EOSV,7.7623467
2018_s1_RSLOPE,0.08653322
2018_s1_LENGTH,146.69272
2018_s1_MINV,3.0837266
2018_s1_MAXD,18198.0
2018_s1_MAXV,12.146011
2018_s1_AMPL,9.062284
2018_s1_TPROD,1434.4673
2018_s1_SPROD,978.07574
2018_s2_SOSD,
2018_s2_SOSV,
2018_s2_LSLOPE,
2018_s2_EOSD,
2018_s2_EOSV,
2018_s2_RSLOPE,
2018_s2_LENGTH,
2018_s2_MINV,
2018_s2_MAXD,
2018_s2_MAXV,
2018_s2_AMPL,
2018_s2_TPROD,
2018_s2_SPROD,
2019_s1_SOSD,19078.453
2019_s1_SOSV,6.300879
2019_s1_LSLOPE,0.078233466
2019_s1_EOSD,19305.375
2019_s1_EOSV,5.791343
2019_s1_RSLOPE,0.05509645
2019_s1_LENGTH,226.922
2019_s1_MINV,2.5401485
2019_s1_MAXD,19128.0
2019_s1_MAXV,10.202312
2019_s1_AMPL,7.6621647
2019_s1_TPROD,1839.4535
2019_s1_SPROD,1257.7595
2019_s2_SOSD,
2019_s2_SOSV,
2019_s2_LSLOPE,
2019_s2_EOSD,
2019_s2_EOSV,
2019_s2_RSLOPE,
2019_s2_LENGTH,
2019_s2_MINV,
2019_s2_MAXD,
2019_s2_MAXV,
2019_s2_AMPL,
2019_s2_TPROD,
2019_s2_SPROD,
2020_s1_SOSD,20032.676
2020_s1_SOSV,4.781836
2020_s1_LSLOPE,0.06289737
2020_s1_EOSD,20285.469
2020_s1_EOSV,6.672304
2020_s1_RSLOPE,0.03494959
2020_s1_LENGTH,252.79268
2020_s1_MINV,2.4204757
2020_s1_MAXD,20193.0
2020_s1_MAXV,9.88403
2020_s1_AMPL,7.4635544
2020_s1_TPROD,1889.8318
2020_s1_SPROD,1272.6104
2020_s2_SOSD,
2020_s2_SOSV,
2020_s2_LSLOPE,
2020_s2_EOSD,
2020_s2_EOSV,
2020_s2_RSLOPE,
2020_s2_LENGTH,
2020_s2_MINV,
2020_s2_MAXD,
2020_s2_MAXV,
2020_s2_AMPL,
2020_s2_TPROD,
2020_s2_SPROD,
2021_s1_SOSD,21063.715
2021_s1_SOSV,6.8827534
2021_s1_LSLOPE,0.068414785
2021_s1_EOSD,21214.098
2021_s1_EOSV,7.4609995
2021_s1_RSLOPE,0.039644912
2021_s1_LENGTH,150.3832
2021_s1_MINV,3.1832805
2021_s1_MAXD,21162.0
2021_s1_MAXV,12.016016
2021_s1_AMPL,8.832735
2021_s1_TPROD,1412.1741
2021_s1_SPROD,925.1322
2021_s2_SOSD,
2021_s2_SOSV,
2021_s2_LSLOPE,
2021_s2_EOSD,
2021_s2_EOSV,
2021_s2_RSLOPE,
2021_s2_LENGTH,
2021_s2_MINV,
2021_s2_MAXD,
2021_s2_MAXV,
2021_s2_AMPL,
2021_s2_TPROD,
2021_s2_SPROD,
2022_s1_SOSD,22061.736
2022_s1_SOSV,6.3671856
2022_s1_LSLOPE,0.056038793
2022_s1_EOSD,22185.59
2022_s1_EOSV,7.7017164
2022_s1_RSLOPE,0.092761196
2022_s1_LENGTH,123.85368
2022_s1_MINV,3.375213
2022_s1_MAXD,22142.0
2022_s1_MAXV,11.55899
2022_s1_AMPL,8.183777
2022_s1_TPROD,1153.0796
2022_s1_SPROD,727.80273
2022_s2_SOSD,
2022_s2_SOSV,
2022_s2_LSLOPE,
2022_s2_EOSD,
2022_s2_EOSV,
2022_s2_RSLOPE,
2022_s2_LENGTH,
2022_s2_MINV,
2022_s2_MAXD,
2022_s2_MAXV,
2022_s2_AMPL,
2022_s2_TPROD,
2022_s2_SPROD,
2023_s1_SOSD,23069.309
2023_s1_SOSV,7.057528
2023_s1_LSLOPE,0.053306
2023_s1_EOSD,23263.996
2023_s1_EOSV,8.013504
2023_s1_RSLOPE,0.060178403
2023_s1_LENGTH,194.68692
2023_s1_MINV,3.2734396
2023_s1_MAXD,23182.0
2023_s1_MAXV,12.745605
2023_s1_AMPL,9.472166
2023_s1_TPROD,1796.1854
2023_s1_SPROD,1154.5913
2023_s2_SOSD,
2023_s2_SOSV,
2023_s2_LSLOPE,
2023_s2_EOSD,
2023_s2_EOSV,
2023_s2_RSLOPE,
2023_s2_LENGTH,
2023_s2_MINV,
2023_s2_MAXD,
2023_s2_MAXV,
2023_s2_AMPL,
2023_s2_TPROD,
2023_s2_SPROD,
