Date,settings 1
2017-01-01,0.89610475
2017-01-02,0.89586234
2017-01-03,0.8960689
2017-01-04,0.89678663
2017-01-05,0.8980773
2017-01-06,0.9000026
2017-01-07,0.902623
2017-01-08,0.90599626
2017-01-09,0.91017455
2017-01-10,0.91520005
2017-01-11,0.92111593
2017-01-12,0.92796516
2017-01-13,0.9357885
2017-01-14,0.94462544
2017-01-15,0.9545152
2017-01-16,0.9654962
2017-01-17,0.9776037
2017-01-18,0.9908697
2017-01-19,1.0053183
2017-01-20,1.0209621
2017-01-21,1.0377997
2017-01-22,1.0558143
2017-01-23,1.074973
2017-01-24,1.0952252
2017-01-25,1.1165136
2017-01-26,1.1387776
2017-01-27,1.1619529
2017-01-28,1.1859733
2017-01-29,1.210772
2017-01-30,1.2362798
2017-01-31,1.2624229
2017-02-01,1.2891252
2017-02-02,1.3163096
2017-02-03,1.3438976
2017-02-04,1.3718103
2017-02-05,1.3999677
2017-02-06,1.4282892
2017-02-07,1.4566928
2017-02-08,1.4850957
2017-02-09,1.5134354
2017-02-10,1.54165
2017-02-11,1.5696762
2017-02-12,1.5974497
2017-02-13,1.6249063
2017-02-14,1.6519799
2017-02-15,1.6786009
2017-02-16,1.7046868
2017-02-17,1.7301245
2017-02-18,1.7547871
2017-02-19,1.7785445
2017-02-20,1.8012651
2017-02-21,1.8228152
2017-02-22,1.8430591
2017-02-23,1.8618586
2017-02-24,1.8790736
2017-02-25,1.8945596
2017-02-26,1.9081756
2017-02-27,1.9198515
2017-02-28,1.9296341
2017-03-01,1.9376663
2017-03-02,1.9441109
2017-03-03,1.9491332
2017-03-04,1.9528753
2017-03-05,1.9554648
2017-03-06,1.957024
2017-03-07,1.9576643
2017-03-08,1.957494
2017-03-09,1.9566207
2017-03-10,1.9551493
2017-03-11,1.9531826
2017-03-12,1.9508215
2017-03-13,1.9481643
2017-03-14,1.945307
2017-03-15,1.942343
2017-03-16,1.9393635
2017-03-17,1.936457
2017-03-18,1.9337103
2017-03-19,1.931208
2017-03-20,1.9290317
2017-03-21,1.9272625
2017-03-22,1.9259936
2017-03-23,1.9253165
2017-03-24,1.925322
2017-03-25,1.9261009
2017-03-26,1.9277431
2017-03-27,1.9303375
2017-03-28,1.9339712
2017-03-29,1.9387301
2017-03-30,1.9446996
2017-03-31,1.9519635
2017-04-01,1.9606013
2017-04-02,1.970686
2017-04-03,1.9822847
2017-04-04,1.995463
2017-04-05,2.0102844
2017-04-06,2.0268116
2017-04-07,2.0451055
2017-04-08,2.065225
2017-04-09,2.0872266
2017-04-10,2.1111677
2017-04-11,2.1371036
2017-04-12,2.1650856
2017-04-13,2.1951559
2017-04-14,2.2273414
2017-04-15,2.2616675
2017-04-16,2.2981665
2017-04-17,2.3368473
2017-04-18,2.377699
2017-04-19,2.4207065
2017-04-20,2.465845
2017-04-21,2.5130486
2017-04-22,2.5622344
2017-04-23,2.6133118
2017-04-24,2.6661918
2017-04-25,2.7208571
2017-04-26,2.77744
2017-04-27,2.8361022
2017-04-28,2.8970013
2017-04-29,2.9602928
2017-04-30,3.0261242
2017-05-01,3.094611
2017-05-02,3.1658568
2017-05-03,3.2399623
2017-05-04,3.3170242
2017-05-05,3.3971355
2017-05-06,3.4803817
2017-05-07,3.5668278
2017-05-08,3.6565297
2017-05-09,3.749539
2017-05-10,3.8459
2017-05-11,3.9456391
2017-05-12,4.0487742
2017-05-13,4.1553187
2017-05-14,4.265278
2017-05-15,4.378629
2017-05-16,4.4953194
2017-05-17,4.615263
2017-05-18,4.738346
2017-05-19,4.8644266
2017-05-20,4.9933505
2017-05-21,5.1249585
2017-05-22,5.2590866
2017-05-23,5.3955708
2017-05-24,5.5342407
2017-05-25,5.674925
2017-05-26,5.8174334
2017-05-27,5.9615
2017-05-28,6.106779
2017-05-29,6.252915
2017-05-30,6.3995423
2017-05-31,6.546287
2017-06-01,6.692772
2017-06-02,6.8386197
2017-06-03,6.983454
2017-06-04,7.1268954
2017-06-05,7.2685733
2017-06-06,7.4081926
2017-06-07,7.545472
2017-06-08,7.680129
2017-06-09,7.811937
2017-06-10,7.9407606
2017-06-11,8.066474
2017-06-12,8.188919
2017-06-13,8.307923
2017-06-14,8.423318
2017-06-15,8.534928
2017-06-16,8.642579
2017-06-17,8.746093
2017-06-18,8.845289
2017-06-19,8.940006
2017-06-20,9.030167
2017-06-21,9.115773
2017-06-22,9.196861
2017-06-23,9.273477
