Date,settings 1
2017-01-01,1.9957354
2017-01-02,1.968784
2017-01-03,1.9430602
2017-01-04,1.9186747
2017-01-05,1.895738
2017-01-06,1.8743579
2017-01-07,1.8546358
2017-01-08,1.8366667
2017-01-09,1.8205445
2017-01-10,1.8063627
2017-01-11,1.7942152
2017-01-12,1.7841944
2017-01-13,1.7763922
2017-01-14,1.7709
2017-01-15,1.7678077
2017-01-16,1.7672027
2017-01-17,1.7691678
2017-01-18,1.7737839
2017-01-19,1.7811311
2017-01-20,1.7912823
2017-01-21,1.8042816
2017-01-22,1.82015
2017-01-23,1.8388951
2017-01-24,1.8604994
2017-01-25,1.88494
2017-01-26,1.9121938
2017-01-27,1.9422376
2017-01-28,1.9750482
2017-01-29,2.0106013
2017-01-30,2.048866
2017-01-31,2.0898101
2017-02-01,2.1333995
2017-02-02,2.179608
2017-02-03,2.2284548
2017-02-04,2.280007
2017-02-05,2.3343358
2017-02-06,2.3914988
2017-02-07,2.451527
2017-02-08,2.5144439
2017-02-09,2.5802717
2017-02-10,2.6490338
2017-02-11,2.720752
2017-02-12,2.79545
2017-02-13,2.8731492
2017-02-14,2.9538672
2017-02-15,3.0375998
2017-02-16,3.1242921
2017-02-17,3.2138715
2017-02-18,3.3062599
2017-02-19,3.4013784
2017-02-20,3.4991932
2017-02-21,3.599678
2017-02-22,3.7027895
2017-02-23,3.8084311
2017-02-24,3.9164915
2017-02-25,4.026853
2017-02-26,4.1393847
2017-02-27,4.2539487
2017-02-28,4.3704014
2017-03-01,4.4885936
2017-03-02,4.608356
2017-03-03,4.7295055
2017-03-04,4.8518505
2017-03-05,4.975179
2017-03-06,5.0992703
2017-03-07,5.2238865
2017-03-08,5.3487816
2017-03-09,5.4737053
2017-03-10,5.598399
2017-03-11,5.722611
2017-03-12,5.846129
2017-03-13,5.968744
2017-03-14,6.0902443
2017-03-15,6.2104163
2017-03-16,6.3290453
2017-03-17,6.4459176
2017-03-18,6.5608177
2017-03-19,6.6735315
2017-03-20,6.7838445
2017-03-21,6.8915424
2017-03-22,6.9964104
2017-03-23,7.0982347
2017-03-24,7.1967998
2017-03-25,7.291892
2017-03-26,7.383297
2017-03-27,7.4707994
2017-03-28,7.5542245
2017-03-29,7.6335864
2017-03-30,7.7090764
2017-03-31,7.780917
2017-04-01,7.8493323
2017-04-02,7.914535
2017-04-03,7.97675
2017-04-04,8.036274
2017-04-05,8.093412
2017-04-06,8.14846
2017-04-07,8.201712
2017-04-08,8.25346
2017-04-09,8.303995
2017-04-10,8.353603
2017-04-11,8.40257
2017-04-12,8.451175
2017-04-13,8.499688
2017-04-14,8.548369
2017-04-15,8.597457
2017-04-16,8.64718
2017-04-17,8.697761
2017-04-18,8.749408
2017-04-19,8.802278
2017-04-20,8.856492
2017-04-21,8.912123
2017-04-22,8.969255
2017-04-23,9.027976
2017-04-24,9.088342
2017-04-25,9.150399
2017-04-26,9.214188
2017-04-27,9.27973
2017-04-28,9.347044
2017-04-29,9.4161415
2017-04-30,9.487025
2017-05-01,9.559661
2017-05-02,9.633943
2017-05-03,9.709743
2017-05-04,9.7869215
2017-05-05,9.865335
2017-05-06,9.944833
2017-05-07,10.025232
2017-05-08,10.106268
