Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0004235084
2017-01-17,0.0020343496
2017-01-18,0.0036396878
2017-01-19,0.0052373707
2017-01-20,0.0068252794
2017-01-21,0.00840143
2017-01-22,0.009963871
2017-01-23,0.011510651
2017-01-24,0.013039817
2017-01-25,0.01454942
2017-01-26,0.016037509
2017-01-27,0.017502131
2017-01-28,0.018941334
2017-01-29,0.020353168
2017-01-30,0.021735683
2017-01-31,0.023086924
2017-02-01,0.024404945
2017-02-02,0.02568779
2017-02-03,0.026933508
2017-02-04,0.02814015
2017-02-05,0.029305764
2017-02-06,0.030428398
2017-02-07,0.0315061
2017-02-08,0.03253692
2017-02-09,0.033518907
2017-02-10,0.03445011
2017-02-11,0.035328574
2017-02-12,0.03615235
2017-02-13,0.036919493
2017-02-14,0.03762804
2017-02-15,0.038276047
2017-02-16,0.03886156
2017-02-17,0.03938263
2017-02-18,0.039837305
2017-02-19,0.04021902
2017-02-20,0.040502753
2017-02-21,0.040656593
2017-02-22,0.04063992
2017-02-23,0.04041166
2017-02-24,0.039933935
2017-02-25,0.039183583
2017-02-26,0.038155165
2017-02-27,0.036846995
2017-02-28,0.035261635
2017-03-01,0.03341864
2017-03-02,0.031341817
2017-03-03,0.029056858
2017-03-04,0.026598834
2017-03-05,0.024011938
2017-03-06,0.021342184
2017-03-07,0.018635584
2017-03-08,0.015938146
2017-03-09,0.013295007
2017-03-10,0.0107478015
2017-03-11,0.008337289
2017-03-12,0.00610423
2017-03-13,0.0040893834
2017-03-14,0.0023335093
2017-03-15,0.00087736733
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.00085770787
2017-03-22,0.0027234387
2017-03-23,0.005242255
2017-03-24,0.008458813
2017-03-25,0.012416603
2017-03-26,0.01715319
2017-03-27,0.022697946
2017-03-28,0.02907106
2017-03-29,0.036287338
2017-03-30,0.044346448
2017-03-31,0.053236865
2017-04-01,0.06293502
2017-04-02,0.07339358
2017-04-03,0.08453583
2017-04-04,0.09627868
2017-04-05,0.10853904
2017-04-06,0.12123381
2017-04-07,0.13427992
2017-04-08,0.14759427
2017-04-09,0.16109377
2017-04-10,0.17469534
2017-04-11,0.18831588
2017-04-12,0.20187232
2017-04-13,0.21528155
2017-04-14,0.22846049
2017-04-15,0.24132605
2017-04-16,0.25379515
2017-04-17,0.26578468
2017-04-18,0.27721158
2017-04-19,0.28799275
2017-04-20,0.2980451
2017-04-21,0.30728552
2017-04-22,0.31563097
2017-04-23,0.32299832
2017-04-24,0.3293045
2017-04-25,0.3344664
2017-04-26,0.33840096
2017-04-27,0.34102505
2017-04-28,0.3423204
2017-04-29,0.34255162
2017-04-30,0.3421263
2017-05-01,0.34137872
2017-05-02,0.3405091
2017-05-03,0.33968854
2017-05-04,0.33908814
2017-05-05,0.33887893
2017-05-06,0.33923203
2017-05-07,0.34031847
2017-05-08,0.34230936
2017-05-09,0.34537575
2017-05-10,0.3496887
2017-05-11,0.35541934
2017-05-12,0.3627387
2017-05-13,0.37181786
2017-05-14,0.3828279
2017-05-15,0.39593992
2017-05-16,0.41132492
2017-05-17,0.42915404
2017-05-18,0.44959834
2017-05-19,0.47282887
2017-05-20,0.49898747
2017-05-21,0.52809685
2017-05-22,0.5601388
2017-05-23,0.5950688
2017-05-24,0.6328052
2017-05-25,0.67325354
2017-05-26,0.7162998
2017-05-27,0.7618573
2017-05-28,0.80996794
2017-05-29,0.86070573
2017-05-30,0.91413116
2017-05-31,0.9702208
2017-06-01,1.0287707
2017-06-02,1.0893588
2017-06-03,1.1514772
2017-06-04,1.2146368
2017-06-05,1.2783622
2017-06-06,1.341929
2017-06-07,1.4042819
2017-06-08,1.4644644
2017-06-09,1.5216742
2017-06-10,1.5751644
2017-06-11,1.6241592
2017-06-12,1.668149
2017-06-13,1.7067063
2017-06-14,1.739225
2017-06-15,1.7653059
2017-06-16,1.7848299
2017-06-17,1.7980759
2017-06-18,1.8056517
2017-06-19,1.8082917
2017-06-20,1.8070416
2017-06-21,1.803283
2017-06-22,1.7984664
2017-06-23,1.7937913
2017-06-24,1.7902058
2017-06-25,1.7885368
2017-06-26,1.7889553
2017-06-27,1.7909201
2017-06-28,1.7937219
2017-06-29,1.7966857
2017-06-30,1.7993779
2017-07-01,1.8018662
2017-07-02,1.8048266
2017-07-03,1.8094964
2017-07-04,1.8173792
2017-07-05,1.8295196
2017-07-06,1.84637
2017-07-07,1.8678017
2017-07-08,1.8933225
2017-07-09,1.922058
2017-07-10,1.9529723
