id,settings 1
2017_s1_SOSD,17120.227
2017_s1_SOSV,7.1040664
2017_s1_LSLOPE,0.3086361
2017_s1_EOSD,17206.078
2017_s1_EOSV,7.3918614
2017_s1_RSLOPE,0.30481032
2017_s1_LENGTH,85.85047
2017_s1_MINV,0.35779515
2017_s1_MAXD,17162.0
2017_s1_MAXV,17.583218
2017_s1_AMPL,17.225422
2017_s1_TPROD,1185.2017
2017_s1_SPROD,1153.7157
2017_s2_SOSD,
2017_s2_SOSV,
2017_s2_LSLOPE,
2017_s2_EOSD,
2017_s2_EOSV,
2017_s2_RSLOPE,
2017_s2_LENGTH,
2017_s2_MINV,
2017_s2_MAXD,
2017_s2_MAXV,
2017_s2_AMPL,
2017_s2_TPROD,
2017_s2_SPROD,
2018_s1_SOSD,18129.615
2018_s1_SOSV,4.6369877
2018_s1_LSLOPE,0.233039
2018_s1_EOSD,18203.031
2018_s1_EOSV,5.056262
2018_s1_RSLOPE,0.23442923
2018_s1_LENGTH,73.41535
2018_s1_MINV,0.39233598
2018_s1_MAXD,18167.0
2018_s1_MAXV,11.528058
2018_s1_AMPL,11.135722
2018_s1_TPROD,668.40985
2018_s1_SPROD,638.59235
2018_s2_SOSD,
2018_s2_SOSV,
2018_s2_LSLOPE,
2018_s2_EOSD,
2018_s2_EOSV,
2018_s2_RSLOPE,
2018_s2_LENGTH,
2018_s2_MINV,
2018_s2_MAXD,
2018_s2_MAXV,
2018_s2_AMPL,
2018_s2_TPROD,
2018_s2_SPROD,
