Date,settings 1
2017-01-01,0.0
2017-01-02,0.001069497
2017-01-03,0.005719541
2017-01-04,0.010280291
2017-01-05,0.014765689
2017-01-06,0.019189682
2017-01-07,0.023566214
2017-01-08,0.027909227
2017-01-09,0.03223267
2017-01-10,0.03655048
2017-01-11,0.04087661
2017-01-12,0.045225
2017-01-13,0.04960959
2017-01-14,0.05404433
2017-01-15,0.058543164
2017-01-16,0.06312004
2017-01-17,0.06778889
2017-01-18,0.07256367
2017-01-19,0.07745832
2017-01-20,0.082486786
2017-01-21,0.08766301
2017-01-22,0.09300094
2017-01-23,0.09851452
2017-01-24,0.104217656
2017-01-25,0.11012418
2017-01-26,0.11624786
2017-01-27,0.122602455
2017-01-28,0.1292013
2017-01-29,0.13605615
2017-01-30,0.14317748
2017-01-31,0.15057534
2017-02-01,0.15825988
2017-02-02,0.16624121
2017-02-03,0.17452946
2017-02-04,0.18313473
2017-02-05,0.19206716
2017-02-06,0.20133685
2017-02-07,0.21095392
2017-02-08,0.22092849
2017-02-09,0.23127069
2017-02-10,0.24199063
2017-02-11,0.2530984
2017-02-12,0.26460418
2017-02-13,0.27651802
2017-02-14,0.2888501
2017-02-15,0.30160987
2017-02-16,0.31480438
2017-02-17,0.3284396
2017-02-18,0.3425211
2017-02-19,0.35705397
2017-02-20,0.3720432
2017-02-21,0.38749367
2017-02-22,0.40340975
2017-02-23,0.4197952
2017-02-24,0.43665364
2017-02-25,0.45398876
2017-02-26,0.47180414
2017-02-27,0.4901033
2017-02-28,0.5088884
2017-03-01,0.5281544
2017-03-02,0.54788077
2017-03-03,0.5680434
2017-03-04,0.5886167
2017-03-05,0.60956454
2017-03-06,0.63083184
2017-03-07,0.6523597
2017-03-08,0.6740889
2017-03-09,0.69596034
2017-03-10,0.71791494
2017-03-11,0.7398933
2017-03-12,0.76183516
2017-03-13,0.78367865
2017-03-14,0.8053608
2017-03-15,0.82681715
2017-03-16,0.8479776
2017-03-17,0.86877084
2017-03-18,0.8891256
2017-03-19,0.90897036
2017-03-20,0.9282339
2017-03-21,0.9468446
2017-03-22,0.9647294
2017-03-23,0.98181546
2017-03-24,0.9980295
2017-03-25,1.0132983
2017-03-26,1.0275489
2017-03-27,1.0407081
2017-03-28,1.0527027
2017-03-29,1.0634595
2017-03-30,1.0729057
2017-03-31,1.0809677
2017-04-01,1.0875949
2017-04-02,1.0928364
2017-04-03,1.096809
2017-04-04,1.0996351
2017-04-05,1.1014348
2017-04-06,1.1023266
2017-04-07,1.1024269
2017-04-08,1.10185
2017-04-09,1.1007087
2017-04-10,1.0991155
2017-04-11,1.0971825
2017-04-12,1.0950226
2017-04-13,1.0927452
2017-04-14,1.0904496
2017-04-15,1.0882319
2017-04-16,1.0861872
2017-04-17,1.0844102
2017-04-18,1.082995
