Date,yfit_1_fit2_smooth1000.0_season1_seapar0.5
2018-01-01,0.0
2018-01-02,0.0024863607
2018-01-03,0.0052518495
2018-01-04,0.00794839
2018-01-05,0.010579477
2018-01-06,0.013148604
2018-01-07,0.015659265
2018-01-08,0.018114954
2018-01-09,0.020519165
2018-01-10,0.022875393
2018-01-11,0.025187131
2018-01-12,0.027457874
2018-01-13,0.029691117
2018-01-14,0.03189035
2018-01-15,0.03405907
2018-01-16,0.036200773
2018-01-17,0.03831895
2018-01-18,0.040417098
2018-01-19,0.042498708
2018-01-20,0.044567272
2018-01-21,0.046626292
2018-01-22,0.048679255
2018-01-23,0.05072966
2018-01-24,0.052780993
2018-01-25,0.054836757
2018-01-26,0.056900445
2018-01-27,0.058975544
2018-01-28,0.06106556
2018-01-29,0.06317397
2018-01-30,0.06530429
2018-01-31,0.06745999
2018-02-01,0.069644585
2018-02-02,0.07186156
2018-02-03,0.074114405
2018-02-04,0.07640662
2018-02-05,0.07874169
2018-02-06,0.08112313
2018-02-07,0.08355442
2018-02-08,0.086039044
2018-02-09,0.08858051
2018-02-10,0.091182314
2018-02-11,0.093847945
2018-02-12,0.09658089
2018-02-13,0.09938466
2018-02-14,0.102262735
2018-02-15,0.10521861
2018-02-16,0.10825579
2018-02-17,0.11137775
2018-02-18,0.11458801
2018-02-19,0.11789004
2018-02-20,0.121287346
2018-02-21,0.12478342
2018-02-22,0.12838176
2018-02-23,0.13208584
2018-02-24,0.13589919
2018-02-25,0.13982527
2018-02-26,0.1438676
2018-02-27,0.14802966
2018-02-28,0.15231495
2018-03-01,0.15672694
2018-03-02,0.16126916
2018-03-03,0.16594508
2018-03-04,0.17075822
2018-03-05,0.17571205
2018-03-06,0.18081006
2018-03-07,0.18605576
2018-03-08,0.19145265
2018-03-09,0.1970042
2018-03-10,0.20271392
2018-03-11,0.2085853
2018-03-12,0.214604
2018-03-13,0.22068426
2018-03-14,0.22671148
2018-03-15,0.23256058
2018-03-16,0.23825344
2018-03-17,0.2439613
2018-03-18,0.24998537
2018-03-19,0.2567609
2018-03-20,0.2648186
2018-03-21,0.27468428
2018-03-22,0.28684047
2018-03-23,0.3016207
2018-03-24,0.31932127
2018-03-25,0.34023845
2018-03-26,0.36466855
2018-03-27,0.39290786
2018-03-28,0.42525268
2018-03-29,0.4619993
2018-03-30,0.50344396
2018-03-31,0.54988307
2018-04-01,0.6016128
2018-04-02,0.6589295
2018-04-03,0.7221295
2018-04-04,0.79150903
2018-04-05,0.8673644
2018-04-06,0.9499919
2018-04-07,1.0395857
2018-04-08,1.1358502
2018-04-09,1.2379955
